KF	PName	quantity	percent
-20313 	K*_10	1 	0.0309789
-20213 	a_1+	3 	0.0929368
-4224 	Sigma*_c++	1 	0.0309789
-4222 	Sigma_c++	2 	0.0619579
-4122 	Lambda_c+	5 	0.154895
-3322 	Xi0	2 	0.0619579
-3314 	Xi*-	4 	0.123916
-3312 	Xi-	4 	0.123916
-3224 	Sigma*+	8 	0.247831
-3222 	Sigma+	8 	0.247831
-3214 	Sigma*0	2 	0.0619579
-3212 	Sigma0	11 	0.340768
-3122 	Lambda0	24 	0.743494
-3114 	Sigma*-	6 	0.185874
-3112 	Sigma-	6 	0.185874
-2224 	Delta++	15 	0.464684
-2214 	Delta+	10 	0.309789
-2212 	p+	54 	1.67286
-2114 	Delta0	12 	0.371747
-2112 	n0	56 	1.73482
-1114 	Delta-	20 	0.619579
-531 	B_s0	1 	0.0309789
-433 	D*_s+	1 	0.0309789
-431 	D_s+	2 	0.0619579
-423 	D*0	11 	0.340768
-421 	D0	34 	1.05328
-413 	D*+	15 	0.464684
-411 	D+	11 	0.340768
-323 	K*+	65 	2.01363
-321 	K+	86 	2.66419
-313 	K*0	61 	1.88971
-311 	K0	86 	2.66419
-213 	rho+	196 	6.07187
-211 	pi+	300 	9.29368
111 	pi0	303 	9.38662
113 	rho0	172 	5.32838
130 	K_L0	96 	2.97398
211 	pi+	294 	9.10781
213 	rho+	166 	5.1425
221 	eta	96 	2.97398
223 	omega	178 	5.51425
310 	K_S0	82 	2.54027
311 	K0	92 	2.85006
313 	K*0	54 	1.67286
321 	K+	88 	2.72615
323 	K*+	59 	1.82776
331 	eta'	22 	0.681537
333 	phi	20 	0.619579
411 	D+	18 	0.557621
413 	D*+	18 	0.557621
421 	D0	31 	0.960347
423 	D*0	18 	0.557621
431 	D_s+	3 	0.0929368
433 	D*_s+	1 	0.0309789
443 	J/psi	1 	0.0309789
521 	B+	1 	0.0309789
523 	B*+	1 	0.0309789
1114 	Delta-	15 	0.464684
2112 	n0	62 	1.92069
2114 	Delta0	13 	0.402726
2212 	p+	56 	1.73482
2214 	Delta+	17 	0.526642
2224 	Delta++	14 	0.433705
3112 	Sigma-	12 	0.371747
3114 	Sigma*-	1 	0.0309789
3122 	Lambda0	40 	1.23916
3212 	Sigma0	18 	0.557621
3214 	Sigma*0	8 	0.247831
3222 	Sigma+	9 	0.27881
3224 	Sigma*+	6 	0.185874
3312 	Xi-	2 	0.0619579
3322 	Xi0	5 	0.154895
3324 	Xi*0	1 	0.0309789
4122 	Lambda_c+	3 	0.0929368
4232 	Xi_c+	2 	0.0619579
4332 	Omega_c0	1 	0.0309789
10423 	D_10	1 	0.0309789
20213 	a_1+	4 	0.123916
20313 	K*_10	1 	0.0309789


Total particles counted: 3228

