CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
62.4	pbar	4	4.76062	0.130582	2.12712	0.0678834	114	5
62.4	pbar	5	3.19685	0.0845594	1.46192	0.0428794	76	5
62.4	pbar	6	1.86288	0.0518581	0.848774	0.0263947	48	5
62.4	pbar	7	1.04408	0.0318029	0.478514	0.0163998	28	3
62.4	pbar	8	0.477043	0.015501	0.220422	0.00801187	15	2
62.4	pi0	0	81.9364	1.4068	202.044	3.27379	347	3
62.4	pi0	1	66.812	1.15765	165.408	2.68843	294	4
62.4	pi0	2	50.7155	0.819949	126.734	2.0213	230	5
62.4	pi0	3	35.3385	0.623839	88.4317	1.455	164	5
62.4	pi0	4	23.8454	0.433271	60.0781	1.01871	114	5
62.4	pi0	5	15.2932	0.378004	39.0756	0.829104	76	5
62.4	pi0	6	9.48559	0.169262	24.3232	0.423693	48	5
62.4	pi0	7	5.23699	0.296742	13.6371	0.818685	28	3
62.4	pi0	8	2.62758	0.0440496	6.97318	0.111448	15	2
62.4	eta	0	7.5455	20.2752	8.97476	23.5109	347	3
62.4	eta	1	5.90847	10.3187	7.13139	12.4575	294	4
62.4	eta	2	0	0	0	0	0	0
62.4	eta	3	0	0	0	0	0	0
62.4	eta	4	0	0	0	0	0	0
62.4	eta	5	0	0	0	0	0	0
62.4	eta	6	0	0	0	0	0	0
62.4	eta	7	0	0	0	0	0	0
62.4	eta	8	0.20224	0.500154	0.257452	0.603002	15	2
130	pi-	0	94.6494	2.47031	233.338	6.85903	344	3
130	pi-	1	79.3976	1.75911	189.693	3.99424	289	5
130	pi-	2	64.0635	1.6838	165.101	4.32995	237	7
130	pi-	3	48.8649	1.01819	119.523	2.34501	187	8
130	pi-	4	35.4006	1.65388	91.3949	3.88519	141	8
130	pi-	5	24.7049	0.600547	63.3259	1.41048	100	9
130	pi-	6	14.7722	0.726783	39.3218	1.58979	61	8
130	pi-	7	661.127	3.07707	4465.1	19.1777	23	5
130	pi-	8	0	0	0	0	0	0
130	pi+	0	94.8229	1.91419	239.278	5.21032	344	3
130	pi+	1	78.0391	3.11426	198.87	7.56514	289	5
130	pi+	2	63.7279	1.82636	163.43	4.81432	237	7
130	pi+	3	48.9109	1.07038	123.167	2.53157	187	8
130	pi+	4	36.2928	0.905542	92.1844	2.12088	141	8
130	pi+	5	29.7439	0.636551	90.7569	1.47051	100	9
130	pi+	6	849.548	4.15544	5666.16	23.8794	61	8
130	pi+	7	275.383	1.93268	1829.58	9.00343	23	5
130	pi+	8	0	0	0	0	0	0
130	ka-	0	17.2924	1.58684	22.6352	1.99546	344	3
130	ka-	1	13.8427	208.49	18.1775	271.692	289	5
130	ka-	2	11.3391	1.53229	14.7077	1.88969	237	7
130	ka-	3	8.76955	1.13139	11.3752	1.40238	187	8
130	ka-	4	6.18883	0.955518	8.25193	1.21438	141	8
130	ka-	5	4.27363	0.78793	5.71847	1.00846	100	9
130	ka-	6	2.56174	0.383902	3.4188	0.483249	61	8
130	ka-	7	0.983785	0.155697	1.32407	0.194294	23	5
130	ka-	8	0	0	0	0	0	0
130	ka+	0	18.5203	1.90312	24.4084	2.40924	344	3
130	ka+	1	15.1169	1.47662	19.7012	1.85045	289	5
130	ka+	2	24.4723	3.35691	18.907	3.72272	237	7
130	ka+	3	9.56905	1.28548	12.4602	1.56893	187	8
130	ka+	4	7.23196	1.03727	9.33913	1.2574	141	8
130	ka+	5	5.02108	0.683917	6.53242	0.838056	100	9
130	ka+	6	2.99002	516.403	4.02631	727.062	61	8
130	ka+	7	1.13983	1.72788	1.4151	1.76434	23	5
130	ka+	8	0	0	0	0	0	0
130	proton	0	3.72471	0.385587	9.13574	0.52718	344	3
130	proton	1	3.12189	0.176279	7.57155	0.285942	289	5
130	proton	2	2.07916	0.154068	5.9354	0.291285	237	7
130	proton	3	1.83111	0.160374	4.91502	0.282499	187	8
130	proton	4	1.36059	0.0498519	4.10229	0.141409	141	8
130	proton	5	0.87891	0.0305703	2.86258	0.0940559	100	9
130	proton	6	0.53082	0.0173545	1.80538	0.0523434	61	8
130	proton	7	0.177137	0.0744851	0.681274	0.226438	23	5
130	proton	8	0	0	0	0	0	0
130	pbar	0	16.5597	0.221335	7.28271	0.157737	344	3
130	pbar	1	13.7359	0.275083	6.03435	0.208133	289	5
130	pbar	2	10.759	0.362352	4.8191	0.251335	237	7
130	pbar	3	9.52965	12.0559	4.11915	11.9657	187	8
130	pbar	4	6.67348	0.215888	3.01686	0.14175	141	8
130	pbar	5	4.72016	0.198071	2.16033	0.133213	100	9
130	pbar	6	2.94097	0.275363	1.35867	0.200181	61	8
130	pbar	7	1.16484	0.0916113	0.543849	0.0619013	23	5
130	pbar	8	0	0	0	0	0	0
130	pi0	0	95.2495	1.928	242.366	5.21016	344	3
130	pi0	1	79.975	2.1241	200.132	4.99772	289	5
130	pi0	2	63.9695	2.01773	165.963	5.56151	237	7
130	pi0	3	49.0522	1.04638	124.811	2.51565	187	8
130	pi0	4	36.0593	0.874985	92.5164	2.07595	141	8
130	pi0	5	24.9345	0.588895	64.5413	1.41893	100	9
130	pi0	6	14.8329	0.703393	39.0331	1.46672	61	8
130	pi0	7	5.58727	0.282859	15.2808	0.601155	23	5
130	pi0	8	0	0	0	0	0	0
130	eta	0	8.69704	28.7703	10.5141	32.961	344	3
130	eta	1	7.11255	18.3013	8.60683	21.308	289	5
130	eta	2	5.69936	10.9226	6.96052	13.091	237	7
130	eta	3	4.28198	8.22314	5.22532	9.88816	187	8
130	eta	4	3.01095	4.89349	3.74098	6.03737	141	8
130	eta	5	2.0266	3.77632	2.53941	4.63152	100	9
130	eta	6	1.16064	1.82814	1.47377	2.29697	61	8
130	eta	7	0.434968	0.665249	0.555709	0.842624	23	5
130	eta	8	0	0	0	0	0	0
200	pi-	0	116.057	2.36164	276.207	5.49671	350	3
200	pi-	1	94.9722	1.89106	223.383	4.25839	299	4
200	pi-	2	1897.58	1.26608	12363	2.79445	234	5
200	pi-	3	51.1221	1.00648	117.757	2.12884	168	5
200	pi-	4	542.359	0.620616	3441.58	1.37712	117	5
200	pi-	5	22.3514	0.439304	53.8684	1.04498	78	5
200	pi-	6	13.3088	0.434362	32.3751	0.802724	49	5
200	pi-	7	884.07	3.71517	5963.23	22.4093	29	4
200	pi-	8	4.05598	0.238537	10.386	0.837901	16	3
200	pi+	0	1573.91	7.76864	9908.15	39.2946	350	3
200	pi+	1	138.74	1.75532	486.193	3.80508	299	4
200	pi+	2	70.6241	1.38495	166.784	3.0608	234	5
200	pi+	3	50.707	1.00081	116.501	2.10668	168	5
200	pi+	4	34.1151	0.648911	79.1995	1.45577	117	5
200	pi+	5	22.3139	0.446321	52.3285	1.04499	78	5
200	pi+	6	13.8355	0.403062	33.6358	0.818595	49	5
200	pi+	7	7.96701	0.475429	20.3768	1.43089	29	4
200	pi+	8	4.08089	0.233902	10.4746	0.820863	16	3
200	ka-	0	16.9903	1.70259	22.0486	2.09998	350	3
200	ka-	1	13.795	1.68038	18.0109	2.03474	299	4
200	ka-	2	11.0368	1.1651	14.3923	1.428	234	5
200	ka-	3	7.65516	0.699594	10.0022	0.872133	168	5
200	ka-	4	5.11858	0.494753	6.82482	0.61726	117	5
200	ka-	5	3.32434	0.780864	4.46596	1.00111	78	5
200	ka-	6	2.03936	0.17279	2.75171	0.221102	49	5
200	ka-	7	1.10719	0.100827	1.53642	0.132053	29	4
200	ka-	8	0.574136	0.0519482	0.793484	0.0699108	16	3
200	ka+	0	17.2175	1.63245	22.5105	2.03509	350	3
200	ka+	1	14.0593	1.49319	18.3869	1.82818	299	4
200	ka+	2	11.4597	2.21316	14.9679	2.78834	234	5
200	ka+	3	7.99193	0.84473	10.4192	1.0338	168	5
200	ka+	4	5.02761	0.389976	6.75782	0.501692	117	5
200	ka+	5	3.41866	0.320351	4.60981	0.409752	78	5
200	ka+	6	2.0927	0.176018	2.84348	0.228156	49	5
200	ka+	7	1.14472	0.0918948	1.58464	0.120892	29	4
200	ka+	8	0.575543	0.0527715	0.794942	0.069179	16	3
200	proton	0	5.72648	0.243311	13.7845	0.492009	350	3
200	proton	1	4.84544	0.196156	11.7825	0.403435	299	4
200	proton	2	3.59243	0.177969	8.88384	0.341389	234	5
200	proton	3	2.41417	0.108919	6.31338	0.224575	168	5
200	proton	4	1.53998	0.0646628	4.19916	0.143279	117	5
200	proton	5	1.0075	0.0455928	2.83153	0.100791	78	5
200	proton	6	0.596196	0.0262219	1.76266	0.0635156	49	5
200	proton	7	0.31514	0.0141125	0.985723	0.0352869	29	4
200	proton	8	0.150438	0.00626546	0.496252	0.0187214	16	3
200	pbar	0	25.808	0.786948	11.1262	0.450723	350	3
200	pbar	1	20.8897	0.619449	9.08035	0.348329	299	4
200	pbar	2	16.074	0.52449	7.01771	0.3255	234	5
200	pbar	3	11.2365	0.301546	4.96258	0.165052	168	5
200	pbar	4	7.66842	0.211207	3.41211	0.114041	117	5
200	pbar	5	5.03381	0.138656	2.26607	0.0725375	78	5
200	pbar	6	3.18707	0.0942374	1.44335	0.0504529	49	5
200	pbar	7	1.81007	0.0563592	0.828913	0.0285206	29	4
200	pbar	8	0.927414	0.036695	0.427414	0.0189177	16	3
200	pi0	0	116.094	2.27588	283.709	5.50564	350	3
200	pi0	1	94.403	1.79607	223.679	4.12739	299	4
200	pi0	2	71.117	1.35193	169.713	3.06638	234	5
200	pi0	3	51.0593	1.05396	121.717	2.37217	168	5
200	pi0	4	34.1998	0.612157	82.2895	1.38603	117	5
200	pi0	5	21.9971	0.441634	53.6351	1.06143	78	5
200	pi0	6	13.7293	0.478426	34.9327	1.21572	49	5
200	pi0	7	7.98186	0.466764	20.6193	1.42703	29	4
200	pi0	8	4.08223	0.183717	10.7105	0.62869	16	3
200	eta	0	11.4973	23.4859	13.5475	27.5915	350	3
200	eta	1	9.08976	14.7175	10.759	17.6906	299	4
200	eta	2	6.83969	11.9445	8.09585	14.2453	234	5
200	eta	3	4.70905	7.65813	5.71539	9.32464	168	5
200	eta	4	3.16914	5.30584	3.82837	6.40177	117	5
200	eta	5	2.00065	3.11941	2.4388	3.80498	78	5
200	eta	6	1.23405	2.58089	1.50883	3.07146	49	5
200	eta	7	0.704337	1.29813	0.866579	1.57245	29	4
200	eta	8	0.360432	0.490289	0.439714	0.616106	16	3

