CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
11.5	pi-	7	2.9416	0.234658	7.16481	0.68683	26	7
11.5	pi-	8	1.54349	0.113296	3.88965	0.317382	14	4
11.5	pi+	0	48.3995	3.18705	103.339	6.83265	338	2
11.5	pi+	1	37.705	2.54903	80.6661	5.61372	291	6
11.5	pi+	2	28.615	1.94284	62.155	4.36652	226	8
11.5	pi+	3	19.2258	1.25902	41.7256	2.72121	160	9
11.5	pi+	4	12.9453	0.866854	28.5974	1.94878	110	10
11.5	pi+	5	8.14615	0.527976	18.3672	1.1763	73	10
11.5	pi+	6	4.88895	0.317478	11.4333	0.736713	45	9
11.5	pi+	7	2.7842	0.183275	6.73853	0.446959	26	7
11.5	pi+	8	1.47362	0.0973388	3.71292	0.247332	14	4
11.5	ka-	0	6.78773	0.412491	8.1983	0.487554	338	2
11.5	ka-	1	5.61884	0.343505	6.79913	0.406734	291	6
11.5	ka-	2	4.04676	0.242672	4.9457	0.288852	226	8
11.5	ka-	3	2.63227	0.159784	3.24002	0.192556	160	9
11.5	ka-	4	1.65163	0.100631	2.0417	0.121305	110	10
11.5	ka-	5	1.01136	0.063953	1.28631	0.0800544	73	10
11.5	ka-	6	0.524859	0.0390709	0.672195	0.0517364	45	9
11.5	ka-	7	0.251928	0.0168748	0.331899	0.0218426	26	7
11.5	ka-	8	0.112367	0.00961611	0.151243	0.0129424	14	4
11.5	ka+	0	14.5496	0.879019	17.0415	0.995722	338	2
11.5	ka+	1	11.7086	0.709393	13.8586	0.815729	291	6
11.5	ka+	2	8.3752	0.503174	9.99507	0.582419	226	8
11.5	ka+	3	5.3867	0.326659	6.47746	0.382716	160	9
11.5	ka+	4	3.38819	0.210404	4.06858	0.247718	110	10
11.5	ka+	5	2.0144	0.124762	2.49585	0.151492	73	10
11.5	ka+	6	1.01746	0.0643637	1.26964	0.0779901	45	9
11.5	ka+	7	0.493292	0.0317101	0.629821	0.0394027	26	7
11.5	ka+	8	0.225269	0.0156371	0.293521	0.0196193	14	4
11.5	proton	0	10.3359	0.89692	25.4671	2.13746	338	2
11.5	proton	1	8.08615	0.708798	19.8137	1.68777	291	6
11.5	proton	2	5.84756	0.526176	14.6526	1.28736	226	8
11.5	proton	3	3.74811	0.336132	9.79511	0.865457	160	9
11.5	proton	4	2.30698	0.201151	6.27119	0.547708	110	10
11.5	proton	5	1.26679	0.108461	3.71984	0.311142	73	10
11.5	proton	6	0.654839	0.0565311	2.03985	0.176998	45	9
11.5	proton	7	0.293287	0.025323	0.994177	0.0841612	26	7
11.5	proton	8	0.128159	0.0115336	0.459408	0.0404057	14	4
11.5	pbar	0	1.89567	0.162819	0.829315	0.0708548	338	2
11.5	pbar	1	1.50662	0.13112	0.661226	0.0572676	291	6
11.5	pbar	2	1.20069	0.101708	0.529847	0.0446632	226	8
11.5	pbar	3	0.840225	0.0707336	0.374386	0.0313643	160	9
11.5	pbar	4	0.583239	0.0493372	0.262854	0.0221704	110	10
11.5	pbar	5	0.373256	0.0317503	0.170845	0.0145055	73	10
11.5	pbar	6	0.230475	0.0205687	0.106571	0.00954662	45	9
11.5	pbar	7	0.123477	0.0110046	0.0582692	0.00529748	26	7
11.5	pbar	8	0.0607261	0.00891701	0.0288031	0.00569088	14	4
11.5	pi0	0	49.3449	3.22743	107.431	7.01782	338	2
11.5	pi0	1	38.4977	2.60262	83.8629	5.84896	291	6
11.5	pi0	2	29.1682	1.96904	64.104	4.46875	226	8
11.5	pi0	3	19.6754	1.28978	43.4011	2.84512	160	9
11.5	pi0	4	13.2694	0.873807	29.82	1.98408	110	10
11.5	pi0	5	8.3433	0.544108	19.1051	1.24473	73	10
11.5	pi0	6	5.19669	0.287809	12.8386	0.583029	45	9
11.5	pi0	7	2.87346	0.194855	7.05968	0.500062	26	7
11.5	pi0	8	1.52804	0.0822886	3.92236	0.171812	14	4
11.5	eta	0	4.55931	6.31933	4.96533	6.80776	270.4	1.6
11.5	eta	1	4.43879	6.16899	4.83085	6.65295	291	6
11.5	eta	2	3.32688	4.60553	3.63736	4.9795	226	8
11.5	eta	3	2.23704	3.10471	2.45061	3.36544	160	9
11.5	eta	4	1.4693	2.04705	1.62768	2.25031	110	10
11.5	eta	5	0.903369	1.38333	1.00801	1.60135	73	10
11.5	eta	6	0.519986	0.804707	0.589089	0.949118	45	9
11.5	eta	7	0.284193	0.388934	0.329407	0.443608	26	7
11.5	eta	8	0.142465	0.193849	0.166869	0.223185	14	4
19.6	pi-	0	65.4838	4.19197	138.703	8.5728	338	2
19.6	pi-	1	53.0723	3.88739	113.526	9.08266	289	6
19.6	pi-	2	40.347	2.86386	85.937	6.48338	225	9
19.6	pi-	3	27.1337	1.95233	58.3948	4.53736	158	10
19.6	pi-	4	17.9924	1.27905	39.1575	2.95917	108	11
19.6	pi-	5	11.1894	0.716951	24.6685	1.53171	71	10
19.6	pi-	6	6.7815	0.430592	15.3275	0.936056	44	9
19.6	pi-	7	3.74232	0.23478	8.72415	0.519873	26	7
19.6	pi-	8	1.96829	0.124038	4.73857	0.284958	14	5
19.6	pi+	0	64.1819	4.43928	134.376	9.70082	338	2
19.6	pi+	1	51.8322	3.44757	109.418	7.31059	289	6
19.6	pi+	2	39.3888	2.60818	82.9922	5.49254	225	9
19.6	pi+	3	26.4522	1.88966	56.3448	4.32132	158	10
19.6	pi+	4	17.5075	1.24625	37.8394	2.87955	108	11
19.6	pi+	5	10.9056	0.698321	23.9413	1.48312	71	10
19.6	pi+	6	6.6034	0.417304	14.8809	0.895535	44	9
19.6	pi+	7	3.64275	0.229362	8.44623	0.506656	26	7
19.6	pi+	8	1.92037	0.120932	4.61215	0.276669	14	5
19.6	ka-	0	10.8646	0.66596	12.7991	0.766045	338	2
19.6	ka-	1	8.89082	0.540614	10.5254	0.62243	289	6
19.6	ka-	2	6.55131	0.393566	7.80601	0.454479	225	9
19.6	ka-	3	4.44564	0.272975	5.3587	0.322226	158	10
19.6	ka-	4	2.82207	0.172793	3.45075	0.206608	108	11
19.6	ka-	5	1.70032	0.104112	2.11844	0.127134	71	10
19.6	ka-	6	0.949242	0.0585553	1.20173	0.0726399	44	9
19.6	ka-	7	0.467579	0.0284609	0.602876	0.0356672	26	7
