CollEn	particle	centrality	mass	dETdEta_TOT	dETdEta_TOT_err	dETdEtaExtrap	dETdEtaExtrap_err	Npart	Npart_err
62.4	eta	6	0.54786	0.711336	1.00442	0.129387	0.185198	48	5
62.4	eta	7	0.54786	0.393958	0.557253	0.0763644	0.11718	28	3
62.4	eta	8	0.54786	0.188774	0.270013	0.0328211	0.0579402	15	2
200	pi+	0	0.13957	123.147	3.14988	33.125	0.763706	350	3
200	pi+	1	0.13957	98.1589	3.37191	26.3348	1.31387	299	4
200	pi+	2	0.13957	74.2232	1.37306	20.068	0.22788	234	5
200	pi+	3	0.13957	53.3101	1.54821	13.7351	0.537395	168	5
200	pi+	4	0.13957	35.5272	1.00727	9.19785	0.38089	117	5
200	pi+	5	0.13957	22.988	0.371441	5.85573	0.027319	78	5
200	pi+	6	0.13957	14.4546	0.283747	3.86494	0.0530886	49	5
200	pi+	7	0.13957	8.54195	0.392761	2.41949	0.193639	29	4
200	pi+	8	0.13957	4.48715	0.210304	1.3681	0.104769	16	3
200	pi-	0	0.13957	125.191	4.69012	33.8529	1.86638	350	3
200	pi-	1	0.13957	99.6004	1.89363	26.7796	0.300862	299	4
200	pi-	2	0.13957	75.3594	1.38402	20.583	0.235845	234	5
200	pi-	3	0.13957	53.6915	1.49021	13.8067	0.494684	168	5
200	pi-	4	0.13957	35.7153	1.76084	9.27879	0.815643	117	5
200	pi-	5	0.13957	23.2997	0.415462	6.12143	0.0615958	78	5
200	pi-	6	0.13957	14.4713	0.305976	3.85966	0.0674005	49	5
200	pi-	7	0.13957	8.55009	0.369469	2.42291	0.180204	29	4
200	pi-	8	0.13957	4.4894	0.200467	1.3771	0.107418	16	3
200	pi0	0	0.13497	124.632	2.25276	33.952	0.265374	350	3
200	pi0	1	0.13497	99.3873	1.75762	27.0649	0.20682	299	4
200	pi0	2	0.13497	74.7189	1.39235	20.253	0.23658	234	5
200	pi0	3	0.13497	53.5459	1.57243	13.8161	0.545114	168	5
200	pi0	4	0.13497	35.6987	0.778504	9.31576	0.183741	117	5
200	pi0	5	0.13497	23.2563	0.41791	6.101	0.0622049	78	5
200	pi0	6	0.13497	14.5115	0.307561	3.91082	0.06799	49	5
200	pi0	7	0.13497	8.5795	0.371491	2.45468	0.178174	29	4
200	pi0	8	0.13497	4.51141	0.206045	1.39574	0.103246	16	3
200	ka+	0	0.49368	17.5147	1.65329	5.07968	0.416577	350	3
200	ka+	1	0.49368	14.1359	1.22226	3.95358	0.269931	299	4
200	ka+	2	0.49368	11.7229	0.959674	2.81106	0.178144	234	5
200	ka+	3	0.49368	8.00585	0.909054	1.81522	0.360008	168	5
200	ka+	4	0.49368	5.51132	0.485845	1.32515	0.100286	117	5
200	ka+	5	0.49368	3.54664	0.455945	0.851589	0.143788	78	5
200	ka+	6	0.49368	2.09476	0.148467	0.406484	0.0181797	49	5
200	ka+	7	0.49368	1.17078	0.0816708	0.243368	0.0114767	29	4
200	ka+	8	0.49368	0.586132	0.0800987	0.125246	0.0393747	16	3
200	ka-	0	0.49368	17.318	2.12958	5.21864	0.771028	350	3
200	ka-	1	0.49368	14.338	2.2078	4.4173	1.08155	299	4
200	ka-	2	0.49368	11.1504	0.97798	2.58489	0.2103	234	5
200	ka-	3	0.49368	7.71012	0.87373	1.7558	0.337377	168	5
200	ka-	4	0.49368	5.34788	0.589722	1.2882	0.157865	117	5
200	ka-	5	0.49368	3.48524	0.399021	0.884795	0.173264	78	5
200	ka-	6	0.49368	2.04798	0.175721	0.421205	0.0390415	49	5
200	ka-	7	0.49368	1.14367	0.0935618	0.245611	0.0194421	29	4
200	ka-	8	0.49368	0.576116	0.0410223	0.127067	0.00495195	16	3
200	pro	0	0.93827	6.36323	0.678261	2.08723	0.30107	350	3
200	pro	1	0.93827	4.94918	0.306104	1.45089	0.107287	299	4
200	pro	2	0.93827	3.51204	0.160509	0.885325	0.0451124	234	5
200	pro	3	0.93827	2.37753	0.144978	0.529267	0.052053	168	5
200	pro	4	0.93827	1.50557	0.0563038	0.284327	0.0113069	117	5
200	pro	5	0.93827	0.982664	0.280789	0.169144	0.160444	78	5
200	pro	6	0.93827	0.597552	0.0263673	0.100781	0.00600395	49	5
200	pro	7	0.93827	0.329508	0.0291795	0.0596491	0.0107423	29	4
200	pro	8	0.93827	0.148557	0.00830751	0.0159018	0.00192513	16	3
200	pba	0	0.93827	24.8707	0.802906	3.69942	0.201063	350	3
200	pba	1	0.93827	20.2975	0.607356	2.88384	0.13547	299	4
200	pba	2	0.93827	15.628	0.383368	2.14149	0.0361081	234	5
200	pba	3	0.93827	11.1077	0.309276	1.47311	0.0748991	168	5
200	pba	4	0.93827	7.55149	0.206921	0.941944	0.0502776	117	5
200	pba	5	0.93827	5.03204	0.189427	0.621	0.101821	78	5
200	pba	6	0.93827	3.19264	0.0878718	0.385637	0.0135981	49	5
200	pba	7	0.93827	1.82025	0.0802222	0.221807	0.045566	29	4
200	pba	8	0.93827	0.930033	0.0541088	0.111012	0.0373255	16	3
200	eta	0	0.54786	10.4718	41.8653	1.96254	29.2015	350	3
200	eta	1	0.54786	8.2427	12.3045	1.47536	2.588	299	4
200	eta	2	0.54786	6.30605	9.87117	1.2092	2.56319	234	5
200	eta	3	0.54786	4.61055	7.78501	0.765278	2.37806	168	5
200	eta	4	0.54786	3.03422	5.87621	0.500877	2.35458	117	5
200	eta	5	0.54786	1.94057	2.68428	0.300561	0.382895	78	5
200	eta	6	0.54786	1.187	1.71009	0.181084	0.304661	49	5
200	eta	7	0.54786	0.676127	1.09296	0.101423	0.32349	29	4
200	eta	8	0.54786	0.338391	0.469062	0.0499576	0.0731218	16	3
130	pi+	0	0.13957	101.99	1.51676	30.4081	0.162738	344	3
130	pi+	1	0.13957	83.9202	1.97571	25.3611	0.300614	289	5
130	pi+	2	0.13957	68.8163	1.32223	20.8942	0.192841	237	7
130	pi+	3	0.13957	51.6232	1.07835	15.6813	0.205306	187	8
130	pi+	4	0.13957	38.1854	2.02998	11.6753	0.765228	141	8
130	pi+	5	0.13957	26.4382	2.18887	8.0998	1.06673	100	9
130	pi+	6	0.13957	15.4559	0.390157	4.75197	0.0887876	61	8
130	pi+	7	0.13957	6.14194	0.5358	2.11155	0.312763	23	5
130	pi-	0	0.13957	101.978	1.49961	30.025	0.153752	344	3
130	pi-	1	0.13957	84.1548	3.04843	25.4252	1.07287	289	5
130	pi-	2	0.13957	68.9406	1.39333	20.9215	0.244724	237	7
130	pi-	3	0.13957	51.0332	1.0683	15.0189	0.197443	187	8
130	pi-	4	0.13957	38.3573	0.836188	11.7884	0.151805	141	8
130	pi-	5	0.13957	25.9218	0.739491	7.79409	0.25072	100	9
130	pi-	6	0.13957	15.6853	0.375909	4.87931	0.0747473	61	8
130	pi-	7	0.13957	6.07517	0.25432	2.03263	0.0955615	23	5
130	pi0	0	0.13497	102.5	2.5641	30.7323	0.861371	344	3
130	pi0	1	0.13497	84.3322	3.42636	25.6878	1.26587	289	5
130	pi0	2	0.13497	69.0947	1.93281	21.1241	0.600479	237	7
130	pi0	3	0.13497	51.8865	1.2111	15.9085	0.293307	187	8
130	pi0	4	0.13497	38.388	0.926951	11.8485	0.208091	141	8
130	pi0	5	0.13497	26.2267	1.45246	7.99358	0.682554	100	9
130	pi0	6	0.13497	15.5467	0.389844	4.7917	0.0830456	61	8
130	pi0	7	0.13497	6.08278	0.220729	2.04632	0.0764288	23	5
130	ka+	0	0.49368	18.8055	2.22938	3.33306	0.809065	344	3
130	ka+	1	0.49368	15.2194	1.75257	2.76663	0.525261	289	5
130	ka+	2	0.49368	12.401	1.9721	2.40877	0.775679	237	7
130	ka+	3	0.49368	10.0033	1.36613	2.18331	0.283479	187	8
130	ka+	4	0.49368	7.24442	0.822508	1.33196	0.0993159	141	8
130	ka+	5	0.49368	4.9649	0.586548	0.845582	0.105998	100	9
