CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	pi+	3	0.13957	0.857108	0.0646342	0.0577382	0.0156703	2.78188	0.306636	43343	57964.4	12.8698	0.854734	2.68607	0.502154	0.00324869	0.000232504	15.5591	1.35712	13.4054	0.890259	3.72481	0.795029	0.00325523	0.000232962	17.1335	1.68552	23.4854	1.55168	11.771	2.47959	0.00146873	0.000232504	35.2578	4.0315	24.7771	1.6378	11.771	2.47959	0.00146873	0.000104077	36.5496	4.11749	160	10
7.7	pi+	4	0.13957	0.864752	0.0659159	0.0546472	0.0159474	2.88213	0.384476	39201.7	58765	8.41147	0.559049	1.91426	0.411322	0.00178978	0.000121016	10.3275	0.970492	8.76972	0.582827	2.67341	0.660641	0.00179339	0.000121258	11.4449	1.24359	15.5432	1.02782	8.44256	2.05321	0.000810987	0.000121016	23.9865	3.08115	16.4126	1.08582	8.44256	2.05321	0.000810987	5.45238e-05	24.856	3.13909	110	11
7.7	pi+	5	0.13957	0.856931	0.0582259	0.0546785	0.0135196	3.1373	0.407994	27044.2	34839.1	5.25476	0.349566	1.32511	0.263007	0.00138075	0.000103226	6.58126	0.612676	5.48793	0.365068	1.85718	0.422017	0.00138383	0.000103453	7.3465	0.787188	9.93058	0.65771	5.86435	1.31172	0.00065713	0.000103226	15.7956	1.96953	10.503	0.695953	5.86435	1.31172	0.00065713	4.87265e-05	16.368	2.00772	72	10
7.7	pi+	6	0.13957	0.876475	0.0625588	0.047837	0.0146777	3.38489	0.853775	36285.1	64520.5	3.16304	0.211399	0.955338	0.276317	0.000586788	3.95977e-05	4.11896	0.487755	3.30868	0.221103	1.36513	0.460105	0.000588108	3.96836e-05	4.6744	0.681248	6.10042	0.405342	4.29905	1.41524	0.000280596	3.95977e-05	10.3997	1.82062	6.46152	0.429512	4.29905	1.41524	0.000280596	1.85995e-05	10.7609	1.84477	45	9
7.7	pi+	7	0.13957	0.863246	0.0691247	0.048308	0.0147581	2.73547	0.55963	16955.3	28493.8	1.69403	0.114048	0.47275	0.107586	0.00038445	2.88355e-05	2.16716	0.221663	1.77243	0.119286	0.668883	0.177925	0.000385412	2.89049e-05	2.4417	0.29724	3.28602	0.219311	2.10852	0.548109	0.000193829	2.88355e-05	5.39474	0.767449	3.47992	0.232311	2.10852	0.548109	0.000193829	1.42549e-05	5.58863	0.780435	26	7
7.7	pi+	8	0.13957	0.900079	0.0665054	0.0368634	0.0153166	2.66619	1.43087	39007.4	108941	0.814273	0.0559193	0.266552	0.10435	0.000536668	8.51747e-05	1.08136	0.160355	0.853275	0.0585516	0.388449	0.184962	0.000538572	8.54231e-05	1.24226	0.243599	1.61498	0.109385	1.21623	0.555644	0.000321661	8.51747e-05	2.83153	0.665115	1.71191	0.115934	1.21623	0.555644	0.000321661	4.60269e-05	2.92846	0.671624	14	4
7.7	pi0	0	0.13497	0.878219	0.0690376	0.0535778	0.0179704	2.69797	0.378454	142350	241809	31.6295	2.09953	6.71298	1.55355	0.00885629	0.000562648	38.3514	3.65365	32.8446	2.18009	9.24713	2.47137	0.00887292	0.000563692	42.1006	4.65203	57.3891	3.79066	30.0615	7.9501	0.00400017	0.000562648	87.4545	11.7413	60.3234	3.98623	30.0615	7.9501	0.00400017	0.000252693	90.3888	11.9366	337	2
7.7	pi0	1	0.13497	0.88968	0.0610193	0.0503699	0.0164888	2.99894	0.589004	169499	299313	25.5462	1.6954	6.04464	1.61397	0.00672837	0.000404497	31.5976	3.30977	26.5456	1.76169	8.41715	2.60793	0.00674102	0.000405247	34.9695	4.37002	46.7653	3.0892	27.345	8.35696	0.00304142	0.000404497	74.1134	11.4466	49.1953	3.25123	27.345	8.35696	0.00304142	0.000181773	76.5433	11.6084	290	6
7.7	pi0	2	0.13497	0.852417	0.055644	0.0601172	0.0135977	2.87867	0.301027	52432.8	56735	19.5067	1.29357	4.03513	0.653443	0.00555205	0.000395725	23.5474	1.94741	20.2648	1.34382	5.50855	1.00794	0.00556246	0.000396447	25.7789	2.35215	35.6164	2.35129	17.9224	3.26268	0.00250536	0.000395725	53.5414	5.61436	37.453	2.47369	17.9224	3.26268	0.00250536	0.000176054	55.3779	5.73654	226	8
7.7	pi0	3	0.13497	0.859793	0.0616341	0.0568303	0.0148851	2.84677	0.322122	47750.2	61759.8	13.1936	0.87519	2.90834	0.548732	0.00314078	0.000210639	16.105	1.42413	13.7153	0.909802	3.99234	0.858921	0.0031467	0.000211028	17.7108	1.76893	24.3296	1.60733	12.9855	2.77254	0.00142094	0.000210639	37.3165	4.38008	25.5993	1.692	12.9855	2.77254	0.00142094	9.44134e-05	38.5862	4.46463	160	10
