CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
130	la_	3	1.70945	0.139549	3.42354	0.323067	30.5	48
130	la_	4	0.40398	0.0362111	0.920413	0.10399	38.5	0
200	ala	0	20.2933	1.87684	7.0396	0.647314	17.5	16
200	ala	1	12.3948	1.10209	4.32207	0.381029	12.5	16
200	ala	2	7.10479	0.599921	2.50582	0.20766	11	16
200	ala	3	2.69663	0.248263	0.959327	0.0874573	11	16
200	ala	4	0.802584	0.124894	0.290648	0.0476693	40.5	16
200	la_	0	6.01663	0.564274	9.27634	0.843616	9.5	0
200	la_	1	1.78595	0.162381	2.81624	0.241499	1.5	0
200	la_	2	1.91359	0.172371	3.08976	0.263097	1.5	0
200	la_	3	0.696296	0.065707	1.19498	0.107489	1	0
200	la_	4	0.1869	0.0200267	0.345443	0.0365719	40.5	16

