CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr	fitStatus
7.7	la_	3	1.11568	0.554591	0.130595	0.107167	0.029809	2.84851	1.22644	238467	831481	1.23287	0.07826	0.0187323	0.00378939	2.80464e-05	3.80521e-06	1.25164	0.0820532	1.77529	0.123583	0.0504096	0.0107879	2.93357e-05	3.97601e-06	1.82573	0.134375	3.00961	0.261846	0.235167	0.0549174	1.04191e-05	3.80521e-06	3.24479	0.316767	5.00737	0.498429	0.235167	0.0549174	1.04191e-05	1.39112e-06	5.24255	0.553348	160	10	1
7.7	la_	4	1.11568	0.519827	0.0934355	0.111508	0.020151	2.67149	0.805311	87654.9	191194	0.705029	0.0554894	0.0110365	0.00154151	1.28609e-05	1.53167e-06	0.716079	0.0570325	1.0215	0.0890538	0.029666	0.00432074	1.34538e-05	1.60085e-06	1.05118	0.0933761	1.75635	0.194692	0.138134	0.0214976	4.78647e-06	1.53167e-06	1.89449	0.216191	2.93645	0.375644	0.138134	0.0214976	4.78647e-06	5.62289e-07	3.07459	0.397142	110	11	1
7.7	la_	5	1.11568	0.53445	0.0727435	0.103605	0.0161908	3.56137	0.874179	99580.3	201608	0.27364	0.0219309	0.00540474	0.000764992	2.90333e-06	4.25516e-07	0.279048	0.0226963	0.408358	0.0361747	0.0146199	0.0021669	3.03822e-06	4.44991e-07	0.422981	0.038342	0.754915	0.0832189	0.0687858	0.0109584	1.08626e-06	4.25516e-07	0.823702	0.0941778	1.31446	0.164237	0.0687858	0.0109584	1.08626e-06	1.57602e-07	1.38325	0.175196	59	45	1
7.7	la_	6	1.11568	0.629227	0.0454081	0.0673146	0.0102627	5.69858	2.16835	2.23571e+07	6.64464e+07	0.0544906	0.00574299	0.00185431	0.000563294	6.33062e-07	7.77607e-07	0.0563455	0.00630706	0.0842414	0.00976363	0.00521515	0.00167017	6.71436e-07	8.23451e-07	0.0894572	0.0114346	0.16757	0.0236632	0.0260585	0.00903021	2.83412e-07	7.77607e-07	0.193629	0.0326942	0.300147	0.0476993	0.0260585	0.00903021	2.83412e-07	3.41447e-07	0.326205	0.0567298	20	14	1
11.5	ala	0	1.11568	0.591001	0.012589	0.101979	0.00188267	1.35634	0.278429	41305.7	9700.96	1.04737	0.0895595	0.0432752	0.00504781	1.25642e-05	1.6054e-06	1.09065	0.094609	1.60851	0.153314	0.139073	0.0174732	1.31401e-05	1.67794e-06	1.74759	0.170788	0.385736	0.0341784	0.0186999	0.00218862	2.54601e-06	1.6054e-06	0.404439	0.0363686	0.605824	0.0600476	0.0186999	0.00218862	2.54601e-06	3.2351e-07	0.624527	0.0622366	338	2	1
11.5	ala	1	1.11568	0.671353	0.0648566	0.0813985	0.016515	1.73361	0.778986	720338	2.31943e+06	0.79947	0.0832504	0.0341243	0.0094295	7.03422e-06	1.28584e-06	0.833601	0.0926812	1.22893	0.144094	0.111448	0.0348242	7.3588e-06	1.34355e-06	1.34039	0.178919	0.294276	0.0318792	0.0147555	0.00410019	1.42913e-06	1.28584e-06	0.309033	0.0359807	0.462814	0.0566336	0.0147555	0.00410019	1.42913e-06	2.5841e-07	0.477571	0.0607341	291	6	1
11.5	ala	2	1.11568	0.630902	0.0970784	0.0900828	0.0236019	1.9439	0.998052	152253	577882	0.658113	0.0561904	0.0335534	0.00873113	5.15368e-06	6.60109e-07	0.691671	0.0649222	1.03252	0.0982831	0.11009	0.0325012	5.39152e-06	6.9037e-07	1.14261	0.130785	0.244655	0.0216597	0.0145119	0.00379795	1.04707e-06	6.60109e-07	0.259168	0.0254583	0.392602	0.0388172	0.0145119	0.00379795	1.04707e-06	1.3379e-07	0.407115	0.0426152	226	8	1
11.5	ala	3	1.11568	0.628858	0.0792812	0.087717	0.0191926	2.33594	1.02205	175527	572654	0.466681	0.0499481	0.0280241	0.00716541	2.53e-06	3.70814e-07	0.494708	0.0571138	0.74622	0.0902886	0.0930713	0.0267192	2.64731e-06	3.87845e-07	0.839294	0.117008	0.175056	0.0194734	0.012127	0.00311701	5.14929e-07	3.70814e-07	0.187184	0.0225907	0.286166	0.0360319	0.012127	0.00311701	5.14929e-07	7.51996e-08	0.298293	0.0391489	160	9	1
11.5	ala	4	1.11568	0.751961	0.502464	0.01	1.41421	0.01	1.41421	10000	1.41421	0.320392	0.0445622	7.05007e-54	3.51731e-25	8.21113e-67	6.61623e-31	0.320392	0.0445622	0.524051	0.0829154	1.54157e-53	7.88719e-25	8.62761e-67	6.9468e-31	0.524051	0.0829154	0.121581	0.0175842	2.9738e-54	1.48806e-25	1.72845e-67	6.61623e-31	0.121581	0.0175842	0.203035	0.0334084	2.9738e-54	1.48806e-25	1.72845e-67	1.38506e-31	0.203035	0.0334084	110	10	1
11.5	ala	5	1.11568	0.570631	0.0904262	0.100542	0.0229777	4.24479	1.32916	12799.8	39017.3	0.167823	0.0226886	0.0141892	0.00341045	6.46848e-07	1.9172e-07	0.182013	0.0260992	0.28576	0.0426776	0.0478087	0.0126095	6.7688e-07	2.00491e-07	0.333569	0.0552873	0.064561	0.00899276	0.00614424	0.00148302	1.31704e-07	1.9172e-07	0.0707054	0.010476	0.112257	0.0172553	0.00614424	0.00148302	1.31704e-07	3.88164e-08	0.118401	0.0187383	59	45	1
