Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 141192	Total Transverse Momentum: 135149

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         69305	33926.4	31952.2	24.0286	23.6422
Pi-:         69981	33817.2	31790.4	23.9512	23.5225
Pi0:         80000	37038.3	34725	26.2326	25.6939
K+:          5665	4668.13	3557.45	3.30623	2.63224
K-:          3833	3156.93	2412.96	2.23591	1.78541
K0L:         4689	3889.31	2963.54	2.75463	2.19279
K0S:         4547	3769.42	2873.67	2.66971	2.12629
Lambda0:     2092	607.691	1664.16	0.4304	1.23135
LambdaBar0:  433	1077.49	326.457	0.76314	0.241553
Proton:      11881	3718.91	9181.87	2.63394	6.79388
Antiproton:  1268	2720.32	900.285	1.92668	0.666143
Neutron:     13087	4092.45	10108.8	2.8985	7.47976
Antineutron: 1265	2700.64	879.525	1.91274	0.650781
etaTOT:      7491	6557.34	4855.34	4.64427	3.59259
omegaTOT:    7813	8426.07	5446.44	5.96781	4.02995
eta:         7491	2743.25	1597.82	1.94292	1.18227
omega:       7813	309.803	-1770.03	0.219419	-1.30969
Omega-:      1	1.73988	0.49491	0.00123228	0.000366195
Xi0:         59	95.7026	52.3872	0.0677819	0.0387626
Xi-:         63	97.9898	47.7104	0.0694018	0.0353021
Sigma+:      378	566.73	323.498	0.401389	0.239364
Sigma-:      456	684.334	384.74	0.484683	0.284678
Sigma0:      516	779.039	445.987	0.551759	0.329996
Sigma+BAR:   127	188.95	106.446	0.133825	0.0787616
Sigma-BAR:   136	195.436	100.335	0.138419	0.0742401
Sigma0BAR:   159	234.367	127.799	0.165991	0.0945614
gamma:       2182	498.699	498.699	0.353206	0.368999

[Pions]:     219286	104782	98467.6	74.2124	72.8586
[Kaons]:     18734	15483.8	11807.6	10.9665	8.73674
[Lambdas]:   2525	1685.18	1990.62	1.19354	1.47291
[p,pbar]:    13149	6439.23	10082.2	4.56062	7.46003
[n,nbar]:    14352	6793.09	10988.3	4.81124	8.13054
[eta,ome]:   15304	3053.05	-172.212	2.16234	-0.127424
[Xi,Om,Sig]: 1473	2225.54	1254.82	1.57625	0.928469
[gamma]:     2182	498.699	498.699	0.353206	0.368999
[exotic]:    2074	231.487	231.362	0.163952	0.17119

counted ET:  141192	Total ET:	153741	(counted/total)%:	91.8375

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   3814.08	3257.52	104782	98467.6	3.64002	3.30822
[Pions (omega)] 8116.26	7216.48	104782	98467.6	7.74586	7.32878
