Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 27

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 239379	Total Transverse Momentum: 213490

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         116139	57436.6	54122.1	23.994	25.3511
Pi-:         115495	56739.9	53421.3	23.7029	25.0229
Pi0:         132206	62241.8	58447	26.0013	27.3769
K+:          9636	7996.52	6107.8	3.34052	2.86093
K-:          8766	7187.91	5460.59	3.00273	2.55777
K0L:         9122	7596.11	5793.89	3.17325	2.71389
K0S:         9153	7600.43	5783.58	3.17506	2.70906
Lambda0:     2171	643.848	1742.4	0.268966	0.81615
LambdaBar0:  1067	2674.51	826.161	1.11727	0.386979
Proton:      8841	2779.89	6833.97	1.16129	3.20107
Antiproton:  3224	6976.85	2389.39	2.91456	1.1192
Neutron:     9573	3042.62	7447.29	1.27105	3.48836
Antineutron: 3295	7151.63	2456.81	2.98757	1.15078
etaTOT:      12555	11199.1	8383.73	4.6784	3.92699
omegaTOT:    13539	14995.7	9940.1	6.26443	4.656
eta:         12555	4617.23	2736.76	1.92883	1.28191
omega:       13539	405.676	-3065.75	0.16947	-1.43602
Omega-:      2	3.69628	1.45708	0.00154411	0.000682506
Xi0:         96	155.614	84.5224	0.0650074	0.0395908
Xi-:         93	150.786	80.3871	0.0629906	0.0376538
Sigma+:      578	868.576	493.942	0.362845	0.231365
Sigma-:      595	896.16	501.283	0.374369	0.234804
Sigma0:      600	909.625	522.215	0.379993	0.244608
Sigma+BAR:   350	513.168	279.13	0.214375	0.130746
Sigma-BAR:   369	541.157	290.664	0.226067	0.136149
Sigma0BAR:   394	584.663	324.707	0.244241	0.152095
gamma:       3779	902.473	902.473	0.377006	0.422724

[Pions]:     363840	176418	165990	73.6982	77.7508
[Kaons]:     36677	30381	23145.9	12.6916	10.8417
[Lambdas]:   3238	3318.36	2568.56	1.38624	1.20313
[p,pbar]:    12065	9756.74	9223.36	4.07585	4.32028
[n,nbar]:    12868	10194.3	9904.11	4.25862	4.63914
[eta,ome]:   26094	5022.9	-328.996	2.0983	-0.154104
[Xi,Om,Sig]: 1964	2984.46	1683.81	1.24675	0.788705
[gamma]:     3779	902.473	902.473	0.377006	0.422724
[exotic]:    3412	400.821	400.551	0.167442	0.18762

counted ET:  239379	Total ET:	262190	(counted/total)%:	91.2998

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   6581.9	5646.97	176418	165990	3.73085	3.40199
[Pions (omega)] 14590.1	13005.9	176418	165990	8.27016	7.8353
