Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 200038	Total Transverse Momentum: 181314

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         97548	48085.5	45301.6	24.0381	24.9851
Pi-:         97459	47473	44660.3	23.732	24.6314
Pi0:         111890	52290	49069.7	26.14	27.0634
K+:          8233	6801.09	5178.97	3.39989	2.85635
K-:          6673	5431.87	4109.01	2.71542	2.26624
K0L:         7518	6269.82	4789.85	3.13431	2.64174
K0S:         7509	6203.25	4713.28	3.10103	2.59951
Lambda0:     2029	583.763	1602.9	0.291826	0.884047
LambdaBar0:  843	2113.81	657.233	1.0567	0.362483
Proton:      9701	3035.53	7476.04	1.51747	4.12326
Antiproton:  2413	5192.94	1745.97	2.59597	0.962951
Neutron:     10381	3255.25	8022.93	1.62731	4.42488
Antineutron: 2601	5636.41	1930.74	2.81767	1.06486
etaTOT:      10473	9258.78	6905.67	4.6285	3.80868
omegaTOT:    11287	12371.4	8118.89	6.18452	4.47781
eta:         10473	3796.57	2235.98	1.89792	1.23321
omega:       11287	238.516	-2693.87	0.119235	-1.48575
Omega-:      1	1.87334	0.856851	0.00093649	0.000472578
Xi0:         92	149.378	82.8383	0.0746748	0.0456877
Xi-:         94	152.118	80.3607	0.0760445	0.0443212
Sigma+:      481	718.248	404.84	0.359055	0.223281
Sigma-:      480	726.302	413.513	0.363082	0.228064
Sigma0:      544	826.234	474.284	0.413038	0.261581
Sigma+BAR:   261	384.265	213.436	0.192096	0.117716
Sigma-BAR:   273	403.971	220.719	0.201947	0.121733
Sigma0BAR:   304	450.239	249.341	0.225076	0.137519
gamma:       3036	733.39	733.39	0.366625	0.404486

[Pions]:     306897	147849	139032	73.9101	76.68
[Kaons]:     29933	24706	18791.1	12.3507	10.3638
[Lambdas]:   2872	2697.57	2260.13	1.34853	1.24653
[p,pbar]:    12114	8228.46	9222.01	4.11344	5.08621
[n,nbar]:    12982	8891.67	9953.68	4.44498	5.48974
[eta,ome]:   21760	4035.09	-457.895	2.01716	-0.252543
[Xi,Om,Sig]: 1692	2574.15	1456.69	1.28683	0.803409
[gamma]:     3036	733.39	733.39	0.366625	0.404486
[exotic]:    2827	323.445	323.367	0.161691	0.178346

counted ET:  200038	Total ET:	218872	(counted/total)%:	91.3952

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   5462.21	4669.69	147849	139032	3.69446	3.35872
[Pions (omega)] 12132.9	10812.8	147849	139032	8.2063	7.7772
