Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 200

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.5
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 203329	Total Transverse Momentum: 177445

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         89644	44087.3	41663.2	21.6827	23.4795
Pi-:         90103	44302.8	41860.3	21.7887	23.5905
Pi0:         101647	47722.8	44965.7	23.4707	25.3406
K+:          8022	6675.94	5197.17	3.28332	2.92889
K-:          7930	6583.53	5132.33	3.23787	2.89235
K0L:         7785	6487.56	5039.43	3.19067	2.84
K0S:         7757	6447.32	5003.65	3.17087	2.81983
Lambda0:     1087	363.535	908.251	0.178791	0.511849
LambdaBar0:  1013	2510.13	853.873	1.23451	0.481204
Proton:      3471	1153	2708.82	0.567061	1.52657
Antiproton:  3008	6416.62	2340.58	3.15578	1.31904
Neutron:     3564	1164.13	2754.74	0.572536	1.55245
Antineutron: 2987	6370.15	2319.87	3.13292	1.30737
eta:         9469	8465.36	6476.72	4.16338	3.64998
omega:       10244	11441.9	7889.77	5.6273	4.44631
Omega-:      4	8.20869	4.7503	0.00403714	0.00267705
Xi0:         83	132.33	74.0316	0.0650816	0.0417208
Xi-:         106	176.018	102.084	0.0865677	0.0575302
Sigma+:      352	523.848	311.499	0.257635	0.175547
Sigma-:      363	548.716	328.624	0.269866	0.185198
Sigma0:      383	572.382	334.459	0.281505	0.188486
Sigma+BAR:   371	550.78	325.457	0.270881	0.183413
Sigma-BAR:   372	548.78	316.622	0.269897	0.178434
Sigma0BAR:   368	548.1	323.329	0.269563	0.182213
gamma:       3417	832.866	832.866	0.409614	0.469365

[Pions]:     281394	136113	128489	66.9422	72.4107
[Kaons]:     31494	26194.4	20372.6	12.8827	11.4811
[Lambdas]:   2100	2873.66	1762.12	1.41331	0.993053
[p,pbar]:    6479	7569.62	5049.4	3.72284	2.84561
[n,nbar]:    6551	7534.28	5074.61	3.70546	2.85982
[eta,ome]:   19713	19907.3	14366.5	9.79068	8.0963
[Xi,Om,Sig]: 1291	1961.5	1155.45	0.964692	0.651159
[gamma]:     3417	832.866	832.866	0.409614	0.469365
[exotic]:    2669	342.663	342.408	0.168526	0.192965

counted ET:  203329	Total ET:	62052.3	(counted/total)%:	327.674

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   5029.48	4350.46	136113	128489	3.69507	3.38585
[Pions (omega)] 11376.1	10222.3	136113	128489	8.35781	7.95575
