Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 5020

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 119365	Total Transverse Momentum: 106863

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         44960	27069	25883.7	22.6775	24.2214
Pi-:         45434	27405.5	26212.4	22.9594	24.529
Pi0:         51512	29384.7	28021	24.6175	26.2214
K+:          4642	5018.96	4257.33	4.20471	3.98391
K-:          4672	4826.93	4032.19	4.04383	3.77323
K0L:         4434	4751.46	4008.44	3.98061	3.751
K0S:         4397	4678.22	3931.91	3.91925	3.67939
Lambda0:     622	431.765	809.793	0.361718	0.757786
LambdaBar0:  642	1833.43	801.797	1.53598	0.750303
Proton:      1821	1077.95	2051.64	0.903071	1.91987
Antiproton:  1838	4506.67	2045.81	3.77553	1.91442
Neutron:     1812	1049.45	2012.87	0.879195	1.88359
Antineutron: 1820	4440.42	1993.56	3.72003	1.86553
etaTOT:      5103	5641.11	4654.72	4.72593	4.35578
omegaTOT:    5589	7734.91	7734.91	6.48004	5.59693
eta:         5103	2070.28	1469.43	1.73441	1.37506
omega:       5589	-1318.16	590.134	-1.1043	-2.22637
Omega-:      1	1.68531	0.207794	0.00141189	0.000194449
Xi0:         70	144.106	103.155	0.120727	0.0965296
Xi-:         64	125.619	86.3852	0.105239	0.0808373
Sigma+:      207	372.21	260.318	0.311825	0.2436
Sigma-:      228	432.907	312.157	0.362675	0.292109
Sigma0:      211	393.128	280.073	0.329349	0.262086
Sigma+BAR:   221	418.262	301.118	0.350405	0.281779
Sigma-BAR:   204	387.32	278.572	0.324483	0.260681
Sigma0BAR:   212	396.676	287.03	0.332322	0.268596
gamma:       892	245.379	245.379	0.20557	0.22962

[Pions]:     141906	83859.2	80117.1	70.2544	74.9717
[Kaons]:     18145	19275.6	16229.9	16.1484	15.1875
[Lambdas]:   1264	2265.19	1611.59	1.8977	1.50809
[p,pbar]:    3659	5584.62	4097.44	4.6786	3.83429
[n,nbar]:    3632	5489.87	4006.42	4.59922	3.74912
[eta,ome]:   10692	752.123	-909.733	0.630103	-0.851307
[Xi,Om,Sig]: 781	1469.66	1042.3	1.23123	0.975356
[gamma]:     892	245.379	245.379	0.20557	0.22962
[exotic]:    1745	423.52	422.713	0.35481	0.395565

counted ET:  119365	Total ET:	133191	(counted/total)%:	89.6193

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   3570.84	3185.28	83859.2	80117.1	4.25813	3.97579
[Pions (omega)] 9053.06	8360.22	83859.2	80117.1	10.7955	10.435
