Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 62.4

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.5
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 169899	Total Transverse Momentum: 149880

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         74965	36961.2	34943.9	21.7548	23.3145
Pi-:         75691	37229.7	35189.2	21.9128	23.4782
Pi0:         85855	40362.3	38050.6	23.7566	25.3873
K+:          6622	5447.76	4228.62	3.20646	2.82133
K-:          6161	5064.14	3945.51	2.98067	2.63244
K0L:         6297	5201.68	4028.24	3.06163	2.68764
K0S:         6345	5290.43	4117.13	3.11386	2.74694
Lambda0:     1150	367.394	942.338	0.216242	0.628727
LambdaBar0:  765	1875.14	615.357	1.10368	0.410565
Proton:      3851	1234.14	2960.41	0.726394	1.97518
Antiproton:  2350	4982.48	1803.34	2.93261	1.20319
Neutron:     3998	1290.3	3087.12	0.759448	2.05973
Antineutron: 2330	4977.51	1829.74	2.92968	1.2208
eta:         8239	7311.75	5584.41	4.30358	3.72591
omega:       8716	9627.75	6607.91	5.66674	4.40879
Omega-:      1	1.94649	1.18288	0.00114568	0.000789214
Xi0:         72	114.63	65.7997	0.0674696	0.0439015
Xi-:         87	139.717	79.6702	0.0822352	0.0531559
Sigma+:      360	547.644	331.848	0.322334	0.221409
Sigma-:      319	466.393	267.249	0.274511	0.178308
Sigma0:      336	505.831	301.66	0.297724	0.201267
Sigma+BAR:   261	377.486	214.332	0.222182	0.143002
Sigma-BAR:   253	373.478	217.385	0.219823	0.145039
Sigma0BAR:   280	409.518	233.832	0.241036	0.156012
gamma:       2564	628.008	628.008	0.369635	0.419006

[Pions]:     236511	114553	108184	67.4242	72.1801
[Kaons]:     25425	21004	16319.5	12.3626	10.8883
[Lambdas]:   1915	2242.54	1557.69	1.31992	1.03929
[p,pbar]:    6201	6216.62	4763.76	3.659	3.17837
[n,nbar]:    6328	6267.8	4916.87	3.68913	3.28053
[eta,ome]:   16955	16939.5	12192.3	9.97032	8.1347
[Xi,Om,Sig]: 1175	1776.16	1047.41	1.04542	0.698831
[gamma]:     2564	628.008	628.008	0.369635	0.419006
[exotic]:    2290	271.47	270.983	0.159783	0.180799

counted ET:  169899	Total ET:	51545.4	(counted/total)%:	329.611

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   4321.52	3746.37	114553	108184	3.7725	3.46297
[Pions (omega)] 9570.91	8595.12	114553	108184	8.35499	7.94492
