Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 27

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 24646	Total Transverse Momentum: 21987

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         12254	6040.61	5690.16	24.5095	25.8796
Pi-:         12101	5924.4	5576.12	24.0379	25.3609
Pi0:         14082	6655.57	6252.85	27.0046	28.4388
K+:          1043	849.65	640.77	3.44741	2.91431
K-:          908	756.566	581.718	3.06973	2.64573
K0L:         946	789.404	602.425	3.20297	2.73991
K0S:         980	824.475	634.573	3.34527	2.88612
Lambda0:     208	64.9541	172.936	0.263548	0.786536
LambdaBar0:  100	250.922	78.4609	1.0181	0.356851
Proton:      935	296.233	726.876	1.20195	3.30593
Antiproton:  344	739.827	249.58	3.00181	1.13512
Neutron:     983	311.835	765.016	1.26525	3.4794
Antineutron: 339	728.491	243.547	2.95581	1.10768
etaTOT:      1315	1156.42	860.433	4.69211	3.91337
omegaTOT:    1427	1589.59	1589.59	6.44969	4.80486
eta:         1315	373.829	196.668	1.51679	0.894473
omega:       1427	-338.323	298.439	-1.37273	-3.04109
Omega-:      3	5.97614	2.85032	0.0242479	0.0129636
Xi0:         13	20.3605	10.4324	0.0826118	0.0474479
Xi-:         15	24.8113	14.049	0.100671	0.0638968
Sigma+:      59	88.6669	50.0654	0.359761	0.227704
Sigma-:      52	77.2842	41.9579	0.313577	0.19083
Sigma0:      56	84.0371	48.1909	0.340976	0.219179
Sigma+BAR:   34	48.4973	25.2183	0.196775	0.114696
Sigma-BAR:   32	47.1027	26.204	0.191117	0.119179
Sigma0BAR:   40	59.0109	31.7623	0.239434	0.144459
gamma:       173	31.85	31.85	0.12923	0.144858

[Pions]:     38437	18620.6	17519.1	75.552	79.6793
[Kaons]:     3877	3220.1	2459.49	13.0654	11.1861
[Lambdas]:   308	315.876	251.397	1.28165	1.14339
[p,pbar]:    1279	1036.06	976.455	4.20376	4.44105
[n,nbar]:    1322	1040.33	1008.56	4.22107	4.58708
[eta,ome]:   2742	35.5062	-471.978	0.144064	-2.14662
[Xi,Om,Sig]: 198	301.136	167.546	1.22184	0.762022
[gamma]:     173	31.85	31.85	0.12923	0.144858
[exotic]:    396	44.605	44.603	0.180982	0.202861

counted ET:  24646	Total ET:	27511.1	(counted/total)%:	89.5856

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   782.589	663.765	18620.6	17519.1	4.20282	3.78881
[Pions (omega)] 1927.91	1725.09	18620.6	17519.1	10.3537	9.84692
