Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 39

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 279566	Total Transverse Momentum: 247155

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         134313	66712.6	62878.1	23.863	25.4407
Pi-:         134205	66485.9	62635.5	23.7819	25.3426
Pi0:         152480	72333.3	67958.5	25.8735	27.4963
K+:          11597	9747.37	7493.07	3.48662	3.03173
K-:          10463	8695.3	6650.42	3.11029	2.69078
K0L:         11010	9238.78	7063.81	3.30469	2.85804
K0S:         11071	9320.33	7142.04	3.33386	2.8897
Lambda0:     2229	702.963	1843.89	0.251449	0.746044
LambdaBar0:  1304	3290	1045.02	1.17682	0.422819
Proton:      8498	2733.42	6650.3	0.977738	2.69074
Antiproton:  3902	8454.7	2897.06	3.02423	1.17216
Neutron:     8868	2860.3	6944.11	1.02312	2.80961
Antineutron: 3941	8568.97	2952.73	3.0651	1.19469
etaTOT:      14430	12931.6	9695.05	4.62562	3.92265
omegaTOT:    15340	17208.8	11540.7	6.15554	4.66941
eta:         14430	5287.38	3141.07	1.89129	1.27089
omega:       15340	213.659	-3633.11	0.0764255	-1.46997
Omega-:      5	9.46886	4.17561	0.00338699	0.00168947
Xi0:         130	211.681	116.547	0.0757177	0.0471553
Xi-:         132	213.505	115.036	0.0763703	0.0465439
Sigma+:      604	920.134	533.942	0.32913	0.216035
Sigma-:      649	986.348	559.504	0.352814	0.226377
Sigma0:      655	1007.92	592.502	0.36053	0.239729
Sigma+BAR:   429	647.955	373.265	0.231772	0.151025
Sigma-BAR:   446	662.368	363.916	0.236928	0.147242
Sigma0BAR:   485	725.381	410.122	0.259467	0.165937
gamma:       4448	1101.34	1101.34	0.393947	0.445607

[Pions]:     420998	205532	193472	73.5183	78.2796
[Kaons]:     44141	37001.8	28349.3	13.2355	11.4702
[Lambdas]:   3533	3992.96	2888.91	1.42827	1.16886
[p,pbar]:    12400	11188.1	9547.36	4.00196	3.8629
[n,nbar]:    12809	11429.3	9896.84	4.08823	4.0043
[eta,ome]:   29770	5501.04	-492.039	1.96771	-0.199081
[Xi,Om,Sig]: 2175	3349.05	1921.71	1.19795	0.77753
[gamma]:     4448	1101.34	1101.34	0.393947	0.445607
[exotic]:    3996	470.093	469.794	0.168151	0.190081

counted ET:  279566	Total ET:	306241	(counted/total)%:	91.2895

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   7644.25	6553.98	205532	193472	3.71925	3.38756
[Pions (omega)] 16995.1	15173.8	205532	193472	8.26884	7.84289
