Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 62.4

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 308424	Total Transverse Momentum: 269553

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         147397	72977.9	68735.8	23.6615	25.4999
Pi-:         148321	73553.1	69296.3	23.8481	25.7079
Pi0:         168402	79762.5	74919.5	25.8613	27.794
K+:          12768	10733.4	8244.53	3.48008	3.05859
K-:          12240	10189.2	7790.48	3.30363	2.89015
K0L:         12395	10408.8	7966.99	3.37484	2.95563
K0S:         12341	10460.4	8039.59	3.39155	2.98257
Lambda0:     2105	692.156	1784.09	0.224417	0.66187
LambdaBar0:  1498	3798.49	1223.34	1.23158	0.45384
Proton:      7091	2263.77	5505.55	0.733981	2.04248
Antiproton:  4533	9869.77	3431.68	3.20007	1.2731
Neutron:     7399	2362.12	5751.26	0.765867	2.13363
Antineutron: 4579	10019.5	3518.81	3.2486	1.30543
etaTOT:      15927	14362	10806.4	4.65658	4.009
omegaTOT:    16825	19083.7	12904.8	6.18748	4.78748
eta:         15927	5862.97	3512.15	1.90094	1.30295
omega:       16825	202.041	-3952.85	0.0655075	-1.46645
Omega-:      5	11.1407	6.95073	0.00361213	0.00257861
Xi0:         146	241.119	135.256	0.0781779	0.0501778
Xi-:         157	260.161	143.156	0.0843518	0.0531089
Sigma+:      591	882.147	494.52	0.286018	0.183459
Sigma-:      624	960.556	558.705	0.31144	0.207271
Sigma0:      720	1104.74	639.627	0.35819	0.237292
Sigma+BAR:   513	779.327	450.14	0.25268	0.166995
Sigma-BAR:   525	805.059	467.431	0.261024	0.17341
Sigma0BAR:   524	786.151	442.107	0.254893	0.164015
gamma:       5197	1283.2	1283.2	0.416052	0.476049

[Pions]:     464120	226294	212952	73.3709	79.0018
[Kaons]:     49744	41791.8	32041.6	13.5501	11.8869
[Lambdas]:   3603	4490.64	3007.43	1.456	1.11571
[p,pbar]:    11624	12133.5	8937.23	3.93405	3.31558
[n,nbar]:    11978	12381.6	9270.07	4.01447	3.43905
[eta,ome]:   32752	6065.01	-440.706	1.96645	-0.163495
[Xi,Om,Sig]: 2243	3459.87	1978.22	1.12179	0.733888
[gamma]:     5197	1283.2	1283.2	0.416052	0.476049
[exotic]:    4443	524.833	524.307	0.170166	0.19451

counted ET:  308424	Total ET:	338175	(counted/total)%:	91.2024

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   8499.05	7294.23	226294	212952	3.75576	3.4253
[Pions (omega)] 18881.6	16857.6	226294	212952	8.34387	7.91618
