Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 27

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 24964	Total Transverse Momentum: 22291

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         11125	5522.45	5206.5	22.1217	23.357
Pi-:         11230	5483.99	5158.8	21.9676	23.143
Pi0:         12756	6045.83	5679.06	24.2182	25.477
K+:          990	821.305	626.08	3.28996	2.80867
K-:          831	682.822	518.055	2.73523	2.32406
K0L:         877	726.875	552.549	2.9117	2.4788
K0S:         861	706.618	533.482	2.83055	2.39326
Lambda0:     196	58.8738	157.889	0.235835	0.70831
LambdaBar0:  92	228.895	69.3781	0.9169	0.311239
Proton:      841	256.288	632.648	1.02663	2.83814
Antiproton:  307	662.587	224.302	2.65417	1.00624
Neutron:     939	309.184	745.377	1.23852	3.34385
Antineutron: 287	616.982	202.887	2.47149	0.910177
eta:         1205	1063.21	790	4.25899	3.54404
omega:       1200	1332.3	885.085	5.33691	3.9706
Omega-:      0	0	0	0	0
Xi0:         15	23.5004	12.169	0.0941373	0.0545918
Xi-:         13	20.3178	10.1246	0.0813885	0.0454204
Sigma+:      60	89.3015	49.7532	0.357721	0.223199
Sigma-:      57	88.0481	51.6853	0.3527	0.231867
Sigma0:      57	82.7414	43.3423	0.331443	0.194439
Sigma+BAR:   29	42.5367	23.1393	0.170392	0.103806
Sigma-BAR:   34	54.834	33.4857	0.219653	0.150221
Sigma0BAR:   36	52.6019	28.3982	0.210711	0.127398
gamma:       383	100.052	100.052	0.400785	0.448846

[Pions]:     35111	17052.3	16044.4	68.3075	71.977
[Kaons]:     3559	2937.62	2230.17	11.7674	10.0048
[Lambdas]:   288	287.769	227.267	1.15274	1.01955
[p,pbar]:    1148	918.875	856.95	3.6808	3.84438
[n,nbar]:    1226	926.166	948.264	3.71001	4.25403
[eta,ome]:   2405	2395.52	1675.09	9.5959	7.51464
[Xi,Om,Sig]: 202	303.909	167.074	1.21739	0.749517
[gamma]:     383	100.052	100.052	0.400785	0.448846
[exotic]:    338	41.8057	41.7433	0.167464	0.187266

counted ET:  24964	Total ET:	7489.7	(counted/total)%:	333.311

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   649.315	556.473	17052.3	16044.4	3.80779	3.46834
[Pions (omega)] 1378.88	1229.1	17052.3	16044.4	8.08618	7.66063
