Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 200

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 365153	Total Transverse Momentum: 316359

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         172950	85884.2	80887.4	23.5201	25.5683
Pi-:         174853	86548.8	81489.6	23.7021	25.7586
Pi0:         197291	93669.9	87983.6	25.6522	27.8114
K+:          15307	12974.6	9998.25	3.55318	3.16042
K-:          14870	12526.7	9623.86	3.43053	3.04207
K0L:         14862	12643.9	9718.31	3.46262	3.07193
K0S:         14983	12712.8	9765.83	3.48149	3.08695
Lambda0:     2212	736.928	1885.41	0.201814	0.595973
LambdaBar0:  1865	4781.11	1588.15	1.30935	0.50201
Proton:      6604	2218.85	5249.07	0.607649	1.65922
Antiproton:  5740	12615.2	4488.49	3.45478	1.4188
Neutron:     6743	2171.9	5256.65	0.594792	1.66161
Antineutron: 5679	12470.7	4400.93	3.4152	1.39112
etaTOT:      18535	16818.3	12674	4.60583	4.00622
omegaTOT:    19423	22225.7	15101	6.08667	4.77339
eta:         18535	6778.09	4042.22	1.85623	1.27773
omega:       19423	136.954	-4626.35	0.0375058	-1.46237
Omega-:      3	6.50033	3.60015	0.00178017	0.001138
Xi0:         173	291.408	168.101	0.0798045	0.0531362
Xi-:         161	268.829	150.301	0.073621	0.0475098
Sigma+:      744	1146.47	671.053	0.31397	0.212118
Sigma-:      708	1084.65	622.504	0.297039	0.196772
Sigma0:      767	1183.59	691.216	0.324136	0.218492
Sigma+BAR:   669	1030.08	601.561	0.282096	0.190152
Sigma-BAR:   665	1025.29	596.036	0.280785	0.188405
Sigma0BAR:   660	1018.71	594.836	0.278982	0.188026
gamma:       6494	1629.57	1629.57	0.446271	0.515103

[Pions]:     545094	266103	250361	72.8743	79.1383
[Kaons]:     60022	50857.9	39106.3	13.9278	12.3614
[Lambdas]:   4077	5518.04	3473.56	1.51116	1.09798
[p,pbar]:    12344	14834.1	9737.57	4.06243	3.07802
[n,nbar]:    12422	14642.6	9657.58	4.00999	3.05273
[eta,ome]:   37958	6915.05	-584.129	1.89374	-0.184641
[Xi,Om,Sig]: 2556	3981.45	2306.78	1.09035	0.729165
[gamma]:     6494	1629.57	1629.57	0.446271	0.515103
[exotic]:    5315	671.468	670.664	0.183887	0.211995

counted ET:  365153	Total ET:	400356	(counted/total)%:	91.2071

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   10040.2	8631.81	266103	250361	3.77307	3.44775
[Pions (omega)] 22088.7	19727.4	266103	250361	8.30082	7.87959
