Event ET Analysis
******************************************************
JobID: 20200229	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 200135	Total Transverse Momentum: 181259

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         80274	42317.3	40222.2	21.1444	22.1904
Pi-:         79413	41487.2	39390.2	20.7296	21.7314
Pi0:         93095	46104.6	43613.1	23.0368	24.0611
K+:          8196	6723.29	5098.89	3.35938	2.81303
K-:          6849	5646.52	4309.37	2.82136	2.37746
K0L:         7457	6160.25	4675.62	3.07805	2.57952
K0S:         7315	6029.25	4569.42	3.0126	2.52093
Lambda0:     2171	629.282	1714	0.314429	0.945607
LambdaBar0:  852	2127.32	648.393	1.06294	0.357715
Proton:      9668	3121.47	7572.83	1.55969	4.17789
Antiproton:  2497	5371.7	1803.93	2.68404	0.995221
Neutron:     10394	3237.55	7988.51	1.61769	4.40722
Antineutron: 2528	5441.3	1819.94	2.71882	1.00405
eta:         10674	9470.56	7074.08	4.73209	3.90274
omega:       11269	12353	8102.65	6.17234	4.47019
Omega-:      2	3.54496	1.17394	0.00177129	0.000647657
Xi0:         97	151.502	75.1646	0.0756999	0.041468
Xi-:         121	191.895	98.1306	0.095883	0.0541382
Sigma+:      518	767.378	427.427	0.383431	0.235809
Sigma-:      537	817.175	466.478	0.408313	0.257354
Sigma0:      605	909.001	514.7	0.454195	0.283958
Sigma+BAR:   285	423.1	236.126	0.211408	0.13027
Sigma-BAR:   277	401.919	211.145	0.200824	0.116488
Sigma0BAR:   297	432.706	230.054	0.216208	0.12692
gamma:       3061	730.428	730.428	0.364969	0.402974

[Pions]:     252782	129909	123225	64.9109	67.9829
[Kaons]:     29817	24559.3	18653.3	12.2714	10.2909
[Lambdas]:   3023	2756.6	2362.4	1.37737	1.30332
[p,pbar]:    12165	8493.17	9376.76	4.24373	5.17312
[n,nbar]:    12922	8678.84	9808.45	4.3365	5.41128
[eta,ome]:   21943	21823.5	15176.7	10.9044	8.37293
[Xi,Om,Sig]: 1880	2840.5	1583.07	1.41929	0.873375
[gamma]:     3061	730.428	730.428	0.364969	0.402974
[exotic]:    2869	343.027	342.855	0.171398	0.189152

counted ET:  200135	Total ET:	65368.3	(counted/total)%:	306.164

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   5490.18	4707.19	129909	123225	4.22617	3.81998
[Pions (omega)] 12036.4	10719.6	129909	123225	9.26526	8.69919
