Event ET Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 7.7

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 14056.7	Total Transverse Momentum: 13594.6

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         6352	3053.21	2869.75	21.7206	21.1095
Pi-:         6348	3095.51	2913.49	22.0215	21.4313
Pi0:         7386	3465.18	3253.04	24.6514	23.9289
K+:          525	429.266	325.154	3.05381	2.39179
K-:          306	247.887	185.092	1.76347	1.36151
K0L:         396	328.676	251.143	2.33821	1.84737
K0S:         400	329.031	249.88	2.34073	1.83808
Lambda0:     207	62.8139	169.628	0.44686	1.24776
LambdaBar0:  27	66.5265	19.1368	0.473271	0.140768
Proton:      1264	413.828	998.914	2.94398	7.34788
Antiproton:  113	237.395	73.4214	1.68883	0.540078
Neutron:     1444	432.886	1092.86	3.07956	8.03891
Antineutron: 115	245.35	79.492	1.74543	0.584732
eta:         655	562.396	413.003	4.0009	3.03799
omega:       737	789.498	508.381	5.61651	3.73958
Omega-:      0	0	0	0	0
Xi0:         5	8.26232	4.57061	0.0587783	0.0336208
Xi-:         7	11.444	6.45302	0.0814126	0.0474675
Sigma+:      41	60.9693	34.7636	0.433737	0.255716
Sigma-:      42	58.2046	27.7392	0.414069	0.204046
Sigma0:      59	86.7941	47.088	0.617455	0.346373
Sigma+BAR:   8	10.9746	5.02987	0.0780737	0.036999
Sigma-BAR:   12	16.9582	8.81707	0.120641	0.0648571
Sigma0BAR:   11	15.7241	7.87463	0.111862	0.0579247
gamma:       199	48.8272	48.8272	0.347358	0.359166

[Pions]:     20086	9613.89	9036.28	68.3935	66.4696
[Kaons]:     1627	1334.86	1011.27	9.49622	7.43876
[Lambdas]:   234	129.34	188.764	0.920131	1.38853
[p,pbar]:    1377	651.223	1072.34	4.63281	7.88795
[n,nbar]:    1559	678.237	1172.35	4.82499	8.62364
[eta,ome]:   1392	1351.89	921.383	9.61741	6.77757
[Xi,Om,Sig]: 154	225.674	120.614	1.60545	0.887224
[gamma]:     199	48.8272	48.8272	0.347358	0.359166
[exotic]:    199	22.7931	22.7728	0.162151	0.167514

counted ET:  14056.7	Total ET:	4245.4	(counted/total)%:	331.106

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   347.979	296.959	9613.89	9036.28	3.61954	3.2863
[Pions (omega)] 743.704	663.981	9613.89	9036.28	7.73572	7.34795
