Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 10000	SNN: 39

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 272161	Total Transverse Momentum: 240425

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         133667	66296.6	62469.4	24.3593	25.9829
Pi-:         133644	66290.6	62468.2	24.3571	25.9824
Pi0:         152284	72306.4	67947.7	26.5675	28.2615
K+:          11669	9765.79	7488.21	3.58824	3.11457
K-:          10466	8717.8	6683.2	3.20318	2.77974
K0L:         10944	9137.9	6977.37	3.35754	2.90209
K0S:         10665	9002.86	6907.13	3.30792	2.87288
Lambda0:     2216	713.761	1863.47	0.262257	0.775074
LambdaBar0:  1268	3200.04	1017.57	1.17579	0.423239
Proton:      8331	2658.67	6469.21	0.976876	2.69074
Antiproton:  3914	8494.66	2927.86	3.12119	1.21778
Neutron:     8841	2805.6	6862.68	1.03086	2.85439
Antineutron: 4059	8850.6	3078.86	3.25197	1.28059
etaTOT:      14283	12874.9	9694.27	4.73064	4.03214
omegaTOT:    15242	17153.7	17153.7	6.30276	4.79659
eta:         14283	4286.34	2387.83	1.57493	0.993171
omega:       15242	-4538.8	3087.99	-1.66769	-3.27801
Omega-:      6	11.4955	5.37396	0.00422378	0.00223519
Xi0:         132	215.234	117.708	0.0790833	0.0489585
Xi-:         127	203.924	107.13	0.0749276	0.0445585
Sigma+:      600	912.58	524.892	0.335309	0.218318
Sigma-:      617	938.566	538.662	0.344857	0.224045
Sigma0:      672	1041.07	614.929	0.382519	0.255767
Sigma+BAR:   430	645.933	364.413	0.237335	0.15157
Sigma-BAR:   427	636.839	356.674	0.233993	0.148351
Sigma0BAR:   452	667.815	367.857	0.245375	0.153003
gamma:       2119	377.255	377.255	0.138615	0.156912

[Pions]:     419595	204894	192885	75.284	80.2268
[Kaons]:     43744	36624.3	28055.9	13.4569	11.6693
[Lambdas]:   3484	3913.8	2881.05	1.43805	1.19831
[p,pbar]:    12245	11153.3	9397.07	4.09807	3.90852
[n,nbar]:    12900	11656.2	9941.54	4.28283	4.13498
[eta,ome]:   29525	-252.457	-5493.33	-0.0927603	-2.28484
[Xi,Om,Sig]: 2154	3322.87	1908.69	1.22092	0.793883
[gamma]:     2119	377.255	377.255	0.138615	0.156912
[exotic]:    4175	471.92	471.685	0.173397	0.196188

counted ET:  272161	Total ET:	304392	(counted/total)%:	89.4112

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   8588.6	7306.44	204894	192885	4.19174	3.78797
[Pions (omega)] 21692.5	19413.4	204894	192885	10.5872	10.0647
