Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 7.7

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 124452	Total Transverse Momentum: 121533

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         61391	29908.2	28153	24.0318	23.1649
Pi-:         61779	29689.1	27890.6	23.8558	22.949
Pi0:         71096	32718.1	30657.7	26.2897	25.2258
K+:          4926	4057.47	3089.7	3.26026	2.54227
K-:          3033	2500.75	1912.14	2.0094	1.57335
K0L:         3880	3191.26	2424.3	2.56424	1.99476
K0S:         3754	3092.65	2353.69	2.48501	1.93666
Lambda0:     2119	587.501	1641.18	0.472068	1.35039
LambdaBar0:  297	731.778	210.617	0.587998	0.1733
Proton:      12382	3820.87	9478.12	3.07014	7.79879
Antiproton:  957	2039.99	663.688	1.63917	0.546096
Neutron:     13805	4195.86	10491.1	3.37146	8.63229
Antineutron: 1001	2143.03	706.069	1.72197	0.580968
etaTOT:      6753	5878.25	4341.85	4.72329	3.57257
omegaTOT:    7123	7657.8	4922.75	6.15319	4.05054
eta:         6753	2542.92	1490.74	2.04328	1.22661
omega:       7123	438.144	-1506.53	0.352057	-1.23961
Omega-:      0	0	0	0	0
Xi0:         42	68.1388	37.9824	0.0547509	0.0312527
Xi-:         63	104.445	59.6661	0.0839233	0.0490945
Sigma+:      343	522.398	305.556	0.419757	0.251418
Sigma-:      460	697.736	400.497	0.560645	0.329537
Sigma0:      511	771.582	442.799	0.619981	0.364345
Sigma+BAR:   88	128.125	69.8354	0.102951	0.057462
Sigma-BAR:   107	155.549	83.943	0.124986	0.0690701
Sigma0BAR:   121	177.962	98.043	0.142996	0.0806718
gamma:       1909	428.412	428.412	0.344238	0.352506

[Pions]:     194266	92315.4	86701.3	74.1773	71.3397
[Kaons]:     15593	12842.1	9779.82	10.3189	8.04704
[Lambdas]:   2416	1319.28	1851.79	1.06007	1.52369
[p,pbar]:    13339	5860.85	10141.8	4.70931	8.34489
[n,nbar]:    14806	6338.89	11197.2	5.09343	9.21325
[eta,ome]:   13876	2981.06	-15.7942	2.39534	-0.0129958
[Xi,Om,Sig]: 1419	2164.3	1246.5	1.73906	1.02565
[gamma]:     1909	428.412	428.412	0.344238	0.352506
[exotic]:    1868	202.108	202.09	0.162397	0.166284

counted ET:  124452	Total ET:	135469	(counted/total)%:	91.8678

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   3335.33	2851.11	92315.4	86701.3	3.61297	3.28843
[Pions (omega)] 7219.65	6429.28	92315.4	86701.3	7.82064	7.41544
