Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 62.4

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 27802.2	Total Transverse Momentum: 24346.9

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         13747	6830.77	6436	24.5692	26.4345
Pi-:         13726	6743.16	6345.94	24.2541	26.0646
Pi0:         15740	7409.11	6954.34	26.6494	28.5635
K+:          1190	1043.88	818.945	3.75467	3.36365
K-:          1045	876.212	671.579	3.1516	2.75837
K0L:         1121	929.491	706.251	3.34323	2.90078
K0S:         1211	1029.45	791.028	3.70278	3.24899
Lambda0:     210	64.4242	171.514	0.231724	0.70446
LambdaBar0:  138	346.89	107.879	1.24771	0.443089
Proton:      707	221.274	544.587	0.795886	2.23678
Antiproton:  404	870.622	293.969	3.13149	1.20742
Neutron:     698	229.019	551.88	0.823745	2.26673
Antineutron: 419	915.447	320.61	3.29272	1.31684
etaTOT:      1467	1309.36	978.494	4.70956	4.01896
omegaTOT:    1538	1726.58	1726.58	6.21024	4.77911
eta:         1467	403.755	206.375	1.45224	0.847642
omega:       1538	-515.132	289.585	-1.85285	-3.45866
Omega-:      2	5.07001	3.67107	0.018236	0.0150782
Xi0:         7	11.236	6.21688	0.040414	0.0255346
Xi-:         9	13.6367	6.46148	0.0490489	0.0265392
Sigma+:      60	90.9383	51.8639	0.327091	0.213021
Sigma-:      63	96.293	55.2257	0.346351	0.226828
Sigma0:      65	99.6466	57.7477	0.358413	0.237187
Sigma+BAR:   35	51.0552	27.3861	0.183637	0.112483
Sigma-BAR:   52	80.2375	46.6174	0.288602	0.191472
Sigma0BAR:   63	95.3725	54.2506	0.34304	0.222823
gamma:       238	39.6416	39.6416	0.142585	0.16282

[Pions]:     43213	20983	19736.3	75.4727	81.0627
[Kaons]:     4567	3879.04	2987.8	13.9523	12.2718
[Lambdas]:   348	411.315	279.393	1.47943	1.14755
[p,pbar]:    1111	1091.9	838.556	3.92738	3.4442
[n,nbar]:    1117	1144.47	872.49	4.11646	3.58357
[eta,ome]:   3005	-111.377	-635.702	-0.400606	-2.61102
[Xi,Om,Sig]: 206	316.821	181.187	1.13955	0.744187
[gamma]:     238	39.6416	39.6416	0.142585	0.16282
[exotic]:    430	47.321	47.2799	0.170206	0.194192

counted ET:  27802.2	Total ET:	31176.1	(counted/total)%:	89.1777

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   905.606	772.119	20983	19736.3	4.31589	3.91218
[Pions (omega)] 2241.71	2005.64	20983	19736.3	10.6834	10.1622
