Event ET Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 19714.6	Total Transverse Momentum: 17935.8

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         9845	4840.59	4558.76	24.5533	25.417
Pi-:         9916	4826.04	4539.75	24.4796	25.3111
Pi0:         11072	5177.77	4860.12	26.2636	27.0973
K+:          771	644.527	496.33	3.26929	2.76725
K-:          695	567.18	430.064	2.87696	2.39779
K0L:         754	632.109	485.176	3.2063	2.70506
K0S:         722	597.254	454.216	3.0295	2.53245
Lambda0:     225	67.8493	181.198	0.344158	1.01026
LambdaBar0:  70	176.853	56.8905	0.897064	0.317189
Proton:      1025	329.213	802.623	1.6699	4.47497
Antiproton:  264	567.675	190.167	2.87947	1.06026
Neutron:     1084	339.797	836.371	1.72358	4.66313
Antineutron: 258	560.269	192.514	2.8419	1.07335
etaTOT:      1033	911.375	678.231	4.62285	3.78143
omegaTOT:    1149	1238.62	1238.62	6.28274	4.45349
eta:         1033	332.184	189.39	1.68496	1.05593
omega:       1149	-312.468	283.474	-1.58496	-3.24819
Omega-:      0	0	0	0	0
Xi0:         12	19.5231	10.5875	0.0990284	0.0590297
Xi-:         8	12.5158	6.05966	0.0634849	0.0337852
Sigma+:      55	87.5694	54.1043	0.444186	0.301655
Sigma-:      58	86.397	48.2257	0.438239	0.268879
Sigma0:      60	98.4353	62.5796	0.499302	0.348908
Sigma+BAR:   23	33.9915	18.7784	0.172418	0.104698
Sigma-BAR:   28	40.9842	21.9604	0.207888	0.122439
Sigma0BAR:   24	36.2623	20.5598	0.183936	0.11463
gamma:       121	23.4129	23.4129	0.118759	0.130537

[Pions]:     30833	14844.4	13958.6	75.2965	77.8254
[Kaons]:     2942	2441.07	1865.79	12.3821	10.4026
[Lambdas]:   295	244.702	238.088	1.24122	1.32744
[p,pbar]:    1289	896.888	992.79	4.54936	5.53523
[n,nbar]:    1342	900.067	1028.88	4.56548	5.73647
[eta,ome]:   2182	19.7161	-393.201	0.100008	-2.19226
[Xi,Om,Sig]: 193	304.441	181.557	1.54424	1.01226
[gamma]:     121	23.4129	23.4129	0.118759	0.130537
[exotic]:    342	39.8928	39.8911	0.202352	0.22241

counted ET:  19714.6	Total ET:	21956.1	(counted/total)%:	89.7909

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   579.191	488.842	14844.4	13958.6	3.90175	3.50207
[Pions (omega)] 1551.08	1381.36	14844.4	13958.6	10.449	9.89611
