Event ET Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Total Transverse Energy: 275020	Total Transverse Momentum: 236704

Particle     Number	Et	Pt	%EtVsTotal	%PtVsTotal
Pi+:         136230	65194.9	61199.6	23.7055	25.8549
Pi-:         137397	65929.7	61904.5	23.9727	26.1527
Pi0:         155067	71197.7	66653	25.8882	28.1588
K+:          11820	9739.38	7392.07	3.54133	3.12292
K-:          11394	9251.99	6966.19	3.36411	2.94299
K0L:         11481	9448.48	7129.57	3.43556	3.01202
K0S:         11646	9547.21	7192.22	3.47146	3.03849
Lambda0:     1655	480.247	1291.71	0.174622	0.545707
LambdaBar0:  1406	3513.78	1060.94	1.27764	0.448215
Proton:      5255	1515.74	3844.35	0.551137	1.62412
Antiproton:  4272	9216.15	3089.05	3.35108	1.30503
Neutron:     5133	1498.53	3782.64	0.54488	1.59805
Antineutron: 4300	9276.65	3106.28	3.37308	1.31231
etaTOT:      14362	12640.9	9362.14	4.59634	3.95521
omegaTOT:    14843	16415.1	10812.5	5.96867	4.56796
eta:         14362	5116.06	2954.33	1.86025	1.24811
omega:       14843	-381.799	-4098.1	-0.138826	-1.73132
Omega-:      3	5.4581	2.16298	0.00198462	0.000913789
Xi0:         105	169.388	90.4589	0.0615911	0.038216
Xi-:         108	171.851	88.5189	0.0624866	0.0373964
Sigma+:      533	810.681	465.129	0.294771	0.196502
Sigma-:      515	763.636	415.808	0.277665	0.175666
Sigma0:      573	866.799	486.38	0.315176	0.20548
Sigma+BAR:   476	709.1	388.206	0.257836	0.164005
Sigma-BAR:   464	684.317	369.096	0.248824	0.155931
Sigma0BAR:   528	772.124	409.008	0.280752	0.172793
gamma:       5041	1206.33	1206.33	0.438632	0.509635

[Pions]:     428694	202322	189757	73.5663	80.1664
[Kaons]:     46341	37987.1	28680.1	13.8125	12.1164
[Lambdas]:   3061	3994.03	2352.65	1.45227	0.993922
[p,pbar]:    9527	10731.9	6933.4	3.90222	2.92914
[n,nbar]:    9433	10775.2	6888.92	3.91796	2.91035
[eta,ome]:   29205	4734.26	-1143.77	1.72142	-0.483205
[Xi,Om,Sig]: 1837	2787.81	1548.46	1.01368	0.654175
[gamma]:     5041	1206.33	1206.33	0.438632	0.509635
[exotic]:    4213	481.36	480.955	0.175027	0.203188

counted ET:  275020	Total ET:	301507	(counted/total)%:	91.2151

Decay Products vs 'Primary'
Group	ET	PT	ORIGINAL: ETo	PTo	ET%	PT%
[Pions (eta)]   7524.82	6407.81	202322	189757	3.71922	3.37685
[Pions (omega)] 16796.8	14910.6	202322	189757	8.30203	7.85775
