Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
290	22	0.0615905	0.0615905	91
294	22	0.317796	0.317796	91
295	22	1.69231	1.69231	91
295	22	0.0877154	0.0877154	91
295	-11	0.0202243	0.0202178	91
297	22	0.0879796	0.0879796	91
299	-11	0.257215	0.257214	91
299	11	0.0143917	0.0143827	91
299	-11	0.0352915	0.0352878	91
301	22	0.579521	0.579521	91
301	-11	0.075896	0.0758943	91
301	22	0.05186	0.05186	91
302	11	0.921442	0.921442	91
302	-11	0.264541	0.26454	91
305	22	0.0784381	0.0784381	91
306	11	0.113185	0.113184	91
306	-11	0.154419	0.154418	91
318	22	0.155686	0.155686	91
325	22	0.0740823	0.0740823	91
326	22	0.16169	0.16169	91
330	11	0.384848	0.384848	91
330	22	0.0709895	0.0709895	91
334	22	0.164373	0.164373	91
338	-11	0.0230543	0.0230486	91
339	22	0.53293	0.53293	91
343	22	0.0469518	0.0469518	91
344	22	0.110212	0.110212	91
346	22	0.0939417	0.0939417	91
348	22	0.0263097	0.0263097	91
349	22	0.446378	0.446378	91
350	22	0.381346	0.381346	91
359	22	0.120362	0.120362	91
366	-11	0.494907	0.494907	91
366	22	0.0397635	0.0397635	91
369	-11	0.213575	0.213575	91
371	22	0.16352	0.16352	91
374	22	0.145223	0.145223	91
376	11	0.00445475	0.00442534	91
390	22	0.567579	0.567579	91
396	22	0.232334	0.232334	91
402	11	0.114895	0.114894	91
402	-11	0.199331	0.199331	91
406	22	0.554192	0.554192	91
409	22	0.630786	0.630786	91
411	22	0.503051	0.503051	91
413	22	0.244636	0.244636	91
415	11	0.407827	0.407827	91
415	-11	0.151365	0.151364	91
418	22	0.0763529	0.0763529	91
419	22	0.294784	0.294784	91
421	-11	0.0446955	0.0446926	91
421	-11	0.00456975	0.00454132	91
421	-11	0.0480745	0.0480718	91
427	11	0.0271288	0.027124	91
427	-11	0.17464	0.174639	91
429	11	0.0566179	0.0566156	91
429	-11	0.0313783	0.0313741	91
445	22	0.648793	0.648793	91
445	11	0.131468	0.131467	91
445	-11	0.0948659	0.0948645	91
445	-11	0.00139742	0.00130099	91
445	22	0.372174	0.372174	91
446	-11	0.00784827	0.00783162	91
448	11	0.00549438	0.00547062	91
448	-11	0.06006	0.0600579	91
449	22	0.487507	0.487507	91
455	-11	0.0360713	0.0360677	91
455	11	0.0176803	0.0176729	91
455	-11	0.047024	0.0470212	91
456	22	0.355815	0.355815	91
460	22	0.0722765	0.0722765	91
460	22	1.2378	1.2378	91
460	-11	0.0045989	0.00457043	91
464	22	0.782562	0.782562	91
464	22	0.063681	0.063681	91
464	22	0.182501	0.182501	91
