Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 10000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
0	11	0.0824125	0.0824109	91
0	-11	0.0160106	0.0160024	91
2	11	0.0189013	0.0188944	91
17	11	0.0479104	0.0479077	91
17	-11	0.127758	0.127757	91
28	-11	0.0748268	0.074825	91
32	-11	0.0530279	0.0530255	91
34	11	0.00574272	0.00572012	91
50	22	0.0947018	0.0947018	91
59	-11	0.0334277	0.0334238	91
68	11	0.00526473	0.00524009	91
68	-11	0.160434	0.160433	91
74	22	0.268418	0.268418	91
77	11	0.166001	0.166	91
77	-11	0.0373768	0.0373733	91
81	-11	0.0324013	0.0323973	91
84	-11	0.149994	0.149993	91
84	11	0.0879809	0.0879795	91
96	11	0.208393	0.208392	91
96	-11	0.276953	0.276953	91
96	22	0.116335	0.116335	91
98	-11	0.0261179	0.026113	91
113	22	0.271983	0.271983	91
115	22	0.175478	0.175478	91
117	-11	0.0646973	0.0646953	91
122	22	0.0484958	0.0484958	91
123	22	0.174709	0.174709	91
129	-11	0.145975	0.145974	91
131	11	0.106094	0.106093	91
131	-11	0.0260097	0.0260047	91
133	22	0.36559	0.36559	91
156	-11	0.115778	0.115777	91
158	22	0.0638714	0.0638714	91
158	11	0.169014	0.169013	91
158	-11	0.0128995	0.0128895	91
160	11	0.047931	0.0479283	91
160	-11	0.23811	0.238109	91
162	-11	0.200477	0.200477	91
162	11	0.19083	0.190829	91
162	-11	0.296605	0.296604	91
163	11	0.106184	0.106183	91
163	-11	0.138344	0.138343	91
166	-11	0.0120143	0.0120034	91
166	-11	0.0429103	0.0429073	91
167	11	0.0408549	0.0408517	91
169	22	0.0546903	0.0546903	91
177	22	0.20641	0.20641	91
179	22	0.231421	0.231421	91
179	-11	0.00338395	0.00334516	91
179	11	0.24755	0.24755	91
179	-11	0.193292	0.193291	91
180	11	0.25275	0.25275	91
180	-11	0.0633642	0.0633622	91
183	11	0.0450152	0.0450124	91
186	11	0.0516802	0.0516777	91
187	11	0.270105	0.270105	91
187	-11	0.751641	0.751641	91
187	11	0.16163	0.161629	91
187	-11	0.0235882	0.0235827	91
187	11	0.108737	0.108736	91
187	-11	0.150123	0.150122	91
187	11	0.0192994	0.0192926	91
187	-11	0.0320511	0.032047	91
190	22	0.289235	0.289235	91
192	11	0.121536	0.121535	91
202	-11	0.521116	0.521116	91
202	-11	0.0295568	0.0295523	91
203	22	0.00939789	0.00939789	91
206	22	0.207755	0.207755	91
213	22	0.230517	0.230517	91
213	22	0.126379	0.126379	91
214	11	0.0343715	0.0343677	91
214	-11	0.219571	0.21957	91
