Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
268	11	0.12399	0.123989	91
268	-11	0.0132767	0.0132669	91
271	-11	0.028667	0.0286625	91
272	11	0.00674162	0.0067223	91
272	-11	0.366911	0.366911	91
279	22	0.248021	0.248021	91
279	-11	0.00385325	0.00381946	91
279	11	0.0535805	0.0535781	91
279	-11	0.0648478	0.0648458	91
281	22	0.0367274	0.0367274	91
282	22	0.110744	0.110744	91
282	22	0.0754808	0.0754808	91
282	11	0.134243	0.134242	91
283	22	0.759813	0.759813	-43
285	11	0.106456	0.106454	91
285	-11	0.16093	0.160929	91
286	11	0.0101234	0.0101105	91
286	11	0.213451	0.213451	91
286	-11	0.0244091	0.0244037	91
287	-11	0.0352044	0.0352007	91
287	22	0.0575218	0.0575218	91
289	22	0.176955	0.176955	91
290	11	0.00674386	0.00672459	91
290	-11	0.126817	0.126816	91
290	22	0.0710844	0.0710844	91
290	11	0.140752	0.140751	91
290	-11	0.034176	0.0341722	91
291	11	0.0336181	0.0336142	91
295	22	0.0780981	0.0780981	91
295	22	0.0915755	0.0915755	91
297	22	0.0730007	0.0730007	91
297	22	0.113083	0.113083	91
297	22	0.38802	0.38802	91
297	22	0.728268	0.728268	91
298	22	0.315679	0.315679	91
298	11	0.0851281	0.0851266	91
298	-11	0.00988868	0.0098756	91
298	11	0.058575	0.0585728	91
298	-11	0.107255	0.107254	91
299	22	0.043857	0.043857	91
299	22	0.372146	0.372146	91
301	22	0.228227	0.228227	91
301	-11	0.0729593	0.0729576	91
305	22	0.192867	0.192867	91
311	22	0.766841	0.766841	91
312	11	0.0135123	0.0135027	91
319	22	0.322426	0.322426	91
320	11	0.373507	0.373507	91
320	-11	0.160124	0.160124	91
321	22	0.132604	0.132604	91
321	22	0.0806366	0.0806366	91
321	-11	0.0722663	0.0722645	91
322	11	0.2623	0.2623	91
322	11	0.0373798	0.0373763	91
322	-11	0.185831	0.18583	91
324	-11	0.0783468	0.0783451	91
325	22	0.0882627	0.0882627	91
327	11	0.0490629	0.0490603	91
332	11	0.230121	0.23012	91
332	-11	0.131234	0.131233	91
334	11	0.0341609	0.0341571	91
336	22	0.145369	0.145369	91
338	22	0.0076181	0.0076181	91
339	11	0.0420964	0.0420933	91
340	22	0.060733	0.060733	91
340	11	0.222265	0.222264	91
340	-11	0.0601039	0.0601017	91
340	11	0.00562846	0.00560533	91
345	-11	0.0513116	0.0513091	91
345	22	0.145655	0.145655	91
346	11	0.110319	0.110318	91
346	-11	0.136281	0.13628	91
346	22	0.279117	0.279117	91
347	22	0.184911	0.184911	91
350	22	0.0403129	0.0403129	91
351	11	0.167804	0.167804	91
351	-11	0.0804579	0.0804563	91
358	-11	0.0410077	0.0410045	91
360	22	0.0848108	0.0848108	91
360	11	0.0674356	0.0674336	91
360	-11	0.345387	0.345386	91
361	22	0.117173	0.117173	91
361	22	0.0679626	0.0679626	91
362	22	0.508594	0.508594	-43
362	11	0.0274648	0.02746	91
368	11	0.119395	0.119394	91
368	22	0.0904631	0.0904631	91
368	22	0.060468	0.060468	91
368	-11	0.0771035	0.0771018	91
369	11	0.223718	0.223717	91
369	-11	0.449857	0.449857	91
371	11	0.00350808	0.00347081	91
371	22	0.480185	0.480185	91
376	-11	0.0880504	0.0880489	91
376	-11	0.0561742	0.0561719	91
377	22	0.212668	0.212668	91
377	11	0.0170528	0.0170452	91
378	22	0.264063	0.264063	91
378	22	0.15995	0.15995	91
380	22	0.326471	0.326471	91
380	11	0.215699	0.215698	91
