Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 5020

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
2	11	0.00627974	0.00625891	91
2	11	0.0146996	0.0146908	91
2	11	0.0367829	0.0367793	91
2	-11	0.127495	0.127494	91
2	-11	0.0668159	0.066814	91
3	22	5.74191	5.74191	-51
3	22	5.66028	5.66028	-44
3	22	5.95949	5.95949	62
3	-11	0.208246	0.208245	91
3	22	0.229701	0.229701	91
3	-11	0.161651	0.16165	91
6	22	0.231986	0.231986	91
6	22	0.333604	0.333604	91
6	22	0.23127	0.23127	91
6	22	0.0519091	0.0519091	91
6	11	0.0086882	0.0086733	91
7	11	0.0707652	0.0707633	91
8	11	0.0394182	0.0394149	91
8	22	0.0526868	0.0526868	91
8	22	0.12057	0.12057	91
8	-12	0.14032	0.14032	91
10	11	0.286442	0.286441	91
10	-11	0.102511	0.10251	91
11	22	3.81809	3.81809	-43
11	22	3.97224	3.97224	62
11	-14	0.106357	0.106357	91
11	11	0.173201	0.173201	91
11	-11	0.141389	0.141388	91
12	-11	1.90649	1.90649	91
12	22	0.0261361	0.0261361	91
13	22	0.663379	0.663379	91
13	-11	0.102383	0.102382	91
13	22	0.147665	0.147665	91
13	11	0.883748	0.883748	91
13	-11	0.248713	0.248712	91
13	11	0.193184	0.193184	91
13	22	0.115777	0.115777	91
13	-11	0.167407	0.167406	91
13	11	0.123851	0.12385	91
13	11	0.204648	0.204648	91
13	-11	0.253751	0.25375	91
13	11	0.0246109	0.0246056	91
13	-11	0.00386641	0.00383249	91
13	-13	0.402764	0.38866	91
13	-12	0.625831	0.625831	91
13	-13	0.515116	0.504173	91
14	22	0.190777	0.190777	91
14	22	0.165017	0.165017	91
14	-11	0.00213955	0.00207786	91
14	11	0.122566	0.122565	91
14	-11	0.265615	0.265615	91
14	11	0.0109402	0.0109282	91
14	-11	0.0387199	0.0387165	91
14	11	0.0171338	0.0171262	91
14	-11	0.119407	0.119406	91
14	11	0.26342	0.263419	91
18	22	0.171927	0.171927	91
18	22	0.167275	0.167275	91
18	22	0.0595958	0.0595958	91
18	22	0.0975842	0.0975842	91
18	11	0.114793	0.114792	91
18	11	0.197535	0.197535	91
18	-11	0.0181757	0.0181686	91
19	11	0.00638981	0.00636939	91
19	-11	0.256635	0.256634	91
20	11	0.235767	0.235767	91
20	-11	0.00176652	0.00169152	91
20	-11	0.0656326	0.0656306	91
20	22	0.0226083	0.0226083	91
20	-11	0.235512	0.235511	91
20	11	0.0158125	0.0158043	91
20	11	0.012653	0.0126427	91
20	-11	0.207696	0.207695	91
20	-11	0.179761	0.17976	91
20	11	0.00872916	0.00871433	91
21	-11	0.0102221	0.0102093	91
21	12	0.287829	0.287829	91
22	-11	0.0300001	0.0299958	91
22	-11	0.0579804	0.0579781	91
22	11	0.0304887	0.0304844	91
22	-11	0.0483858	0.0483831	91
22	13	0.123991	0.0648821	91
24	22	1.61322	1.61322	-43
24	22	1.6031	1.6031	-44
24	22	1.56941	1.56941	62
24	22	0.4585	0.4585	91
24	22	0.198701	0.198701	91
24	11	0.63773	0.63773	91
24	-11	0.14367	0.143669	91
24	11	0.0195252	0.0195186	91
26	-11	0.00638548	0.006365	91
26	22	0.170029	0.170029	91
26	22	0.0217816	0.0217816	91
26	11	0.0338907	0.0338868	91
26	-11	0.000852869	0.00068285	91
26	11	0.197861	0.197861	91
26	-11	0.106902	0.106901	91
27	11	0.0436529	0.0436499	91
27	-11	0.0132388	0.0132289	91
31	22	0.371012	0.371012	91
31	22	0.0556419	0.0556419	91
36	13	0.269229	0.247702	91
36	22	0.0638412	0.0638412	91
36	22	0.0403083	0.0403083	91
36	16	0.51943	0.51943	91
36	13	2.20196	2.19943	91
37	22	0.0723146	0.0723146	91
37	-11	0.00455507	0.00452648	91
37	11	0.327059	0.327059	91
38	11	0.444166	0.444166	91
38	-11	0.133203	0.133202	91
38	22	0.202531	0.202531	91
39	22	0.185335	0.185335	91
40	11	0.0393349	0.0393316	91
40	-11	0.0568522	0.0568499	91
40	11	0.211027	0.211026	91
40	-11	0.247817	0.247816	91
42	-11	0.461831	0.46183	91
42	-14	0.544514	0.544514	91
44	22	0.10682	0.10682	91
44	22	0.0343026	0.0343026	91
45	22	0.0802194	0.0802194	91
45	11	0.0486639	0.0486612	91
45	-11	0.183215	0.183215	91
45	11	0.0306072	0.0306029	91
45	-11	0.00630858	0.00628791	91
47	-11	0.00845246	0.008437	91
47	22	0.076133	0.076133	91
49	22	0.380257	0.380257	-51
49	22	0.383098	0.383098	-44
49	-11	0.219777	0.219777	62
49	11	0.163622	0.163621	62
49	22	0.232309	0.232309	91
49	11	0.0764392	0.0764375	91
49	-11	0.144126	0.144125	91
49	11	0.238973	0.238973	91
49	-11	0.0799464	0.0799447	91
49	11	0.0303675	0.0303633	91
50	22	0.282647	0.282647	91
50	22	0.097156	0.097156	91
51	22	0.25104	0.25104	91
51	11	0.433335	0.433334	91
52	11	0.0399187	0.0399154	91
52	-11	0.156503	0.156503	91
52	-11	0.0549037	0.0549013	91
53	11	0.0252078	0.0252027	91
53	-11	0.1226	0.122599	91
54	-11	0.0365673	0.0365637	91
54	11	0.00681187	0.00679275	91
56	22	0.00530756	0.00530756	91
56	11	0.00510246	0.00507694	91
56	-14	0.387144	0.387144	91
56	11	1.03331	1.03331	91
56	-11	0.0493352	0.0493325	91
56	11	0.36886	0.36886	91
56	-11	0.123293	0.123292	91
57	22	0.0577801	0.0577801	91
57	11	0.0790031	0.0790014	91
57	-11	0.221173	0.221173	91
58	11	0.0401721	0.0401689	91
58	22	0.0966495	0.0966495	91
58	11	0.0766511	0.0766495	91
58	11	0.790476	0.790476	91
58	22	0.95641	0.95641	91
58	22	0.101706	0.101706	91
58	22	0.222108	0.222108	91
58	11	0.102845	0.102844	91
58	-11	0.0182525	0.0182453	91
58	11	0.422487	0.422487	91
58	-11	0.365142	0.365141	91
59	22	0.106774	0.106774	91
59	11	0.0470073	0.0470045	91
59	22	0.237143	0.237143	91
59	11	0.0169728	0.0169651	91
61	22	0.59073	0.59073	91
61	11	0.124801	0.1248	91
61	-11	0.0933922	0.0933908	91
64	14	0.551156	0.551156	91
64	11	0.0221217	0.0221158	91
65	22	1.62048	1.62048	91
65	11	0.0124082	0.0123976	91
65	-11	0.188722	0.188722	91
65	22	0.0318868	0.0318868	91
65	22	0.0643322	0.0643322	91
65	11	0.0372549	0.0372514	91
65	-11	0.343651	0.34365	91
65	11	0.0320705	0.0320664	91
65	-11	0.0630407	0.0630386	91
65	-11	0.0675049	0.067503	91
66	11	0.449388	0.449388	91
66	-12	0.574179	0.574179	91
66	11	0.0194098	0.0194031	91
66	-11	0.0308959	0.0308917	91
66	22	0.101677	0.101677	91
66	22	0.0951483	0.0951483	91
66	11	0.0110341	0.0110223	91
66	11	0.0582726	0.0582703	91
