Exotic Particle Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.5
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
0	22	0.410901	0.410901	91
0	22	0.0345415	0.0345415	91
0	11	0.0521079	0.0521058	91
0	-11	0.0574955	0.0574936	91
0	22	0.0405988	0.0405988	91
0	11	0.0365838	0.0365807	91
0	-11	0.0247403	0.0247351	91
0	22	0.153873	0.153873	91
1	-11	0.0289925	0.0289883	91
1	22	0.123859	0.123859	91
1	22	0.243083	0.243083	91
1	11	0.0423454	0.0423428	91
1	-11	0.078899	0.0788976	91
4	22	0.125341	0.125341	91
5	22	0.343964	0.343964	91
5	22	0.0954627	0.0954627	91
5	11	0.195726	0.195725	91
5	-11	0.1265	0.126499	91
5	11	0.0592063	0.0592042	91
5	11	0.0098968	0.00988397	91
5	-11	0.0663291	0.0663272	91
8	22	0.480547	0.480547	91
8	22	0.528828	0.528828	91
8	11	0.00185327	0.00178214	91
9	22	0.103031	0.103031	91
9	11	0.00577087	0.00574948	91
9	-11	0.0175696	0.0175622	91
9	11	0.0121812	0.0121706	91
9	-11	0.0667965	0.0667946	91
9	11	0.118451	0.11845	91
9	-11	0.0537675	0.0537652	91
9	11	0.0794511	0.0794495	91
9	-11	0.123259	0.123258	91
9	11	0.0368654	0.0368619	91
9	-11	0.0367997	0.0367963	91
10	22	0.0272419	0.0272419	91
10	22	1.01632	1.01632	91
10	11	0.0662075	0.0662059	91
10	22	0.523384	0.523384	91
10	22	0.0800098	0.0800098	91
10	11	0.00349714	0.00346578	91
10	-11	0.137894	0.137893	91
10	11	0.107382	0.10738	91
10	-11	0.263368	0.263368	91
10	22	0.246167	0.246167	91
10	22	0.0274156	0.0274156	91
10	22	0.172569	0.172569	91
10	22	0.376983	0.376983	91
10	22	0.0693501	0.0693501	91
10	22	0.451708	0.451708	91
11	22	0.134193	0.134193	91
11	22	0.309139	0.309139	91
11	-11	0.00243575	0.00238158	91
11	11	0.101291	0.10129	91
11	11	0.0130726	0.0130633	91
11	-11	0.0115158	0.0115051	91
11	11	0.0064005	0.00638345	91
11	-11	0.00818639	0.00817083	91
12	22	0.369594	0.369594	91
12	11	0.181509	0.181508	91
12	11	0.170235	0.170235	91
12	22	0.187138	0.187138	91
12	22	0.10585	0.10585	91
12	22	0.0635172	0.0635172	91
12	-13	0.496013	0.485607	91
12	11	0.148865	0.148864	91
12	22	0.0658999	0.0658999	91
13	22	0.297369	0.297369	91
13	22	0.442193	0.442193	91
14	11	0.146283	0.146282	91
14	-11	0.0459939	0.0459911	91
14	22	0.538516	0.538516	91
14	22	0.116245	0.116245	91
14	11	0.0203599	0.020354	91
14	-11	0.0135071	0.0134981	91
14	22	0.0254755	0.0254755	91
14	11	0.0751255	0.0751239	91
14	-11	0.151512	0.151511	91
14	22	0.20378	0.20378	91
14	22	0.160146	0.160146	91
15	22	0.26432	0.26432	91
15	-11	0.417314	0.417314	91
15	12	1.62089	1.62089	91
15	22	0.208798	0.208798	91
15	22	0.0917572	0.0917572	91
15	22	0.28919	0.28919	91
15	11	0.187829	0.187829	91
15	22	0.170202	0.170202	91
15	22	0.187143	0.187143	91
15	-11	0.0117341	0.0117249	91
15	11	0.00910806	0.00909386	91
15	-11	0.0885578	0.0885564	91
15	22	0.0460047	0.0460047	91
15	11	0.00421399	0.00418672	91
15	-11	0.00574004	0.00571926	91
15	11	0.102024	0.102023	91
15	22	0.166987	0.166987	91
17	11	0.127713	0.127712	91
17	-11	0.0210925	0.0210865	91
17	22	0.113338	0.113338	91
19	22	0.343166	0.343166	91
19	11	0.00796307	0.0079472	91
19	-11	0.0342902	0.0342869	91
19	11	0.0156474	0.0156398	91
19	-11	0.0667126	0.0667107	91
19	22	0.057051	0.057051	91
20	22	0.122271	0.122271	91
20	22	0.26818	0.26818	91
20	22	0.070537	0.070537	91
21	-11	0.0412437	0.041241	91
21	22	0.0761378	0.0761378	91
21	22	0.0115611	0.0115611	91
21	11	0.00146224	0.00138107	91
21	-11	0.0252876	0.0252835	91
21	11	0.48752	0.48752	91
21	-11	0.141343	0.141342	91
21	11	0.145126	0.145125	91
21	-11	0.0585943	0.0585923	91
21	22	0.0242309	0.0242309	91
21	22	0.112968	0.112968	91
21	22	0.115922	0.115922	91
21	22	0.115346	0.115346	91
21	22	0.0283847	0.0283847	91
22	22	0.221272	0.221272	91
22	-11	0.0247963	0.0247912	91
23	22	0.052641	0.052641	91
24	22	0.444811	0.444811	91
25	11	0.442016	0.442016	91
25	-11	0.0341656	0.0341625	91
25	11	0.159952	0.159952	91
25	-11	0.249235	0.249235	91
25	22	0.128448	0.128448	91
26	22	0.396221	0.396221	91
26	22	0.386764	0.386764	91
26	11	0.0863797	0.0863782	91
27	22	0.194959	0.194959	91
27	11	0.0153471	0.0153386	91
27	22	0.0863248	0.0863248	91
27	11	0.10918	0.109179	91
27	-11	0.0355284	0.0355247	91
27	11	0.0254707	0.0254656	91
27	-11	0.0352282	0.0352245	91
27	22	0.0513069	0.0513069	91
27	11	0.0457214	0.0457187	91
27	-11	0.120881	0.12088	91
27	22	0.0339557	0.0339557	91
28	22	0.0362742	0.0362742	91
28	22	0.110967	0.110967	91
29	11	0.288377	0.288377	91
29	-11	0.0690144	0.0690125	91
30	22	0.222487	0.222487	91
30	22	0.470584	0.470584	91
30	22	0.425218	0.425218	91
30	22	0.0951515	0.0951515	91
30	22	0.119221	0.119221	91
30	-11	0.20107	0.20107	91
30	22	0.370486	0.370486	91
30	11	0.00686727	0.00685108	91
30	11	0.0632673	0.0632655	91
30	-11	0.200869	0.200869	91
30	22	0.231977	0.231977	91
31	22	0.386807	0.386807	91
31	22	0.335799	0.335799	91
31	22	0.0490079	0.0490079	91
31	22	0.184352	0.184352	91
31	22	0.29114	0.29114	91
31	11	0.0145627	0.0145541	91
31	22	0.104643	0.104643	91
31	22	0.138161	0.138161	91
33	11	0.0168312	0.0168244	91
33	-11	0.128074	0.128073	91
34	11	0.0134935	0.0134842	91
34	-11	0.0492357	0.0492332	91
34	13	0.494984	0.484152	91
34	11	0.00219383	0.00214178	91
34	22	0.0413573	0.0413573	91
34	22	0.0404489	0.0404489	91
34	22	0.342104	0.342104	91
34	22	0.0993475	0.0993475	91
34	11	0.0372086	0.0372051	91
34	-11	0.0223006	0.0222948	91
34	22	0.185289	0.185289	91
34	11	0.00952909	0.00951541	91
34	-11	0.0162296	0.0162216	91
