Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 62.4

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
2	11	0.0926793	0.0926779	91
2	-11	0.00947582	0.00946211	91
8	11	0.0133821	0.0133723	91
8	11	0.104064	0.104062	91
8	-11	0.010262	0.0102492	91
8	11	0.0266483	0.0266434	91
9	22	0.0831768	0.0831768	91
10	22	0.14683	0.14683	91
15	11	0.113455	0.113454	91
15	11	0.000918595	0.0007634	91
16	22	0.20261	0.20261	91
17	22	0.242839	0.242839	91
17	-11	0.0171856	0.0171781	91
17	-11	0.00695481	0.00693614	91
17	-11	0.310556	0.310556	91
17	22	0.0477585	0.0477585	91
17	11	0.0116538	0.0116426	91
17	-11	0.011936	0.0119251	91
20	11	0.0501108	0.0501082	91
20	-11	0.307377	0.307376	91
22	22	0.293656	0.293656	91
22	11	0.219897	0.219897	91
24	22	0.292659	0.292659	91
27	-11	0.241628	0.241628	91
28	11	0.0780014	0.0779997	91
28	-11	0.0206557	0.0206495	91
30	22	0.049591	0.049591	91
33	-11	0.00789083	0.00787428	91
33	22	0.0970647	0.0970647	91
36	11	0.0996271	0.0996258	91
36	-11	0.283949	0.283949	91
37	11	0.040255	0.0402518	91
38	22	0.157542	0.157542	91
40	-11	0.0933435	0.0933421	91
40	11	0.0825198	0.0825182	91
40	-11	0.0232972	0.0232916	91
48	22	0.122629	0.122629	91
52	-11	0.0303992	0.0303949	91
53	22	0.274496	0.274496	91
53	-11	0.00252063	0.00246833	91
57	22	0.0516952	0.0516952	91
61	11	0.021147	0.0211409	91
62	22	0.0395962	0.0395962	91
62	-11	0.0138009	0.0137914	91
64	11	0.120947	0.120946	91
64	-11	0.0451436	0.0451408	91
74	22	0.0774761	0.0774761	91
76	22	0.0919443	0.0919443	91
76	11	0.148996	0.148995	91
76	-11	0.0615983	0.0615962	91
82	22	0.0855274	0.0855274	91
82	11	0.019707	0.0197003	91
82	-11	0.00276744	0.00271991	91
83	22	0.378487	0.378487	91
88	11	0.292804	0.292804	91
88	-11	0.189095	0.189094	91
89	22	0.115084	0.115084	91
89	-11	0.237479	0.237479	91
90	11	0.140867	0.140866	91
90	-11	0.303673	0.303673	91
95	11	0.017677	0.0176696	91
95	-11	0.0538506	0.0538482	91
96	22	0.507064	0.507064	-43
96	22	0.58677	0.58677	-44
96	22	0.590791	0.590791	62
96	22	0.0499365	0.0499365	91
96	11	0.0323329	0.0323289	91
100	11	0.0283968	0.0283923	91
101	22	0.0694913	0.0694913	91
116	22	0.136278	0.136278	91
117	11	0.120483	0.120482	91
117	-11	0.382397	0.382396	91
117	-11	0.0457569	0.0457541	91
119	11	0.00692005	0.00690118	91
123	11	0.122971	0.12297	91
123	-11	0.237289	0.237289	91
124	11	0.00820027	0.00818438	91
125	-11	0.00914912	0.00913486	91
127	22	0.369574	0.369574	91
127	-11	0.0751363	0.0751346	91
128	11	0.086857	0.0868555	91
128	-11	0.0874363	0.0874348	91
130	-11	0.0170691	0.0170614	91
132	22	0.0919538	0.0919538	91
140	11	0.0181163	0.0181091	91
144	22	0.205409	0.205409	91
144	22	0.0548837	0.0548837	91
149	11	0.110861	0.11086	91
153	22	0.080554	0.080554	91
153	-11	0.0908711	0.0908696	91
155	11	0.110966	0.110965	91
155	-11	0.0197802	0.0197736	91
156	-11	0.0396184	0.0396151	91
159	-11	0.1584	0.1584	91
160	11	0.000755135	0.000556363	91
160	-11	0.00797126	0.0079549	91
164	22	0.104183	0.104183	91
164	22	0.0409	0.0409	91
164	22	0.0248972	0.0248972	91
164	11	0.14335	0.143349	91
170	-13	0.454205	0.441791	91
170	-11	0.0290004	0.0289959	91
171	11	0.0330233	0.0330194	91
173	22	0.0821658	0.0821658	91
173	11	0.0303558	0.0303515	91
173	-11	0.0417397	0.0417366	91
175	11	0.021182	0.0211759	91
175	-11	0.017125	0.0171174	91
176	22	0.0366139	0.0366139	91
176	11	0.0195086	0.019502	91
176	11	0.0185591	0.0185521	91
176	-11	0.0197236	0.019717	91
178	11	0.0242881	0.0242827	91
178	-11	0.315764	0.315764	91
178	22	0.249482	0.249482	91
183	22	0.0361647	0.0361647	91
184	22	0.0182455	0.0182455	91
185	22	0.179986	0.179986	91
185	22	0.253747	0.253747	91
185	-11	0.0654083	0.0654063	91
189	13	0.847631	0.841043	91
189	11	0.0719189	0.071917	91
196	22	0.148992	0.148992	91
197	22	0.464018	0.464018	91
197	11	0.00702152	0.00700302	91
199	22	0.177323	0.177323	91
199	11	0.0370346	0.0370311	91
199	-11	0.0297364	0.0297321	91
200	11	0.042616	0.042613	91
203	-11	0.00701342	0.00699478	91
220	22	0.0561536	0.0561536	91
220	11	0.0398812	0.0398779	91
220	22	0.0697017	0.0697017	91
220	22	0.0661056	0.0661056	91
226	22	0.230936	0.230936	91
226	11	0.0448099	0.044807	91
226	-11	0.101898	0.101897	91
228	22	0.186805	0.186805	91
228	-11	0.175191	0.17519	91
228	22	0.136606	0.136606	91
232	11	0.0122617	0.0122511	91
232	22	0.0285776	0.0285776	91
232	11	0.0357991	0.0357955	91
235	-11	0.0262401	0.0262352	91
237	22	0.0815412	0.0815412	91
237	22	0.090068	0.090068	91
237	11	0.00841622	0.0084007	91
237	11	0.0170097	0.0170021	91
240	-11	0.00449655	0.0044676	91
244	11	0.150974	0.150973	91
244	-11	0.271784	0.271784	91
244	11	0.0297598	0.0297554	91
246	22	0.349042	0.349042	91
246	22	0.064035	0.064035	91
