Exotic Particle Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
7	22	0.0446947	0.0446947	91
8	22	0.456518	0.456518	91
8	22	0.144102	0.144102	91
9	22	0.354709	0.354709	91
14	22	0.0811602	0.0811602	91
14	-11	0.300852	0.300851	91
14	22	0.0510722	0.0510722	91
22	22	0.118226	0.118226	91
31	22	0.167415	0.167415	91
36	11	0.0569538	0.0569516	91
41	22	0.0906789	0.0906789	91
42	22	0.37101	0.37101	91
43	11	0.0257442	0.0257391	91
43	-11	0.0776658	0.0776641	91
43	11	0.00699709	0.00697858	91
47	11	0.142882	0.142881	91
52	22	0.156261	0.156261	91
53	22	0.163064	0.163064	91
57	22	0.0754093	0.0754093	91
60	22	0.411224	0.411224	91
60	22	0.180529	0.180529	91
66	22	0.73572	0.73572	91
69	22	0.143041	0.143041	91
70	11	0.05987	0.0598679	91
70	-11	0.109545	0.109543	91
71	22	0.272848	0.272848	91
75	-11	0.00728063	0.00726284	91
76	11	0.0184265	0.0184195	91
76	-11	0.149179	0.149178	91
77	22	0.572868	0.572868	91
79	22	0.399965	0.399965	91
79	22	0.100799	0.100799	91
83	11	0.299647	0.299646	91
83	11	0.297366	0.297366	91
83	-11	0.065107	0.065105	91
85	22	0.201445	0.201445	91
87	22	0.800949	0.800949	91
99	22	0.125637	0.125637	91
99	22	1.11226	1.11226	91
100	11	0.0219504	0.0219444	91
100	22	0.179863	0.179863	91
105	22	0.0705585	0.0705585	91
109	22	0.0235604	0.0235604	91
112	22	0.0501003	0.0501003	91
117	22	0.371393	0.371393	91
117	-11	0.0163231	0.0163151	91
118	22	0.307497	0.307497	91
119	22	0.143733	0.143733	91
121	11	0.0120835	0.0120727	91
121	-11	0.226564	0.226563	91
122	22	0.311006	0.311006	91
122	-11	0.00468718	0.00465947	91
123	22	0.0582508	0.0582508	91
128	22	0.147625	0.147625	91
130	11	0.0150317	0.015023	91
130	-11	0.0525498	0.0525473	91
133	-11	0.0670503	0.0670484	91
135	22	0.454503	0.454503	91
138	22	0.344769	0.344769	91
139	11	0.0674676	0.0674656	91
139	-11	0.060644	0.0606419	91
140	-11	0.0585273	0.0585251	91
148	11	0.0104071	0.0103946	91
148	-11	0.116474	0.116473	91
150	22	0.486803	0.486803	91
153	22	0.724651	0.724651	91
157	22	0.513023	0.513023	91
162	22	0.244518	0.244518	91
176	22	0.195576	0.195576	91
178	11	0.0792318	0.0792301	91
178	-11	0.137858	0.137857	91
178	22	0.064126	0.064126	91
180	22	0.260775	0.260775	91
181	-11	0.0545861	0.0545837	91
185	11	0.843822	0.843822	91
185	-11	0.0419199	0.0419168	91
185	11	0.0481307	0.048128	91
185	-11	0.0324224	0.0324184	91
192	22	0.0601867	0.0601867	91
192	-11	0.0170337	0.017026	91
192	22	0.194636	0.194636	91
194	11	0.0655583	0.0655563	91
205	22	0.0279872	0.0279872	91
205	22	0.161509	0.161509	91
212	11	0.0403093	0.040306	91
214	22	0.19548	0.19548	91
215	22	0.254328	0.254328	91
216	11	0.205164	0.205164	91
216	-11	0.0700182	0.0700163	91
216	11	0.0319166	0.0319125	91
216	-11	0.0328713	0.0328673	91
218	22	0.239964	0.239964	91
219	22	0.923226	0.923226	91
225	11	0.0332013	0.0331973	91
225	-11	0.210331	0.210331	91
228	-11	0.0451682	0.0451653	91
230	22	0.235116	0.235116	91
239	11	0.0924932	0.0924918	91
241	22	0.266945	0.266945	91
246	22	0.41095	0.41095	91
246	-11	0.0372811	0.0372776	91
249	-11	0.126941	0.12694	91
249	11	0.0812991	0.0812975	91
252	22	0.296636	0.296636	91
253	11	0.0412858	0.0412826	91
256	-11	0.468481	0.468481	91
259	11	0.0373726	0.0373691	91
261	11	0.195074	0.195073	91
263	22	0.0918642	0.0918642	91
265	22	0.0381891	0.0381891	91
268	22	0.144107	0.144107	91
273	22	0.0530963	0.0530963	91
274	22	0.0655863	0.0655863	91
275	11	0.0292022	0.0291977	91
279	11	0.339911	0.33991	91
279	-11	0.116409	0.116408	91
282	11	0.043288	0.043285	91
284	11	0.017529	0.0175216	91
297	22	0.0571512	0.0571512	91
299	-11	0.0513923	0.0513897	91
303	11	0.299772	0.299771	91
304	22	0.0818125	0.0818125	91
310	11	0.0107169	0.0107047	91
310	-11	0.0597442	0.059742	91
310	11	0.0648856	0.0648836	91
310	-11	0.0454201	0.0454172	91
318	22	0.132187	0.132187	91
318	-11	0.140918	0.140917	91
320	-11	0.0388624	0.0388591	91
322	22	1.10688	1.10688	91
324	22	0.184841	0.184841	91
324	22	0.373442	0.373442	91
330	11	0.0403581	0.0403549	91
330	-11	0.213196	0.213195	91
332	-11	0.0224009	0.0223951	91
332	22	0.0714089	0.0714089	91
335	22	0.128744	0.128744	91
337	22	0.068814	0.068814	91
340	11	0.00859165	0.00857648	91
340	-11	0.0214055	0.0213994	91
341	22	0.109041	0.109041	91
345	-11	0.0951721	0.0951707	91
347	22	0.260267	0.260267	91
355	-11	0.345874	0.345874	91
358	22	0.160051	0.160051	91
358	11	0.212404	0.212404	91
358	-11	0.0338122	0.0338083	91
358	22	0.052041	0.052041	91
362	22	0.569415	0.569415	91
362	22	0.089699	0.089699	91
363	22	0.0852304	0.0852304	91
368	-11	0.0242403	0.024235	91
371	11	0.0515593	0.0515568	91
371	-11	0.0639006	0.0638985	91
372	22	0.480764	0.480764	91
375	22	0.6953	0.6953	91
375	11	0.0324036	0.0323996	91
375	22	0.264985	0.264985	91
378	22	0.13079	0.13079	91
380	22	0.304488	0.304488	91
382	-11	0.210361	0.210361	91
385	22	0.127746	0.127746	91
386	11	0.010229	0.0102163	91
386	-11	0.168969	0.168968	91
387	11	0.0245152	0.0245098	91
387	-11	0.0913673	0.0913659	91
390	22	0.138356	0.138356	91
