Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
1	22	0.952384	0.952384	91
1	-11	0.0781312	0.0781295	91
1	-11	0.364564	0.364563	91
1	-11	0.0141214	0.0141122	91
3	-11	0.483623	0.483623	91
6	11	0.0347075	0.0347038	91
8	22	0.695801	0.695801	91
8	22	0.127375	0.127375	91
13	22	0.103734	0.103734	91
14	22	0.0633261	0.0633261	91
17	22	0.0367005	0.0367005	91
18	-11	0.0159512	0.0159431	91
19	11	0.364968	0.364967	91
19	-11	0.0344661	0.0344623	91
23	11	0.420386	0.420385	91
23	22	0.118912	0.118912	91
23	22	0.0774128	0.0774128	91
23	22	0.137253	0.137253	91
24	22	0.303885	0.303885	91
25	22	0.0848361	0.0848361	91
25	11	0.0663999	0.0663979	91
25	-11	0.050306	0.0503034	91
25	22	0.502082	0.502082	91
25	22	0.184808	0.184808	91
26	11	0.360096	0.360095	91
28	22	0.380707	0.380707	91
30	22	0.258815	0.258815	91
30	11	0.00632876	0.00630823	91
30	22	0.123403	0.123403	91
35	22	0.113027	0.113027	91
36	22	0.239874	0.239874	91
36	11	0.0878764	0.0878749	91
36	22	0.0605275	0.0605275	91
36	22	1.05255	1.05255	91
39	11	0.00113871	0.00101779	91
39	22	0.0394842	0.0394842	91
40	22	0.206583	0.206583	91
43	22	0.346354	0.346354	91
43	11	0.180842	0.180842	91
43	22	0.262733	0.262733	91
44	22	0.293029	0.293029	91
44	11	0.00843353	0.00841806	91
45	22	0.106594	0.106594	91
45	22	0.19936	0.19936	91
45	11	0.153879	0.153879	91
45	22	0.0814745	0.0814745	91
47	-11	0.279041	0.279041	91
48	11	0.366913	0.366912	91
48	-11	0.0496296	0.049627	91
48	22	0.132533	0.132533	91
49	22	0.110383	0.110383	91
49	-11	0.00237861	0.00232308	91
49	22	0.100555	0.100555	91
49	-11	0.0602023	0.0602001	91
52	22	0.173042	0.173042	91
54	11	0.24841	0.248409	91
56	11	0.0301203	0.030116	91
56	11	0.00995885	0.00994579	91
65	22	0.299654	0.299654	91
65	11	0.00252179	0.00246947	91
71	-11	0.0331952	0.0331912	91
73	22	0.375002	0.375002	91
76	11	0.537671	0.537671	91
77	11	0.0260241	0.0260191	91
77	-11	0.0704968	0.070495	91
77	-11	0.110205	0.110204	91
80	22	0.485819	0.485819	91
82	11	0.0898176	0.0898161	91
82	-11	0.0202154	0.0202089	91
83	22	0.199542	0.199542	91
83	22	0.104877	0.104877	91
