Exotic Particle Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 7.7

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
0	11	0.232198	0.232198	91
5	22	0.176449	0.176449	91
9	22	0.127998	0.127998	91
9	11	0.171098	0.171097	91
9	22	0.0690733	0.0690733	91
12	11	0.0567864	0.0567841	91
17	22	0.190531	0.190531	91
19	22	0.372255	0.372255	91
23	11	0.570239	0.570239	91
23	-11	0.0769467	0.076945	91
23	11	0.0852339	0.0852324	91
23	11	0.110983	0.110981	91
23	11	0.059752	0.0597499	91
27	22	0.475415	0.475415	91
28	22	0.166968	0.166968	91
31	22	0.0237119	0.0237119	91
38	11	0.0621712	0.0621691	91
38	22	0.0558157	0.0558157	91
40	11	0.0906459	0.0906444	91
45	11	0.0497077	0.0497051	91
45	-11	0.342793	0.342793	91
48	22	0.0694522	0.0694522	91
50	-11	0.0599879	0.0599857	91
51	11	0.106286	0.106285	91
57	22	0.524203	0.524203	91
58	22	0.273829	0.273829	91
58	22	0.0566728	0.0566728	91
61	22	0.100668	0.100668	91
62	22	0.680107	0.680107	91
64	22	0.330121	0.330121	91
72	22	0.170197	0.170197	91
77	22	0.151187	0.151187	91
97	11	0.944897	0.944896	91
97	11	0.567025	0.567025	91
97	-11	0.0621371	0.062135	91
98	22	0.044552	0.044552	91
105	11	0.09646	0.0964586	91
107	22	0.194627	0.194627	91
110	22	0.104696	0.104696	91
110	22	0.150438	0.150438	91
115	11	0.0553407	0.0553383	91
115	-11	0.0723587	0.0723569	91
119	22	0.0281081	0.0281081	91
119	22	0.215368	0.215368	91
119	22	0.0191636	0.0191636	91
124	22	0.101236	0.101236	91
137	-11	0.0548305	0.0548282	91
141	22	0.107145	0.107145	91
149	22	0.0314222	0.0314222	91
149	22	0.0989788	0.0989788	91
151	22	0.100325	0.100325	91
152	11	0.0498723	0.0498697	91
152	-11	0.338278	0.338277	91
155	22	0.791016	0.791016	91
158	22	0.195066	0.195066	91
159	22	0.132078	0.132078	91
163	22	0.127442	0.127442	91
168	22	0.162728	0.162728	91
172	22	0.279893	0.279893	91
175	11	0.0229461	0.0229404	91
178	22	0.10328	0.10328	91
180	22	0.690681	0.690681	-43
180	22	0.556048	0.556048	62
183	22	0.195127	0.195127	91
197	11	0.390144	0.390143	91
197	11	0.0173898	0.0173823	91
198	22	0.59949	0.59949	91
201	-11	0.0154002	0.0153917	91
218	-11	0.0678939	0.067892	91
218	22	0.137293	0.137293	91
219	22	0.160891	0.160891	91
224	22	0.436712	0.436712	91
232	22	0.400504	0.400504	91
234	11	0.423521	0.423521	91
234	-11	0.0295639	0.0295594	91
234	11	0.0572076	0.0572053	91
234	22	0.0610578	0.0610578	91
237	11	0.0337139	0.03371	91
237	-11	0.0328265	0.0328226	91
239	22	0.476753	0.476753	91
243	22	0.405747	0.405747	91
244	22	0.143845	0.143845	91
244	11	0.224736	0.224735	91
244	11	0.0231892	0.0231836	91
244	-11	0.140238	0.140237	91
244	22	0.30995	0.30995	91
250	22	0.321071	0.321071	91
257	22	0.115711	0.115711	91
257	22	0.083912	0.083912	91
260	22	0.138644	0.138644	91
263	22	0.0842013	0.0842013	91
