Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
3	22	0.0365008	0.0365008	91
8	11	0.207513	0.207513	91
8	22	0.0247472	0.0247472	91
12	11	0.0123295	0.012319	91
13	22	0.0534793	0.0534793	91
13	22	0.128943	0.128943	91
15	11	0.0167832	0.0167755	91
16	22	0.0663965	0.0663965	91
18	-11	0.214985	0.214984	91
18	-11	0.101382	0.10138	91
19	-11	0.013685	0.0136755	91
20	22	0.438881	0.438881	91
21	22	0.305617	0.305617	91
24	22	1.38475	1.38475	91
24	22	0.139478	0.139478	91
26	22	0.303944	0.303944	91
26	22	0.130279	0.130279	91
26	22	0.0577067	0.0577067	91
28	11	0.417836	0.417836	91
28	-11	0.0953352	0.0953339	91
29	22	0.258298	0.258298	91
31	22	0.0972137	0.0972137	91
33	22	0.102207	0.102207	91
37	22	0.208312	0.208312	91
37	11	0.0228122	0.0228065	91
39	22	0.501948	0.501948	91
42	11	0.0303988	0.0303945	91
42	-11	0.438083	0.438083	91
42	22	0.0166567	0.0166567	91
43	22	0.169697	0.169697	91
50	11	0.0341405	0.0341367	91
50	-11	0.0147508	0.014742	91
51	22	0.10079	0.10079	91
53	22	0.0639374	0.0639374	91
58	22	0.269041	0.269041	91
60	22	0.0860897	0.0860897	91
65	11	0.39412	0.39412	91
66	22	0.0853128	0.0853128	91
67	22	0.26954	0.26954	91
67	11	0.125383	0.125382	91
69	22	0.125242	0.125242	91
86	22	0.196548	0.196548	91
88	22	0.015978	0.015978	91
89	11	0.439111	0.439111	91
89	-11	0.30265	0.30265	91
89	22	0.236097	0.236097	91
90	11	0.0165451	0.0165372	91
91	22	0.0361946	0.0361946	91
98	22	0.0914496	0.0914496	91
98	22	0.134681	0.134681	91
100	-11	0.00420209	0.00417091	91
109	22	0.0826458	0.0826458	91
110	22	0.539984	0.539984	91
111	-11	0.306302	0.306301	91
114	22	0.0426621	0.0426621	91
115	22	0.302059	0.302059	91
117	11	0.0394814	0.0394781	91
117	-11	0.0315032	0.0314991	91
122	11	0.00533373	0.00530922	91
122	22	0.143394	0.143394	91
125	11	0.304977	0.304976	91
125	-11	0.393721	0.393721	91
132	22	0.12696	0.12696	91
139	22	0.130494	0.130494	91
140	22	0.470214	0.470214	91
140	-11	0.0354283	0.0354246	91
140	11	0.0701674	0.0701655	91
161	22	0.484741	0.484741	91
