Exotic Particle Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 39

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
0	22	0.117142	0.117142	91
0	11	0.0487247	0.048722	91
4	22	0.137237	0.137237	91
4	22	0.0893281	0.0893281	91
9	22	0.0323595	0.0323595	91
9	22	0.0652798	0.0652798	91
11	22	0.24728	0.24728	91
12	22	0.519698	0.519698	91
12	22	0.1688	0.1688	91
13	22	0.337889	0.337889	91
14	22	0.339237	0.339237	91
15	22	0.0145111	0.0145111	91
15	11	0.133735	0.133734	91
19	22	0.0139754	0.0139754	91
21	-11	0.0310017	0.0309975	91
21	11	0.0118582	0.0118472	91
22	11	0.0332807	0.0332768	91
25	-11	0.0143273	0.0143182	91
25	11	0.0100232	0.0100103	91
25	-11	0.018366	0.0183589	91
27	11	0.214012	0.214011	91
27	-11	0.2172	0.217199	91
29	22	0.618539	0.618539	91
31	11	0.0726491	0.0726473	91
34	22	0.277322	0.277322	91
34	22	0.133862	0.133862	91
35	11	0.245874	0.245873	91
35	-11	0.131455	0.131454	91
35	11	0.184592	0.184591	91
35	-11	0.311924	0.311923	91
35	-11	0.0178539	0.0178466	91
36	22	0.197748	0.197748	91
36	22	0.0969725	0.0969725	91
38	22	1.43705	1.43705	62
38	-11	0.0281225	0.0281179	91
40	11	0.0457369	0.045734	91
40	-11	0.0453281	0.0453252	91
43	22	0.0726004	0.0726004	91
55	22	0.0873924	0.0873924	91
55	11	0.100609	0.100608	91
55	-11	0.010893	0.0108811	91
55	22	0.173732	0.173732	91
56	22	0.844481	0.844481	91
60	22	0.0425692	0.0425692	91
60	22	0.0559433	0.0559433	91
60	11	0.00869216	0.00867713	91
62	22	0.144121	0.144121	91
64	22	0.475419	0.475419	91
65	22	0.713179	0.713179	91
66	22	0.763566	0.763566	91
66	22	0.0870106	0.0870106	91
66	-11	0.149202	0.149201	91
67	22	0.116234	0.116234	91
67	-11	0.0336931	0.0336892	91
68	11	0.0357923	0.0357887	91
71	-11	0.13474	0.134739	91
72	22	0.302627	0.302627	91
74	22	0.301809	0.301809	91
74	22	0.314006	0.314006	91
77	22	0.5579	0.5579	91
80	22	0.275386	0.275386	91
82	22	0.0752066	0.0752066	91
82	11	0.0241814	0.0241761	91
83	22	0.0745184	0.0745184	91
85	22	1.02689	1.02689	91
85	22	0.105684	0.105684	91
85	22	0.394519	0.394519	91
86	-11	0.0900913	0.0900899	91
87	22	0.109314	0.109314	91
96	-11	0.093486	0.0934846	91
96	11	0.0394728	0.0394695	91
96	22	0.0760621	0.0760621	91
98	-11	0.10044	0.100438	91
98	22	0.262159	0.262159	91
98	22	0.102668	0.102668	91
98	-11	0.0683018	0.0682999	91
98	22	0.221862	0.221862	91
98	11	0.0535129	0.0535105	91
99	22	0.0774828	0.0774828	91
99	22	0.285518	0.285518	91
99	11	0.00084832	0.000677167	91
99	11	0.0495214	0.0495188	91
99	-11	0.0137021	0.0136926	91
100	22	0.121091	0.121091	91
101	22	0.679663	0.679663	91
101	11	0.075108	0.0751062	91
101	-11	0.233706	0.233705	91
103	22	0.159018	0.159018	91
104	11	0.29104	0.29104	91
105	11	0.118899	0.118898	91
105	-11	0.303627	0.303627	91
108	11	0.0196929	0.0196863	91
108	22	0.0606537	0.0606537	91
109	11	0.00320758	0.00316676	91
109	11	0.0634537	0.0634516	91
110	11	0.0575448	0.0575425	91
114	22	0.0376094	0.0376094	91
115	22	0.300148	0.300148	91
115	22	0.676748	0.676748	91
115	11	0.00475115	0.00472378	91
115	11	0.0873991	0.0873976	91
121	11	0.0463675	0.0463647	91
121	-11	0.0580719	0.0580697	91
129	22	0.0619289	0.0619289	91
131	11	0.0657817	0.0657797	91
133	-11	0.284448	0.284447	91
137	22	0.210875	0.210875	91
137	22	0.132747	0.132747	91
138	22	0.524325	0.524325	91
139	22	0.481785	0.481785	91
139	22	0.29682	0.29682	91
140	22	0.0768152	0.0768152	91
140	22	0.947599	0.947599	91
141	22	0.498727	0.498727	91
141	22	0.160246	0.160246	91
142	11	0.119894	0.119893	91
143	11	0.30187	0.30187	91
143	-11	0.337956	0.337955	91
144	22	0.133863	0.133863	91
144	22	0.382208	0.382208	91
145	22	0.20956	0.20956	91
147	11	0.0223022	0.0222963	91
148	22	0.044472	0.044472	91
148	11	0.0010329	0.000898457	91
148	22	0.0219652	0.0219652	91
150	22	0.813493	0.813493	91
150	22	0.906629	0.906629	91
150	22	0.202084	0.202084	91
152	11	0.0635473	0.0635453	91
152	-11	0.0761445	0.0761428	91
155	22	0.083923	0.083923	91
156	22	0.0205758	0.0205758	91
160	11	0.0119009	0.01189	91
162	-11	0.105502	0.105501	91
163	22	0.395032	0.395032	91
165	22	0.166009	0.166009	91
165	-11	0.0267756	0.0267707	91
166	22	0.0760643	0.0760643	91
166	11	0.512112	0.512112	91
166	22	0.227075	0.227075	91
166	-11	0.0475319	0.0475292	91
168	11	0.0204426	0.0204362	91
168	-11	0.0274798	0.0274751	91
168	22	0.101218	0.101218	91
168	-11	0.00876171	0.00874683	91
170	-11	0.00504721	0.0050215	91
170	22	0.259854	0.259854	91
171	-11	0.0534675	0.0534651	91
176	22	0.0795987	0.0795987	91
179	22	0.231916	0.231916	-43
179	22	0.69822	0.69822	91
179	11	1.04889	1.04889	91
179	-11	0.552989	0.552989	91
179	11	0.014328	0.014319	91
179	22	0.165835	0.165835	91
180	22	0.355779	0.355779	91
180	22	0.0587853	0.0587853	91
183	22	0.184901	0.184901	91
183	11	0.0664456	0.0664437	91
183	-11	0.133747	0.133746	91
184	22	0.104935	0.104935	91
184	22	0.399696	0.399696	91
186	22	0.315503	0.315503	91
188	22	0.0387603	0.0387603	91
189	22	0.573248	0.573248	91
189	22	0.302554	0.302554	91
189	22	0.0881772	0.0881772	91
189	22	0.446275	0.446275	91
189	-11	0.0725509	0.0725491	91
189	22	0.130378	0.130378	91
191	11	0.499448	0.499448	91
192	11	0.157759	0.157758	91
192	-11	0.0339953	0.0339915	91
193	22	0.0307357	0.0307357	91
193	22	0.259148	0.259148	91
193	22	0.309737	0.309737	91
195	22	0.321265	0.321265	91
195	-11	0.00929153	0.00927747	91
196	-11	0.00260509	0.00255452	91
196	22	0.305425	0.305425	91
196	22	0.766784	0.766784	91
196	22	0.145653	0.145653	91
199	22	0.0485783	0.0485783	91
201	14	0.733571	0.733571	91
201	22	0.0477102	0.0477102	91
203	22	0.309762	0.309762	91
203	22	0.290156	0.290156	91
206	-11	0.0347131	0.0347094	91
209	22	0.0808331	0.0808331	91
209	22	0.474473	0.474473	91
209	-11	0.213452	0.213451	91
209	22	0.491089	0.491089	91
209	-11	0.0667098	0.0667079	91
213	22	0.224726	0.224726	91
214	11	0.0751766	0.0751748	91
220	22	0.333212	0.333212	91
221	22	0.123296	0.123296	91
222	22	0.350498	0.350498	91
223	-11	0.0131311	0.0131212	91
225	22	0.838873	0.838873	91
225	22	0.600284	0.600284	91
225	11	0.21649	0.21649	91
225	-11	0.189129	0.189128	91
225	-11	0.0128348	0.0128246	91
227	-11	0.00239873	0.00234373	91
228	22	0.244797	0.244797	91
229	11	0.0140692	0.0140599	91
230	22	0.560405	0.560405	91
230	11	0.0999153	0.099914	91
230	11	0.142949	0.142948	91
230	-11	0.228224	0.228223	91
230	11	0.0955642	0.0955629	91
230	-11	0.178577	0.178576	91
232	22	0.209146	0.209146	91
234	22	0.263478	0.263478	91
234	22	0.295596	0.295596	91
234	22	0.0750398	0.0750398	91
234	22	0.084889	0.084889	91
235	11	0.104695	0.104693	91
235	22	0.423289	0.423289	91
235	22	0.212944	0.212944	91
235	22	0.0326775	0.0326775	91
236	22	0.2834	0.2834	91
236	22	0.0405534	0.0405534	91
236	11	0.193484	0.193484	91
236	-11	0.176157	0.176157	91
239	11	0.0105481	0.0105358	91
239	-11	0.0331723	0.0331683	91
239	-11	0.0263186	0.0263136	91
244	22	0.334533	0.334533	91
249	11	0.439581	0.439581	91
249	11	0.173504	0.173503	91
249	-11	0.0561065	0.0561041	91
249	11	0.0584882	0.058486	91
249	-11	0.149217	0.149216	91
249	11	0.0465445	0.0465417	91
249	-11	0.0170274	0.0170197	91
249	22	0.0472056	0.0472056	91
254	22	0.260061	0.260061	91
254	22	0.0474218	0.0474218	91
254	11	0.564664	0.564664	91
256	11	0.0481504	0.0481477	91
261	11	0.166196	0.166195	91
262	-11	0.080811	0.0808094	91
267	22	0.190338	0.190338	91
271	11	0.244631	0.244631	91
272	22	0.0436424	0.0436424	91
272	22	0.104537	0.104537	91
275	22	0.307853	0.307853	91
275	22	0.0324175	0.0324175	91
275	-11	0.140177	0.140176	91
276	22	0.10339	0.10339	91
282	11	0.0777107	0.0777091	91
282	-11	0.0235879	0.0235824	91
284	11	0.0209275	0.0209213	91
284	-11	0.211124	0.211123	91
284	11	0.0608802	0.0608781	91
284	-11	0.0429994	0.0429964	91
286	11	0.0106059	0.0105935	91
286	-11	0.00825004	0.00823434	91
287	22	0.332942	0.332942	91
288	22	0.124359	0.124359	91
