Exotic Particle Analysis
******************************************************
JobID: 20200229	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
0	22	0.172226	0.172226	91
1	22	0.0690073	0.0690073	91
4	11	0.437105	0.437104	91
5	-13	0.251898	0.22867	91
8	22	0.19409	0.19409	91
9	22	0.432847	0.432847	91
13	22	0.497564	0.497564	91
13	11	0.0851135	0.085112	91
13	-11	0.0205373	0.020531	91
13	22	0.0521813	0.0521813	91
17	22	0.0901311	0.0901311	91
18	22	0.0154006	0.0154006	91
23	11	0.180593	0.180593	91
25	22	0.152466	0.152466	91
25	22	0.108173	0.108173	91
27	11	0.0375885	0.0375851	91
27	22	0.0789823	0.0789823	91
32	-11	0.00589522	0.00587303	91
32	11	0.267495	0.267494	91
32	-11	0.0966282	0.0966268	91
34	22	0.909097	0.909097	91
35	11	0.0628711	0.062869	91
36	22	0.232159	0.232159	91
38	22	0.0707404	0.0707404	91
38	22	0.307495	0.307495	91
42	11	0.322256	0.322255	91
42	-11	0.25028	0.250279	91
53	-11	0.186825	0.186824	91
57	-11	0.00418929	0.00415804	91
57	11	0.0422952	0.0422921	91
57	11	0.0757435	0.0757418	91
57	-11	0.196896	0.196896	91
57	22	0.0784891	0.0784891	91
57	22	0.237966	0.237966	91
61	22	0.126616	0.126616	91
63	11	0.409514	0.409513	91
63	-11	0.114736	0.114735	91
66	11	0.0351673	0.0351637	91
69	11	0.00811677	0.00810078	91
73	22	0.0654816	0.0654816	91
73	11	0.0295871	0.0295827	91
73	-11	0.484245	0.484244	91
79	22	0.0814184	0.0814184	91
82	11	0.169456	0.169455	91
82	-11	0.0646456	0.0646436	91
83	22	0.0431713	0.0431713	91
93	-11	0.0221072	0.0221013	91
93	22	0.170632	0.170632	91
99	11	0.0656403	0.0656383	91
107	-11	0.0947422	0.0947408	91
108	22	0.031162	0.031162	91
108	22	0.436161	0.436161	91
108	22	0.813253	0.813253	91
108	11	0.0804766	0.080475	91
108	-11	0.286007	0.286006	91
113	-11	0.146687	0.146686	91
113	22	0.12156	0.12156	91
113	22	0.169562	0.169562	91
113	-11	0.00808991	0.0080738	91
113	22	0.123489	0.123489	91
117	-11	0.124704	0.124703	91
124	22	0.585707	0.585707	91
124	22	0.10264	0.10264	91
128	22	0.036557	0.036557	91
130	11	0.189018	0.189017	91
130	-11	0.0935199	0.0935185	91
130	22	0.238137	0.238137	91
132	11	0.0558703	0.055868	91
133	11	0.0241257	0.0241203	91
133	-11	0.114784	0.114783	91
134	22	0.231276	0.231276	91
136	11	0.137814	0.137813	91
137	22	0.250888	0.250888	91
137	11	0.247514	0.247514	91
137	-11	0.0485783	0.0485757	91
138	22	0.279101	0.279101	91
140	-11	0.18974	0.189739	91
144	22	0.666159	0.666159	91
145	22	0.301551	0.301551	91
146	22	0.030578	0.030578	91
147	22	0.354218	0.354218	91
147	22	0.610063	0.610063	91
147	22	0.102481	0.102481	91
147	22	0.0800218	0.0800218	91
149	22	0.199835	0.199835	91
151	-11	0.0117714	0.0117603	91
154	22	0.126376	0.126376	91
155	11	0.145745	0.145744	91
155	-11	0.477066	0.477065	91
157	22	0.319282	0.319282	91
159	22	0.138406	0.138406	91
160	22	0.253655	0.253655	91
164	22	0.216688	0.216688	91
164	11	0.0564581	0.0564558	91
164	-11	0.00179367	0.00171943	91
167	11	0.010983	0.0109712	91
168	11	0.0256408	0.0256358	91
169	22	0.207274	0.207274	91
172	22	0.415565	0.415565	91
176	-11	0.0982667	0.0982654	91
176	22	0.0545847	0.0545847	91
176	22	0.241178	0.241178	91
176	22	0.042003	0.042003	91
176	-11	0.240743	0.240743	91
178	11	0.264728	0.264727	91
178	11	0.0960495	0.0960482	91
178	22	0.0597719	0.0597719	91
181	22	0.0420897	0.0420897	91
182	11	0.204157	0.204157	91
184	22	0.163263	0.163263	91
185	-11	0.00596759	0.00594568	91
185	-11	0.018879	0.0188721	91
187	22	0.0362022	0.0362022	91
188	22	0.363189	0.363189	91
191	11	0.184236	0.184235	91
191	-11	0.172824	0.172823	91
195	22	0.182654	0.182654	91
195	11	0.185335	0.185334	91
195	-11	0.0787345	0.0787329	91
195	11	0.0151778	0.0151692	91
195	-11	0.00208278	0.00201915	91
198	11	0.016473	0.0164651	91
198	-11	0.17955	0.179549	91
199	22	0.0193758	0.0193758	91
200	22	0.0230315	0.0230315	91
200	22	0.0267747	0.0267747	91
204	11	0.00401763	0.00398501	91
204	-11	0.286837	0.286837	91
205	22	0.283837	0.283837	91
211	-11	0.00617035	0.00614916	91
212	11	0.0529893	0.0529869	91
212	-11	0.217501	0.217501	91
212	11	0.0988237	0.0988223	91
212	-11	0.0846739	0.0846724	91
223	11	0.0106205	0.0106083	91
223	-11	0.171773	0.171772	91
225	22	0.24264	0.24264	91
225	22	0.0420631	0.0420631	91
229	22	0.0332918	0.0332918	91
232	11	0.0536294	0.053627	91
233	22	0.0424701	0.0424701	91
235	22	0.217094	0.217094	91
235	22	0.145632	0.145632	91
235	22	0.113596	0.113596	91
236	22	0.06118	0.06118	91
240	22	0.215956	0.215956	91
240	-11	0.156369	0.156368	91
242	22	0.0801146	0.0801146	91
242	11	0.0889795	0.0889781	91
242	11	0.228099	0.228098	91
242	-11	0.0019928	0.00192673	91
243	11	0.138746	0.138745	91
243	11	0.020795	0.0207888	91
248	22	0.17022	0.17022	91
248	11	0.22862	0.228619	91
248	-11	0.108386	0.108385	91
248	22	0.667683	0.667683	91
250	22	0.422091	0.422091	91
250	11	0.104667	0.104665	91
250	11	0.137696	0.137695	91
250	-11	0.0999007	0.0998994	91
250	-11	0.0758841	0.0758823	91
252	22	0.737113	0.737113	91
256	22	0.0536849	0.0536849	91
258	11	0.0768569	0.0768552	91
260	-11	0.0496498	0.0496471	91
263	22	0.0228918	0.0228918	91
263	-11	0.0112848	0.0112732	91
265	-11	0.0208478	0.0208416	91
266	22	0.465854	0.465854	91
266	22	0.841059	0.841059	91
267	22	0.242264	0.242264	91
268	22	0.172324	0.172324	91
268	11	0.259066	0.259066	91
269	11	0.230091	0.230091	91
269	-11	0.117535	0.117534	91
269	11	0.088154	0.0881526	91
272	22	0.16091	0.16091	91
276	22	0.0966534	0.0966534	91
278	11	0.0199447	0.0199382	91
281	22	0.12547	0.12547	91
287	22	0.0675182	0.0675182	91
289	22	0.0661267	0.0661267	91
290	11	0.00121747	0.00110511	91
295	22	0.876383	0.876383	91
