Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 200

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
2	-11	0.0119373	0.0119264	91
4	12	0.969485	0.969485	91
5	22	0.0786481	0.0786481	91
10	22	0.290417	0.290417	91
11	22	0.277194	0.277194	91
12	22	0.0911564	0.0911564	91
12	22	0.174984	0.174984	91
13	11	0.0509208	0.0509182	91
14	22	0.0168706	0.0168706	91
15	22	0.151499	0.151499	91
17	11	0.147195	0.147194	91
17	-11	0.0220142	0.0220083	91
18	-11	0.0400069	0.0400037	91
18	11	0.00520323	0.00517833	91
18	-11	0.015156	0.0151475	91
19	11	0.0430708	0.0430678	91
21	22	0.0596636	0.0596636	91
21	22	0.262514	0.262514	91
21	22	0.0200841	0.0200841	91
22	11	0.0277017	0.0276971	91
22	-11	0.0630553	0.0630532	91
22	22	0.0640989	0.0640989	91
22	-11	0.0760677	0.076066	91
22	11	0.0732124	0.0732106	91
26	22	0.362804	0.362804	91
30	11	0.138958	0.138957	91
30	22	0.225633	0.225633	91
31	-11	0.041826	0.0418229	91
32	22	0.0329028	0.0329028	91
32	22	0.14714	0.14714	91
32	-11	0.0987581	0.0987568	91
32	22	0.0356495	0.0356495	91
32	11	0.0732036	0.0732018	91
32	-11	0.0157895	0.0157813	91
33	11	0.221491	0.22149	91
33	-11	0.0577986	0.0577963	91
34	22	0.04274	0.04274	91
34	22	0.182575	0.182575	91
34	11	0.0174674	0.01746	91
39	22	0.0809257	0.0809257	91
39	11	0.111855	0.111854	91
39	-11	0.290993	0.290992	91
42	22	0.102195	0.102195	91
42	11	1.06435	1.06435	91
42	-11	0.143183	0.143182	91
45	-11	0.136901	0.1369	91
49	22	0.603922	0.603922	91
49	22	0.0946188	0.0946188	91
50	-11	0.0262968	0.0262918	91
51	22	0.038499	0.038499	91
51	22	0.239491	0.239491	91
53	11	0.0149089	0.0149002	91
57	22	0.27751	0.27751	91
57	11	0.00271578	0.00266758	91
58	22	0.0238371	0.0238371	91
58	22	0.187296	0.187296	91
58	22	0.452982	0.452982	91
58	11	0.0667066	0.0667046	91
58	-11	0.00534736	0.00532291	91
58	22	0.0633773	0.0633773	91
58	11	0.0115991	0.0115878	91
59	22	0.82275	0.82275	91
59	-11	0.057562	0.0575598	91
59	11	0.145005	0.145004	91
59	11	0.0564458	0.0564435	91
59	-11	0.0273615	0.0273568	91
60	22	0.185712	0.185712	91
60	11	0.0848978	0.0848963	91
64	22	0.180685	0.180685	91
65	-11	0.14525	0.14525	91
65	22	0.358863	0.358863	91
66	22	0.490759	0.490759	91
70	22	0.114019	0.114019	91
71	11	0.0369831	0.0369795	91
71	-11	0.0377087	0.0377052	91
72	11	0.0398198	0.0398165	91
75	22	0.437932	0.437932	91
75	11	0.111014	0.111013	91
76	22	0.0887411	0.0887411	91
80	22	0.168852	0.168852	91
82	11	0.230105	0.230105	91
82	-11	0.150187	0.150186	91
82	22	0.0621477	0.0621477	91
82	11	0.274093	0.274093	91
82	11	0.595665	0.595665	91
82	-11	0.0323003	0.0322962	91
82	11	0.0694945	0.0694926	91
82	-11	0.129188	0.129187	91
82	22	0.0283756	0.0283756	91
86	22	0.067763	0.067763	91
87	-11	0.00290773	0.0028626	91
88	11	0.199271	0.19927	91
88	-11	0.395961	0.39596	91
91	22	0.220509	0.220509	91
92	11	0.0234887	0.0234831	91
96	22	0.331145	0.331145	91
96	11	0.112302	0.112301	91
96	-11	0.344419	0.344419	91
97	22	0.176695	0.176695	91
97	-11	0.0530961	0.0530937	91
98	22	0.102089	0.102089	91
104	22	0.0650819	0.0650819	91
105	11	0.051564	0.0515615	91
105	-11	0.0487239	0.0487212	91
107	22	0.470406	0.470406	91
107	11	0.0799623	0.0799606	91
107	22	0.145288	0.145288	91
109	22	0.130844	0.130844	91
109	11	0.00542159	0.0053976	91
109	22	0.179397	0.179397	91
110	22	0.14322	0.14322	91
111	11	0.074794	0.0747923	91
111	-11	0.0691718	0.0691699	91
120	22	0.18882	0.18882	91
120	22	0.401416	0.401416	91
120	11	0.0160298	0.0160216	91
122	22	0.0724424	0.0724424	91
122	22	0.215869	0.215869	91
126	11	0.0271491	0.0271443	91
126	-11	0.0911861	0.0911847	91
127	22	0.154649	0.154649	91
127	11	0.0710348	0.071033	91
127	-11	0.0274633	0.0274585	91
127	22	0.0734781	0.0734781	91
127	22	0.0280464	0.0280464	91
128	22	0.185625	0.185625	91
128	22	0.590094	0.590094	91
129	-11	0.398117	0.398116	91
129	22	0.594603	0.594603	91
129	-11	0.0586769	0.0586747	91
131	-13	0.492466	0.481001	91
131	22	0.366994	0.366994	91
131	-11	0.00888987	0.00887527	91
135	22	0.19577	0.19577	91
135	22	0.271378	0.271378	91
135	22	0.264937	0.264937	91
136	22	0.192286	0.192286	91
136	-11	0.0211833	0.0211772	91
136	22	0.105386	0.105386	91
136	22	0.29632	0.29632	91
136	11	0.1189	0.118899	91
136	22	0.0963091	0.0963091	91
139	22	0.0653623	0.0653623	91
139	11	0.159092	0.159091	91
139	-11	0.00131836	0.00121611	91
139	22	0.18015	0.18015	91
140	22	0.34378	0.34378	91
140	22	0.299243	0.299243	91
140	22	0.205872	0.205872	91
142	22	0.114992	0.114992	91
142	22	0.114967	0.114967	91
142	22	0.703292	0.703292	91
142	22	0.669546	0.669546	91
142	22	0.0663659	0.0663659	91
142	22	0.0681217	0.0681217	91
146	22	0.144196	0.144196	91
146	11	0.154567	0.154566	91
146	-11	0.337507	0.337507	91
147	11	0.0762586	0.0762569	91
147	-11	0.116949	0.116948	91
148	22	0.202195	0.202195	91
148	22	0.403868	0.403868	91
148	22	0.551138	0.551138	91
148	-11	0.689531	0.689531	91
148	22	0.17701	0.17701	91
148	11	0.193275	0.193274	91
148	-11	0.0669599	0.0669579	91
148	22	0.103971	0.103971	91
149	22	1.1538	1.1538	91
152	-11	0.206999	0.206998	91
154	11	0.198096	0.198095	91
154	-11	0.25206	0.25206	91
159	11	0.0638719	0.0638699	91
162	22	0.274481	0.274481	91
162	22	0.0878415	0.0878415	91
164	22	0.335578	0.335578	91
164	22	0.559739	0.559739	91
164	22	0.151441	0.151441	91
165	22	0.349425	0.349425	91
168	22	0.214369	0.214369	91
169	22	0.341048	0.341048	91
