Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 27

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
3	22	0.0643325	0.0643325	91
4	11	0.074071	0.0740692	91
4	-11	0.125903	0.125902	91
6	11	0.0507198	0.0507172	91
6	-11	0.0635097	0.0635077	91
8	11	0.0322757	0.0322716	91
8	-11	0.313032	0.313032	91
12	11	0.0754595	0.0754577	91
12	-11	0.0180875	0.0180802	91
12	-11	0.116825	0.116824	91
16	-11	0.091875	0.0918736	91
17	11	0.21527	0.215269	91
17	-11	0.12876	0.128759	91
19	11	0.99486	0.99486	91
19	-11	0.163339	0.163338	91
19	11	0.213412	0.213412	91
19	-11	0.0230495	0.0230438	91
22	11	0.0113109	0.0112994	91
22	-11	0.00619261	0.00617155	91
24	11	0.00615157	0.00613045	91
24	22	0.0458168	0.0458168	91
27	22	0.0546309	0.0546309	91
35	22	0.324871	0.324871	91
38	22	0.610848	0.610848	91
38	-11	0.285587	0.285587	91
43	11	0.0845891	0.0845876	91
43	-11	0.157956	0.157956	91
47	11	0.0520943	0.0520918	91
48	22	0.171484	0.171484	91
48	-11	0.0747221	0.0747204	91
54	11	0.101482	0.101481	91
54	-11	0.130166	0.130165	91
55	11	0.00174841	0.00167224	91
55	22	0.0677602	0.0677602	91
57	22	0.0961035	0.0961035	91
58	22	0.0413976	0.0413976	91
58	11	0.00855071	0.00853551	91
58	-11	0.100527	0.100525	91
60	22	0.214196	0.214196	91
61	22	0.0547146	0.0547146	91
61	22	0.0355834	0.0355834	91
61	22	0.200156	0.200156	91
63	22	0.0445631	0.0445631	91
71	-11	0.00599769	0.00597599	91
75	22	0.502477	0.502477	-43
75	22	0.520858	0.520858	62
76	22	0.081195	0.081195	91
76	11	0.150051	0.15005	91
77	-11	0.127458	0.127457	91
78	-11	0.0324185	0.0324145	91
79	-11	0.0159745	0.0159664	91
80	22	0.130917	0.130917	91
80	11	0.0770286	0.0770269	91
80	-11	0.035912	0.0359084	91
80	11	0.0358047	0.035801	91
82	11	0.113685	0.113684	91
89	11	0.198422	0.198421	91
89	-11	0.326977	0.326977	91
90	11	0.0374139	0.0374104	91
90	-11	0.0394947	0.0394914	91
90	11	0.0242479	0.0242426	91
94	11	0.0655958	0.0655938	91
94	-11	0.0451366	0.0451337	91
96	11	0.421136	0.421135	91
96	-11	0.201372	0.201372	91
101	22	0.156126	0.156126	91
101	11	0.163806	0.163805	91
101	-11	0.106737	0.106736	91
104	22	0.0952834	0.0952834	91
106	22	0.262503	0.262503	-43
108	22	0.0876565	0.0876565	91
112	22	0.00585467	0.00585467	91
112	22	0.156751	0.156751	91
112	22	0.114306	0.114306	91
115	11	0.396413	0.396412	91
115	-11	0.0644773	0.0644753	91
118	11	0.0170254	0.0170178	91
118	-11	0.128634	0.128633	91
120	22	0.0645819	0.0645819	91
124	11	0.765889	0.765889	91
125	11	0.179257	0.179256	91
125	11	0.0100187	0.0100057	91
128	11	0.0646858	0.0646838	91
128	22	0.0459069	0.0459069	91
128	-11	0.00986777	0.00985453	91
128	11	0.0887971	0.0887956	91
132	22	0.0762454	0.0762454	91
133	11	0.0205059	0.0204996	91
134	11	0.0483259	0.0483232	91
136	22	0.0237453	0.0237453	91
149	11	0.0337462	0.0337423	91
149	11	0.164483	0.164482	91
149	-11	0.0278881	0.0278834	91
155	11	0.0390683	0.039065	91
159	11	0.0937867	0.0937853	91
159	-11	0.0292812	0.0292768	91
159	11	0.0818071	0.0818055	91
159	-11	0.0219028	0.0218968	91
160	22	0.0530995	0.0530995	91
160	11	0.0296602	0.0296558	91
165	22	0.475629	0.475629	91
165	11	0.00924083	0.00922676	91
165	-11	0.353732	0.353732	91
167	11	0.0943348	0.0943335	91
167	-11	0.560572	0.560571	91
169	11	0.076141	0.0761393	91
169	-11	0.113824	0.113823	91
172	11	0.00662472	0.00660504	91
174	11	0.365066	0.365066	91
