Exotic Particle Analysis
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 39

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
1	22	0.15238	0.15238	91
2	-14	0.210469	0.210469	91
2	22	0.0128008	0.0128008	91
2	11	0.0276013	0.0275966	91
2	-11	0.0390746	0.0390713	91
6	-11	0.0402051	0.0402018	91
6	11	0.246436	0.246436	91
6	-11	0.229621	0.22962	91
7	-11	0.680191	0.680191	91
9	-11	0.0908352	0.0908337	91
10	-11	0.12264	0.122639	91
12	-11	0.275412	0.275411	91
15	22	0.235533	0.235533	91
16	11	0.0176762	0.0176688	91
18	-11	0.449272	0.449271	91
19	22	0.0305751	0.0305751	91
21	22	0.213767	0.213767	91
23	22	0.15101	0.15101	91
23	11	0.0513204	0.0513179	91
23	-11	0.0186255	0.0186186	91
24	22	0.415875	0.415875	91
24	-11	0.0178253	0.017818	91
24	11	0.608513	0.608513	91
24	-11	0.0481148	0.0481121	91
25	22	0.155645	0.155645	91
25	11	0.142	0.142	91
25	-11	0.0382201	0.0382167	91
26	-11	0.054186	0.0541836	91
26	22	0.0491727	0.0491727	91
28	22	0.229758	0.229758	91
28	22	0.276221	0.276221	91
31	22	0.281222	0.281222	91
31	11	0.0231417	0.023136	91
31	-11	0.0245883	0.024583	91
31	11	0.0438991	0.0438962	91
31	-11	0.288932	0.288931	91
32	11	0.0547547	0.0547523	91
32	-11	0.0120772	0.0120665	91
32	-11	0.134959	0.134958	91
37	22	0.352949	0.352949	91
38	22	0.338623	0.338623	91
38	22	0.486371	0.486371	91
38	22	0.193785	0.193785	91
39	22	0.509069	0.509069	91
39	22	0.171009	0.171009	91
39	22	0.446794	0.446794	91
40	22	0.14591	0.14591	91
41	22	0.0621637	0.0621637	91
41	-11	0.0114636	0.0114523	91
42	22	0.203824	0.203824	91
43	11	0.014435	0.014426	91
44	22	0.525731	0.525731	91
46	22	0.425912	0.425912	91
49	22	0.199801	0.199801	91
51	22	0.140626	0.140626	91
51	22	0.134332	0.134332	91
54	22	0.419107	0.419107	91
55	22	0.804032	0.804032	91
70	-11	0.0904188	0.0904174	91
71	22	0.274036	0.274036	91
72	22	0.0319383	0.0319383	91
73	11	0.0156605	0.0156522	91
74	22	0.186939	0.186939	91
74	11	0.864457	0.864456	91
74	-11	0.0853495	0.0853479	91
74	-11	0.0209553	0.0209491	91
74	22	0.149092	0.149092	91
79	22	0.248511	0.248511	91
79	11	0.0471424	0.0471397	91
79	-11	0.445263	0.445263	91
79	11	0.0328701	0.0328661	91
79	-11	0.242768	0.242767	91
79	11	0.098885	0.0988837	91
79	11	0.257548	0.257547	91
79	-11	0.110201	0.1102	91
79	-11	0.0270527	0.0270479	91
82	22	0.122977	0.122977	91
83	11	1.18052	1.18052	91
83	-11	0.125105	0.125104	91
83	22	0.555212	0.555212	91
84	11	0.0889507	0.0889493	91
84	-11	0.0127472	0.012737	91
85	22	0.277808	0.277808	91
86	11	0.245272	0.245272	91
88	22	0.0871537	0.0871537	91
88	22	0.296283	0.296283	91
89	22	0.711125	0.711125	91
89	22	0.0540582	0.0540582	91
89	-11	0.0205125	0.0205061	91
90	22	0.454844	0.454844	91
90	-11	0.0127048	0.0126945	91
92	22	0.307883	0.307883	91
93	11	0.164228	0.164227	91
93	22	0.22129	0.22129	91
95	-11	0.131784	0.131783	91
97	-11	0.0283437	0.0283391	91
102	11	0.00473948	0.00471192	91
102	-11	0.0328102	0.0328063	91
104	22	0.683308	0.683308	91
104	22	0.0573108	0.0573108	91
106	22	0.0649356	0.0649356	91
107	22	0.0433473	0.0433473	91
116	11	0.165583	0.165582	91
116	11	0.0561864	0.0561841	91
116	11	0.00436551	0.0043355	91
118	22	0.149732	0.149732	91
120	11	0.0555636	0.0555613	91
