Exotic Particle Analysis
******************************************************
JobID: 20200425	No. Events: 1000	SNN: 27

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
4	22	1.44922	1.44922	91
4	22	0.588755	0.588755	91
4	22	0.0394899	0.0394899	91
4	22	0.768063	0.768063	91
4	11	0.223606	0.223605	91
4	-11	0.135264	0.135263	91
4	11	0.0308318	0.0308276	91
4	-11	0.0224381	0.0224322	91
8	22	0.0654603	0.0654603	91
10	22	0.213367	0.213367	91
12	22	0.26283	0.26283	91
12	22	0.396177	0.396177	91
12	-11	1.34989	1.34989	91
12	22	0.120116	0.120116	91
12	11	0.0184303	0.0184232	91
13	22	0.303879	0.303879	91
14	22	0.537506	0.537506	91
14	11	0.0727286	0.0727268	91
14	-11	0.543304	0.543304	91
14	22	0.0850567	0.0850567	91
15	11	0.047598	0.0475953	91
15	-11	0.336761	0.336761	91
17	22	0.405288	0.405288	91
17	11	0.250619	0.250619	91
17	-11	0.0999477	0.0999464	91
18	22	0.537216	0.537216	91
18	11	0.583314	0.583314	91
18	-11	0.0277562	0.0277516	91
18	-11	0.088742	0.0887406	91
18	22	0.0394456	0.0394456	91
23	22	0.349526	0.349526	91
24	22	0.0533804	0.0533804	91
27	11	0.0999332	0.0999319	91
28	11	0.00436528	0.0043353	91
29	22	0.0970581	0.0970581	91
31	22	0.0224845	0.0224845	91
31	22	0.0759078	0.0759078	91
35	22	0.838501	0.838501	91
36	22	0.0996558	0.0996558	91
38	11	0.0363237	0.0363201	91
38	11	0.00171743	0.0016397	91
39	11	0.123872	0.123871	91
39	-11	0.0342866	0.0342828	91
40	22	0.0556143	0.0556143	91
48	22	0.102705	0.102705	91
53	-11	0.691636	0.691636	91
53	22	0.27619	0.27619	91
53	22	0.0800696	0.0800696	91
53	-11	0.0825023	0.0825007	91
55	11	0.0104748	0.0104624	91
