Particle List (1st event only)
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 200

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
1	system	-11	90	0	0	0	0	39400	39400
2	197Au	-12	1000791970	0	0	0	19699.1	19700	183.473
3	197Au	-12	1000791970	0	0	0	-19699.1	19700	183.473
4	p+	-13	2212	1	0	0	99.9956	100	0.93827
5	n0	-13	2112	2	0	0	-99.9956	100	0.93957
6	ubar	-21	-2	9	0	0	1.58643	1.58643	0
7	dbar	-21	-1	10	0	0	-10.7502	10.7502	0
8	ubar	-23	-2	5	-1.77879	-0.314262	0.943128	2.06428	0.33
9	dbar	-23	-1	5	1.77879	0.314262	-10.1069	10.2723	0.33
10	ubar	-61	-2	3	1.28785	1.19131	1.07655	2.05834	0
11	dbar	-61	-1	4	0.192365	-1.34978	-10.388	10.4771	0
12	ubar	-62	-2	7	-0.557875	0.822114	1.30654	1.67423	0.33
13	dbar	-62	-1	8	2.03809	-0.980582	-10.618	10.8612	0.33
14	u	-63	2	3	-0.432383	-0.623568	54.4311	54.4374	0.33
15	ud_0	-63	2101	3	-0.336812	-0.207305	9.5683	9.59398	0.57933
16	u	-63	2	3	-0.518657	-0.36044	34.3456	34.353	0.33
17	u	-63	2	4	-0.291769	0.275093	-43.1607	43.1639	0.33
18	dd_1	-63	1103	4	-0.287923	0.961582	-30.9882	31.0141	0.77133
19	d	-63	1	4	0.62222	0.0700369	-14.8827	14.8995	0.33
20	n0	-13	2112	1	0	0	99.9956	100	0.93827
21	p_diffr+	-15	9902210	19	-0.234893	0.0430681	99.9937	100.003	1.32762
22	u	-24	2	20	-0.36785	0.0674459	11.9743	11.9822	0.22127
23	dd_1	-63	1103	20	0.132956	-0.0243778	88.0194	88.0206	0.44254
24	n0	-13	2112	1	0	0	99.9956	100	0.93827
25	p+	-13	2212	2	0	0	-99.9956	100	0.93827
26	g	-21	21	36	0	0	0.205063	0.205063	0
27	g	-21	21	37	0	0	-20.9211	20.9211	0
28	g	-23	21	25	0.946536	-0.742105	-18.9577	18.9958	0
29	g	-23	21	25	-0.946536	0.742105	-1.75836	2.13037	0
30	u	-31	2	40	0	0	7.57358	7.57358	0
31	g	-31	21	41	0	0	-0.222958	0.222958	0
32	u	-33	2	29	-0.0187799	-0.97432	6.21731	6.30187	0.33
33	g	-33	21	29	0.0187799	0.97432	1.13331	1.49467	0
34	u	-51	2	31	-0.373604	-0.567356	2.09713	2.22897	0.33
35	g	-51	21	31	0.358351	-0.224021	4.33298	4.35354	0
36	g	-52	21	32	0.0152537	0.791378	0.920514	1.21402	0
37	g	-61	21	23	-0.557861	0.587546	-0.586878	1.00042	0
38	g	-61	21	24	-1.49964	0.106356	-22.8025	22.852	0
39	g	-62	21	27	-0.311865	-0.609837	-18.3433	18.3561	0
40	g	-62	21	28	-1.74564	1.30374	-5.04615	5.49642	0
41	u	-61	2	23	0.0185213	-0.243426	7.59738	7.6013	0
42	g	-61	21	24	0.289012	-0.272557	-0.0529748	0.400776	0
43	u	-62	2	33	-0.281017	-0.721718	2.24542	2.39805	0.33
44	g	-62	21	35	0.204728	0.592671	0.581529	0.855189	0
45	g	-62	21	34	0.383823	-0.386935	4.71746	4.74883	0
46	dd_1	-63	1103	23	0.467069	-0.395241	91.5156	91.5195	0.57933
47	ud_1	-63	2103	24	0.772159	-0.254407	-67.8121	67.8214	0.77133
48	u	-63	2	24	0.438469	0.420607	-8.31708	8.34577	0.33
49	n0	-13	2112	2	0	0	-99.9956	100	0.93827
50	p_diffr+	-15	9902210	48	-0.0914841	-0.0427659	-99.8237	100.171	8.33843
51	g	-24	21	49	-0.0825704	-0.038599	0.141522	0.168334	0
52	u	-63	2	49	1.11644	0.502497	-35.086	35.1089	0.325
53	dd_1	-63	1103	49	-1.12535	-0.506664	-64.8792	64.8942	0.65
54	n0	-13	2112	2	0	0	-99.9956	100	0.93827
55	p_diffr+	-15	9902210	53	0.163755	0.0938866	-99.7089	100.287	10.7542
56	d	-24	1	54	0.164406	0.0942597	0.165377	0.410961	0.325
57	ud_1	-63	2103	54	-0.000650763	-0.000373105	-99.8743	99.8764	0.65
58	n0	-13	2112	1	0	0	99.9956	100	0.93827
59	n0	-13	2112	2	0	0	-99.9956	100	0.93827
60	g	-21	21	67	0	0	1.69332	1.69332	0
61	u	-21	2	68	0	0	-15.8405	15.8405	0
62	g	-23	21	59	0.5671	-0.0437036	1.63852	1.73444	0
63	u	-23	2	59	-0.5671	0.0437036	-15.7857	15.7994	0.33
64	g	-31	21	71	0	0	0.328795	0.328795	0
65	u	-31	2	72	0	0	-0.696051	0.696051	0
66	g	-33	21	63	0.390722	0.00595053	-0.330966	0.512092	0
67	u	-33	2	63	-0.390722	-0.00595053	-0.03629	0.512754	0.33
68	g	-61	21	57	0.767326	-1.0108	1.45555	1.9311	0
69	u	-61	2	58	-0.875045	-0.30069	-15.7165	15.7437	0
70	g	-62	21	61	1.321	-1.05112	1.24495	2.09757	0
71	d	-62	1	62	-1.42872	-0.260373	-15.5058	15.5772	0.33
72	g	-61	21	57	0.247173	0.588756	0.122697	0.650217	0
73	u	-61	2	58	0.254288	-0.0549501	-0.585201	0.640424	0
74	g	-62	21	65	0.659246	0.184206	-0.363631	0.77509	0
75	u	-62	2	66	-0.157785	0.3496	-0.0988736	0.51555	0.33
76	ud_1	-63	2103	57	-0.745617	-0.0655841	95.8086	95.8146	0.77133
