Particle List (1st event only)
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
1	system	-11	90	0	0	0	0	25610	25610
2	197Au	-12	1000791970	0	0	0	12803.7	12805	183.473
3	197Au	-12	1000791970	0	0	0	-12803.7	12805	183.473
4	p+	-13	2212	1	0	0	64.9932	65	0.93827
5	n0	-13	2112	2	0	0	-64.9932	65	0.93957
6	g	-21	21	16	0	0	34.3195	34.3195	0
7	g	-21	21	17	0	0	-0.130944	0.130944	0
8	g	-23	21	5	-1.21372	-0.0673775	31.2062	31.2299	0
9	g	-23	21	5	1.21372	0.0673775	2.98235	3.22057	0
10	g	-31	21	21	0	0	0.618027	0.618027	0
11	g	-31	21	22	0	0	-2.10523	2.10523	0
12	g	-33	21	9	0.183954	-1.08187	-0.372206	1.1588	0
13	g	-33	21	9	-0.183954	1.08187	-1.11499	1.56445	0
14	g	-51	21	8	0.737204	-0.416424	1.73431	1.92995	0
15	g	-51	21	8	0.367778	0.477765	4.04386	4.08856	0
16	g	-52	21	7	-1.10498	-0.0613411	28.4104	28.4319	0
17	g	-61	21	3	0.0128156	0.290833	34.0391	34.0404	0
18	g	-61	21	4	0.0187658	1.00052	1.70098	1.9735	0
19	g	-62	21	15	-1.09294	0.259169	28.0248	28.0473	0
20	g	-62	21	13	0.751362	0.333732	1.58693	1.78726	0
21	g	-62	21	14	0.373157	0.698455	6.12841	6.17936	0
22	g	-61	21	3	0.367999	-0.571735	0.425075	0.801868	0
23	g	-61	21	4	-0.607414	-0.789445	-2.16391	2.38216	0
24	g	-62	21	11	0.132164	-1.91205	-0.909877	2.12162	0
25	g	-62	21	12	-0.37158	0.550871	-0.828954	1.0624	0
26	ud_0	-63	2101	3	0.252878	0.0817403	24.8487	24.8568	0.57933
27	u	-63	2	3	-0.633693	0.199162	3.49586	3.57368	0.33
28	ud_0	-63	2101	4	0.0388883	-0.367743	-12.3021	12.3213	0.57933
29	d	-63	1	4	0.49783	0.485644	-50.0012	50.0071	0.33
30	n0	-13	2112	1	0	0	64.9932	65	0.93827
31	p_diffr+	-15	9902210	29	0.0519297	-0.328979	64.9507	65.0432	3.45117
32	g	-24	21	30	0.0490745	-0.310891	0.570533	0.65159	0
33	u	-63	2	30	0.00774682	-0.281872	14.1994	14.206	0.325
34	dd_1	-63	1103	30	-0.00489161	0.263784	50.1807	50.1856	0.65
35	n0	-13	2112	1	0	0	64.9932	65	0.93957
36	p+	-13	2212	2	0	0	-64.9932	65	0.93827
37	u	-21	2	40	0	0	7.11804	7.11804	0
38	g	-21	21	41	0	0	-4.26175	4.26175	0
39	u	-23	2	36	0.710407	-1.30865	6.90213	7.06863	0.33
40	g	-23	21	36	-0.710407	1.30865	-4.04584	4.31116	0
41	u	-42	2	48	-3.88578e-15	2.38698e-15	7.11804	7.11804	0
42	g	-41	21	49	4.10783e-15	-2.55351e-15	-5.26208	5.26208	0
43	u	-44	2	38	0.728107	-1.31992	6.57966	6.75819	0.33
44	g	-44	21	39	0.17795	0.743113	-4.44783	4.51299	0
45	g	-43	21	41	-0.906057	0.576804	-0.275874	1.10894	0
46	s	-51	3	44	-0.114743	0.492182	-0.262167	0.757721	0.5
47	sbar	-51	-3	44	-0.702225	-0.0754837	0.781	1.16567	0.5
48	u	-52	2	42	0.639018	-1.15981	5.78496	5.94375	0.33
49	u	-42	2	57	-3.88578e-16	2.22045e-16	7.11804	7.11804	0
50	g	-41	21	63	4.44089e-16	-2.77556e-16	-6.59963	6.59963	0
51	u	-44	2	47	0.629995	-1.15524	5.62429	5.78559	0.33
52	g	-44	21	43	-0.331208	1.00112	-4.49003	4.61219	0
53	s	-44	3	45	-0.172694	0.521548	-0.251657	0.784325	0.5
54	sbar	-44	-3	46	-0.724082	-0.064408	0.800754	1.19149	0.5
55	g	-43	21	49	0.597989	-0.303023	-1.16494	1.34406	0
56	g	-51	21	51	0.109791	0.586989	-4.0238	4.06787	0
57	g	-51	21	51	-0.441	0.414134	-0.324193	0.686359	0
58	u	-53	2	62	-7.77156e-16	4.44089e-16	7.26008	7.26008	0
59	g	-31	21	70	0	0	9.25566	9.25566	0
60	g	-31	21	71	0	0	-0.229348	0.229348	0
61	g	-33	21	58	0.129858	0.181284	-0.173471	0.282523	0
62	g	-33	21	58	-0.129858	-0.181284	9.19978	9.20248	0
63	u	-61	2	34	-0.580033	-0.312878	7.23857	7.26851	0
64	g	-61	21	35	0.425716	0.135977	-6.57802	6.59319	0
65	u	-62	2	50	0.179056	-1.39963	5.61635	5.80029	0.33
66	g	-62	21	55	0.368082	0.669015	-3.98401	4.05652	0
67	s	-62	3	52	-0.160687	0.520703	-0.24661	0.779595	0.5
68	sbar	-62	-3	53	-0.789123	-0.102475	0.744116	1.19872	0.5
69	g	-62	21	54	0.670547	-0.281567	-1.12758	1.34177	0
70	g	-62	21	56	-0.422192	0.417048	-0.341726	0.684801	0
71	g	-61	21	34	0.278264	0.244607	9.29349	9.30087	0
72	g	-61	21	35	-0.0436611	-0.0625604	-0.22043	0.233259	0
73	g	-62	21	60	0.0870137	0.119522	-0.20607	0.253617	0
74	g	-62	21	61	0.147589	0.0625249	9.27913	9.28051	0
75	dd_1	-63	1103	34	0.121257	0.100249	48.3928	48.3992	0.77133
76	ud_0	-63	2101	35	0.117183	-0.257598	-39.9379	39.9431	0.57933
77	u	-63	2	35	-0.499238	0.184182	-18.2194	18.2302	0.33
78	n0	-13	2112	2	0	0	-64.9932	65	0.93827
79	p_diffr+	-15	9902210	77	-0.0603178	-0.0673174	-64.9823	65.0103	1.90542
80	g	-24	21	78	-0.0533256	-0.0595137	-0.160638	0.179416	0
81	d	-63	1	78	0.235496	0.0859677	-26.0258	26.029	0.317571
82	ud_1	-63	2103	78	-0.242488	-0.0937714	-38.7959	38.8019	0.635141
83	n0	-13	2112	2	0	0	-64.9932	65	0.93827
84	p_diffr+	-15	9902210	82	0.24083	0.0353398	-64.9732	65.0213	2.48785
85	u	-24	2	83	0.259581	0.0380914	-1.92843	1.97315	0.325
86	dd_1	-63	1103	83	-0.0187512	-0.00275159	-63.0448	63.0481	0.65
87	n0	-13	2112	1	0	0	64.9932	65	0.93957
88	n0	-13	2112	2	0	0	-64.9932	65	0.93957
89	g	-21	21	147	0	0	0.314834	0.314834	0
90	d	-21	1	107	0	0	-24.3433	24.3433	0
91	g	-23	21	88	1.54111	0.144541	-1.80256	2.37595	0
92	d	-23	1	88	-1.54111	-0.144541	-22.2259	22.2822	0.33
93	g	-31	21	152	0	0	9.4931	9.4931	0
94	g	-31	21	153	0	0	-5.47789	5.47789	0
95	g	-33	21	92	-0.304369	1.44619	-5.31901	5.5205	0
96	g	-33	21	92	0.304369	-1.44619	9.33422	9.45049	0
97	g	-51	21	94	0.327602	-0.48434	-3.09294	3.14773	0
98	g	-51	21	94	-0.620597	1.87649	-1.87728	2.7259	0
99	g	-52	21	95	0.292995	-1.39215	8.98544	9.09736	0
100	g	-51	21	98	0.27797	-0.200856	6.98126	6.98968	0
101	g	-51	21	98	-0.0112138	-1.11196	1.92481	2.22294	0
102	g	-52	21	97	-0.594358	1.79715	-1.79791	2.61065	0
103	g	-51	21	96	0.158249	0.253786	0.091967	0.312903	0
104	g	-51	21	96	-0.0875067	0.0385354	-3.9619	3.96305	0
105	g	-52	21	101	-0.337499	1.02049	-1.02092	1.48242	0
106	g	-51	21	90	1.18755	0.130423	-0.991999	1.55285	0
107	g	-51	21	90	0.353563	0.0141179	-4.98618	4.99872	0
108	d	-53	1	148	3.26911e-15	0	-28.5189	28.5189	0
109	u	-31	2	162	0	0	3.5829	3.5829	0
110	g	-31	21	163	0	0	-0.17744	0.17744	0
111	u	-33	2	108	-0.447398	-0.532634	2.51611	2.63126	0.33
112	g	-33	21	108	0.447398	0.532634	0.889356	1.12908	0
113	g	-51	21	104	-0.907814	0.435002	-0.559264	1.15158	0
114	g	-51	21	104	0.568418	0.397426	-0.136119	0.706807	0
115	g	-52	21	100	-0.00931725	-0.923894	1.59927	1.84698	0
116	ubar	-31	-2	166	0	0	5.39432	5.39432	0
117	d	-31	1	167	0	0	-2.63488	2.63488	0
118	ubar	-33	-2	115	-0.521031	0.407199	5.31643	5.36755	0.33
119	d	-33	1	115	0.521031	-0.407199	-2.55699	2.66165	0.33
120	dbar	-31	-1	172	0	0	0.213865	0.213865	0
121	g	-31	21	173	0	0	-2.8355	2.8355	0
122	dbar	-33	-1	119	0.559898	-0.199619	-0.494381	0.840623	0.33
123	g	-33	21	119	-0.559898	0.199619	-2.12725	2.20874	0
124	ubar	-51	-2	117	-0.662656	0.459948	1.9283	2.11611	0.33
125	g	-51	21	117	0.155753	-0.0637904	3.3185	3.32277	0
126	d	-52	1	118	0.506903	-0.396158	-2.48737	2.59033	0.33
127	g	-51	21	103	0.550271	-0.0225687	-2.00953	2.08363	0
128	g	-51	21	103	-0.573776	0.163745	-1.91518	2.00598	0
129	g	-52	21	102	0.0942469	0.151145	0.0547719	0.186353	0
130	g	-51	21	114	0.237584	-0.909142	3.98316	4.0925	0
131	g	-51	21	114	-0.150597	-0.0843395	0.0347902	0.176077	0
132	g	-52	21	99	0.181667	-0.131269	4.56258	4.56808	0
133	g	-51	21	124	0.109363	0.249284	3.16087	3.17257	0
134	g	-51	21	124	0.0875774	-0.345295	-0.0467245	0.35928	0
135	d	-52	1	125	0.465716	-0.363937	-2.28301	2.38125	0.33
136	g	-31	21	176	0	0	0.812542	0.812542	0
137	dbar	-31	-1	177	0	0	-0.346759	0.346759	0
138	g	-33	21	135	-0.305688	-0.303052	0.44114	0.616352	0
139	dbar	-33	-1	135	0.305688	0.303052	0.0246427	0.542949	0.33
140	d	-31	1	180	0	0	2.06199	2.06199	0
141	g	-31	21	181	0	0	-0.0773596	0.0773596	0
142	d	-33	1	139	-0.286412	0.0533389	1.58374	1.64378	0.33
143	g	-33	21	139	0.286412	-0.0533389	0.400889	0.495569	0
144	g	-31	21	184	0	0	7.00996	7.00996	0
145	g	-31	21	185	0	0	-0.462536	0.462536	0
146	g	-33	21	143	0.077121	-0.192516	6.9851	6.98818	0
147	g	-33	21	143	-0.077121	0.192516	-0.437672	0.484321	0
148	g	-61	21	86	-0.102623	0.886137	-0.449691	0.998995	0
149	d	-61	1	87	0.878829	-2.25272	-28.7081	28.8098	0
150	g	-62	21	105	1.1339	0.825386	-1.63351	2.15298	0
151	d	-62	1	91	-0.861555	-1.83414	-22.5423	22.6356	0.33
152	g	-62	21	106	0.503863	-0.357824	-4.98203	5.02022	0
153	g	-61	21	86	-2.95822	-0.780879	8.94534	9.4541	0
154	g	-61	21	87	1.18813	2.926	-4.85616	5.7927	0
155	g	-62	21	128	0.0596386	0.168878	0.126669	0.219366	0
156	g	-62	21	131	-1.23999	-0.509996	4.30755	4.51139	0
157	g	-62	21	112	-0.804885	0.895979	-0.587352	1.34	0
158	g	-62	21	129	-0.969605	-1.20112	3.54092	3.86276	0
159	g	-62	21	126	0.964098	1.04475	-1.63997	2.17037	0
160	g	-62	21	113	0.529697	0.565789	0.168215	0.79309	0
161	g	-62	21	127	-0.150728	1.22778	-1.79767	2.18215	0
162	g	-62	21	130	-0.15831	-0.0469434	-0.0291721	0.16768	0
163	u	-61	2	86	-0.0365798	-0.874728	4.23837	4.32784	0
164	g	-61	21	87	-0.233202	-0.291135	0.0193069	0.373518	0
165	u	-62	2	110	-0.568589	-1.40814	3.78713	4.09358	0.33
166	g	-62	21	111	0.298807	0.242281	0.470545	0.607782	0
167	ubar	-61	-2	86	2.12758	0.50139	5.19704	5.63802	0
168	d	-61	1	87	-0.814939	0.929592	-2.34757	2.65318	0
169	ubar	-62	-2	123	0.164611	0.675222	2.15913	2.29211	0.33
170	d	-62	1	134	-0.278949	0.466842	-2.24293	2.3314	0.33
171	g	-62	21	132	1.35854	0.551872	3.04047	3.37559	0
172	g	-62	21	133	0.068435	-0.262953	-0.107188	0.292091	0
173	dbar	-61	-1	86	0.372039	0.0915917	0.00571936	0.38319	0
174	g	-61	21	87	1.19373	-0.69639	-3.86006	4.1	0
175	dbar	-62	-1	121	1.30667	-0.352628	-1.30662	1.90994	0.33
176	g	-62	21	122	0.2591	-0.252171	-2.54772	2.57325	0
177	g	-61	21	86	-0.176144	0.147196	0.582014	0.625647	0
178	dbar	-61	-1	87	-0.900651	-0.640638	0.115858	1.11131	0
179	g	-62	21	137	-0.723105	-0.305392	0.887117	1.18453	0
180	dbar	-62	-1	138	-0.35369	-0.18805	-0.189244	0.552424	0.33
181	d	-61	1	86	0.10039	-0.369655	2.16629	2.1999	0
182	g	-61	21	87	-0.168755	-0.00693629	0.0344076	0.172367	0
183	d	-62	1	141	-0.255809	-0.287862	2.06036	2.12185	0.33
184	g	-62	21	142	0.187443	-0.088729	0.140343	0.250408	0
185	g	-61	21	86	0.343515	-0.104427	6.24908	6.25939	0
186	g	-61	21	87	-0.828009	1.25212	0.679012	1.64756	0
187	g	-62	21	145	0.402374	-0.286432	5.92376	5.94432	0
188	g	-62	21	146	-0.886868	1.43412	1.00433	1.96263	0
189	ud_0	-63	2101	86	-0.209847	0.0205889	20.6253	20.6345	0.57933
190	d	-63	1	86	0.539887	0.482785	2.75236	2.86512	0.33
191	ud_0	-63	2101	87	-0.0305388	-0.334759	-21.0539	21.0645	0.57933
192	dbar	-63	-1	87	-0.128994	-0.274057	-0.51529	0.682767	0.33
193	d	-63	1	87	-0.1556	-0.61108	10.1807	10.2055	0.33
194	NucRem	14	1000781929	2	0	0	-12478.7	12480	180.296
195	NucRem	14	1000781939	1	-7.21645e-16	3.4972e-14	12543.7	12545	181.234
196	g	-73	21	151	0.762963	-0.609995	-7.52976	7.59347	0.0964043
197	d	-73	1	182	-1.4958	-0.797858	6.3679	6.63324	0.758783
198	dbar	-73	-1	191	-0.0693553	-0.105179	-0.388621	0.902133	0.804329
199	g	-73	21	165	1.65735	0.794153	3.51101	3.98338	0.40323
200	dd_1	-73	1103	74	0.268846	0.162774	57.672	57.6797	0.894112
201	g	-73	21	69	-0.335178	0.53657	-0.547796	0.938418	0.424613
202	d	-71	1	80	0.235496	0.0859677	-26.0258	26.029	0.317571
203	g	-71	21	79	-0.0533256	-0.0595137	-0.160638	0.179416	0
204	ud_1	-71	2103	81	-0.242488	-0.0937714	-38.7959	38.8019	0.635141
205	n0	82	2112	201	-0.149991	-0.0468568	-21.8014	21.8222	0.93957
206	omega	-82	223	201	0.0896728	-0.0204606	-43.1809	43.1881	0.782634
207	rho0	-83	113	84	0.273709	0.0481284	-9.17502	9.21516	0.813069
208	n0	84	2112	84	-0.0328794	-0.0127887	-55.7982	55.8061	0.93957
209	u	-71	2	64	0.179056	-1.39963	5.61635	5.80029	0.33
210	sbar	-71	-3	67	-0.789123	-0.102475	0.744116	1.19872	0.5
211	pi0	-83	111	208	0.300513	-1.10387	5.42991	5.55076	0.13498
212	K+	84	321	208	-0.91058	-0.398232	0.93056	1.44824	0.49368
213	u	-71	2	32	0.00774682	-0.281872	14.1994	14.206	0.325
214	g	-71	21	31	0.0490745	-0.310891	0.570533	0.65159	0
215	dd_1	-71	1103	33	-0.00489161	0.263784	50.1807	50.1856	0.65
216	pi+	83	211	212	0.335663	-0.761442	23.0756	23.0911	0.13957
217	K0	-84	311	212	-0.0328223	0.343783	3.86565	3.91281	0.49761
218	Sigma*-	-84	3114	212	-0.250911	0.0886801	38.0094	38.0393	1.48402
219	d	-71	1	192	-0.1556	-0.61108	10.1807	10.2055	0.33
220	dbar	-71	-1	179	-0.35369	-0.18805	-0.189244	0.552424	0.33
221	omega	-83	223	218	0.0671128	-0.431414	5.8511	5.92046	0.791087
222	pi-	83	-211	218	-0.233189	-0.392445	4.37322	4.39919	0.13957
223	pi+	84	211	218	-0.343214	0.0247288	-0.232871	0.438311	0.13957
224	d	-71	1	169	-0.278949	0.466842	-2.24293	2.3314	0.33
225	ubar	-71	-2	168	0.164611	0.675222	2.15913	2.29211	0.33
226	K0	-83	311	223	0.0808389	0.147012	-1.51525	1.60367	0.49761
227	K-	83	-321	223	-0.42897	0.894999	0.568472	1.24576	0.49368
228	pi0	-84	111	223	0.2883	0.133961	1.00022	1.05817	0.13498
229	pi0	-84	111	223	0.0173389	-0.0582839	-0.0100089	0.148383	0.13498
230	eta	-84	221	223	-0.0718453	0.0243754	-0.127232	0.567524	0.54785
231	s	-71	3	66	-0.160687	0.520703	-0.24661	0.779595	0.5
232	g	-71	21	68	0.670547	-0.281567	-1.12758	1.34177	0
233	ud_0	-71	2101	75	0.117183	-0.257598	-39.9379	39.9431	0.57933
234	K*-	-83	-323	230	0.124472	0.359979	-0.860865	1.28863	0.879999
235	pi+	83	211	230	-0.105624	-0.470933	-1.91512	1.97992	0.13957
236	pi-	83	-211	230	0.205745	0.53342	-0.976755	1.14035	0.13957
237	omega	-84	223	230	0.158809	-0.0308495	-7.70023	7.73613	0.726616
238	p+	84	2212	230	-0.0635444	-0.123406	-11.575	11.6138	0.93827
239	omega	-84	223	230	0.307184	-0.286673	-18.2841	18.3057	0.781666
240	d	-71	1	189	0.539887	0.482785	2.75236	2.86512	0.33
241	g	-71	21	149	1.1339	0.825386	-1.63351	2.15298	0
242	g	-71	21	195	0.762963	-0.609995	-7.52976	7.59347	0.0964043
243	dbar	-71	-1	174	1.30667	-0.352628	-1.30662	1.90994	0.33
244	pi0	-83	111	239	0.01977	0.381655	1.80827	1.85313	0.13498
245	pi0	-83	111	239	0.290894	-0.0390994	0.587687	0.670629	0.13498
246	rho-	-83	-213	239	0.314672	-0.215528	-0.600534	1.21766	0.988222
247	pi0	-84	111	239	0.430263	0.649562	-1.11922	1.37038	0.13498
248	pi+	84	211	239	0.298015	-0.0283249	-1.3503	1.39011	0.13957
249	pi-	84	-211	239	0.279873	-0.272771	-0.60448	0.733218	0.13957
250	rho+	-84	213	239	0.974109	0.348623	-1.36328	1.89511	0.813927
251	pi-	84	-211	239	0.23434	-0.149953	-2.37173	2.39206	0.13957
252	rho+	-84	213	239	0.901479	-0.328615	-2.70395	2.99923	0.873714
253	pi+	83	211	26	0.0787779	0.174501	0.283395	0.36939	0.13957
254	omega	-83	223	26	0.125418	0.147598	0.489288	0.941855	0.781136
255	omega	-83	223	26	-0.757305	-0.282307	1.52933	1.89699	0.778808
256	pi-	83	-211	26	0.0833528	-0.336749	0.142069	0.400014	0.13957
257	pi+	83	211	26	-0.349147	0.533718	-1.26987	1.42787	0.13957
258	pi-	83	-211	26	-0.225884	-0.066002	0.304102	0.409069	0.13957
259	pi0	-84	111	26	0.529234	-0.656124	-4.42611	4.50769	0.13498
260	p+	84	2212	26	-0.079251	0.316785	-5.85842	5.94205	0.93827
261	d	-71	1	196	-1.4958	-0.797858	6.3679	6.63324	0.758783
262	g	-71	21	161	-0.15831	-0.0469434	-0.0291721	0.16768	0
263	g	-71	21	157	-0.969605	-1.20112	3.54092	3.86276	0
264	g	-71	21	159	0.529697	0.565789	0.168215	0.79309	0
265	g	-71	21	156	-0.804885	0.895979	-0.587352	1.34	0
266	g	-71	21	158	0.964098	1.04475	-1.63997	2.17037	0
267	g	-71	21	160	-0.150728	1.22778	-1.79767	2.18215	0
268	dbar	-71	-1	197	-0.0693553	-0.105179	-0.388621	0.902133	0.804329
269	pi0	-83	111	260	-1.50258	-0.891546	6.31391	6.55258	0.13498
270	omega	-83	223	260	-0.519974	-0.667138	1.74649	2.10217	0.808349
271	pi-	83	-211	260	0.0494278	0.0992159	0.301679	0.350396	0.13957
272	rho+	-83	213	260	-0.702894	-0.163454	1.32528	1.74562	0.877532
273	pi-	83	-211	260	-0.281742	0.462942	-0.233902	0.606534	0.13957
274	rho0	-83	113	260	0.07125	0.18774	0.238432	0.736501	0.667279
275	p+	84	2212	260	0.758704	0.43164	-1.62068	2.06613	0.93827
276	nbar0	84	-2112	260	-0.196643	0.977216	-0.483749	1.45273	0.93957
277	rho0	-84	113	260	0.169561	1.14659	-1.95321	2.43876	0.888314
278	u	-71	2	164	-0.568589	-1.40814	3.78713	4.09358	0.33
279	ud_0	-71	2101	190	-0.0305388	-0.334759	-21.0539	21.0645	0.57933
280	rho+	-83	213	277	-0.354777	-1.18319	3.23571	3.55195	0.787881
281	eta	-83	221	277	-0.314503	-0.0497166	-1.69608	1.81059	0.54785
282	pi-	83	-211	277	0.0187358	-0.214175	0.0520045	0.261546	0.13957
283	pi+	83	211	277	-0.108002	-0.257037	0.101707	0.327958	0.13957
284	K0	-84	311	277	0.445136	0.172139	-2.99956	3.07779	0.49761
285	Xi-	84	3312	277	-0.308413	-0.0203576	-11.3336	11.4146	1.32171
286	K*+	-84	323	277	0.0226958	-0.190563	-4.62692	4.71368	0.879543
287	d	-71	1	150	-0.861555	-1.83414	-22.5423	22.6356	0.33
288	g	-71	21	171	0.068435	-0.262953	-0.107188	0.292091	0
289	g	-71	21	178	-0.723105	-0.305392	0.887117	1.18453	0
290	g	-71	21	186	0.402374	-0.286432	5.92376	5.94432	0
291	g	-71	21	183	0.187443	-0.088729	0.140343	0.250408	0
