Particle List (1st event only)
******************************************************
JobID: 20200428	No. Events: 10000	SNN: 19.6

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
88	g	-21	21	103	0	0	0.921446	0.921446	0
89	g	-21	21	104	0	0	-0.446028	0.446028	0
90	g	-23	21	87	-0.0504006	-0.63694	0.181697	0.664264	0
91	g	-23	21	87	0.0504006	0.63694	0.293721	0.70321	0
92	dbar	-31	-1	107	0	0	1.60518	1.60518	0
93	g	-31	21	108	0	0	-4.41234	4.41234	0
94	dbar	-33	-1	91	0.175094	0.596572	1.50463	1.66114	0.33
95	g	-33	21	91	-0.175094	-0.596572	-4.31179	4.35638	0
96	u	-31	2	111	0	0	2.98591	2.98591	0
97	g	-31	21	112	0	0	-0.24961	0.24961	0
98	u	-33	2	95	-0.410142	0.304222	2.64847	2.71736	0.33
99	g	-33	21	95	0.410142	-0.304222	0.0878246	0.518151	0
100	g	-31	21	115	0	0	0.333106	0.333106	0
101	g	-31	21	116	0	0	-0.34601	0.34601	0
102	g	-33	21	99	0.230976	0.11192	0.215809	0.335335	0
103	g	-33	21	99	-0.230976	-0.11192	-0.228713	0.343781	0
104	g	-61	21	85	0.281951	0.532015	0.414306	0.73088	0
105	g	-61	21	86	1.1358	-0.578921	0.29469	1.30845	0
106	g	-62	21	89	0.490231	-0.327208	0.876266	1.05605	0
107	g	-62	21	90	0.927522	0.280302	-0.16727	0.983283	0
108	dbar	-61	-1	85	0.445977	0.725947	1.44759	1.67971	0
109	g	-61	21	86	-1.16435	0.177537	-4.32	4.47768	0
110	dbar	-62	-1	93	0.566392	1.31756	1.17987	1.8862	0.33
111	g	-62	21	94	-1.28477	-0.414072	-4.05228	4.27119	0
112	u	-61	2	85	0.267054	-0.736083	3.42091	3.50938	0
113	g	-61	21	86	0.0233809	-0.462684	-0.0581367	0.466908	0
114	u	-62	2	97	-0.186513	-0.34964	2.80901	2.85596	0.33
115	g	-62	21	98	0.476948	-0.849127	0.553761	1.12033	0
116	g	-61	21	85	0.127642	0.203823	0.275716	0.365863	0
117	g	-61	21	86	-0.252584	0.301858	-0.291979	0.49007	0
118	g	-62	21	101	0.253931	0.355805	0.0606015	0.441306	0
119	g	-62	21	102	-0.378872	0.149876	-0.0768651	0.414627	0
120	dd_1	-63	1103	85	-0.696851	-0.0300129	2.16339	2.40036	0.77133
121	d	-63	1	85	-0.425774	-0.695689	-0.33364	0.941001	0.33
122	u	-63	2	86	0.0978145	0.249506	-0.693604	0.813516	0.33
123	dd_1	-63	1103	86	0.159938	0.312704	-2.31925	2.41618	0.57933
124	NucRem	14	1000781929	2	0	0	-1872.94	1881.6	180.296
125	NucRem	14	1000781949	1	1.22125e-15	-1.16573e-15	1892.45	1901.2	182.174
126	g	-73	21	72	-0.0736955	-0.107923	-1.01554	1.02498	0.0467783
127	d	-71	1	83	0.0796339	0.0900023	0.275061	0.446095	0.33
128	ud_0	-71	2101	82	-0.542295	0.490998	2.45574	2.62706	0.57933
129	pi0	-82	111	126	0.0679633	0.226161	0.589375	0.649115	0.13498
130	n0	82	2112	126	-0.530625	0.354839	2.14143	2.42404	0.93957
131	g	-71	21	77	-0.148412	0.288113	-0.734432	0.802761	0
132	g	-71	21	71	-0.300926	1.21668	-0.160113	1.26353	0
133	eta	-81	221	130	-0.472919	1.55265	-1.00452	1.98585	0.54785
134	u	-72	2	113	-0.179237	-0.364407	2.84295	2.8907	0.33
135	g	-72	21	106	0.930011	0.275251	-0.155663	0.982301	0
136	g	-72	21	114	0.4798	-0.854916	0.567063	1.13254	0
137	g	-72	21	105	0.492922	-0.33267	0.888816	1.06941	0
138	g	-72	21	118	-0.377826	0.147752	-0.0719838	0.412025	0
139	g	-72	21	117	0.255048	0.353539	0.0658106	0.440874	0
140	dd_1	-72	1103	119	-0.690743	-0.0424112	2.19188	2.42451	0.77133
141	u	-71	2	76	-0.433656	0.135574	0.0317378	0.562446	0.33
142	ud_0	-71	2101	84	-0.871446	-0.473003	-2.7986	3.02505	0.57933
143	pi+	82	211	140	0.116004	0.131724	0.0789216	0.237732	0.13957
144	n0	82	2112	140	-1.42111	-0.469154	-2.84578	3.34976	0.93957
145	u	-71	2	121	0.0978145	0.249506	-0.693604	0.813516	0.33
146	g	-71	21	110	-1.28477	-0.414072	-4.05228	4.27119	0
147	dd_1	-71	1103	122	0.159938	0.312704	-2.31925	2.41618	0.57933
148	Sigma0	-83	3212	144	-0.696897	-0.0204196	-2.20999	2.60625	1.19264
149	K0	-84	311	144	-0.330117	0.168558	-4.85515	4.89463	0.49761
150	d	-71	1	120	-0.425774	-0.695689	-0.33364	0.941001	0.33
151	dbar	-71	-1	109	0.566392	1.31756	1.17987	1.8862	0.33
152	rho-	-83	-213	149	0.00943341	-0.56959	-0.235896	0.899985	0.655594
153	pi+	84	211	149	-0.044443	0.820811	0.0819289	0.837793	0.13957
154	pi0	-84	111	149	0.175628	0.370646	1.0002	1.08942	0.13498
155	d	-71	1	22	-0.271539	0.264015	0.323993	0.597753	0.33
156	g	-71	21	15	-0.874989	-1.59803	0.959997	2.05935	0
157	g	-71	21	19	0.152985	-0.210413	0.153619	0.302121	0
158	ud_0	-71	2101	21	0.579636	0.338534	3.20008	3.32065	0.57933
159	rho-	-83	-213	154	-0.580444	-0.449945	0.651984	1.24393	0.763495
160	p+	83	2212	154	-0.534536	-1.32653	1.16159	2.06762	0.93827
161	pi0	-84	111	154	0.701073	0.570575	2.82412	2.96832	0.13498
162	eta	-83	221	26	0.273749	0.117659	-0.30554	0.694461	0.54785
163	pi+	83	211	26	-0.122422	0.277098	0.0464833	0.336765	0.13957
164	rho-	-84	-213	26	-0.230205	-0.339174	-3.20645	3.3396	0.838798
165	p+	84	2212	26	0.104124	0.154094	-5.82108	5.89914	0.93827
166	pi+	83	211	133	-0.031373	-0.356136	2.0945	2.12938	0.13957
167	pi0	-83	111	133	-0.111922	0.156615	0.0416092	0.238758	0.13498
168	omega	-83	223	133	0.159419	-0.274683	0.72626	1.11294	0.781225
169	pi0	-83	111	133	1.18639	-0.176815	-0.262316	1.23524	0.13498
170	pi-	84	-211	133	-0.150381	0.0221319	1.52595	1.53984	0.13957
171	Sigma*0	-84	3214	133	-0.27199	-0.543617	1.46486	2.12931	1.42079
172	K0	-84	311	133	0.129829	0.354642	0.738015	0.966906	0.49761
173	K0	-83	311	30	0.11625	-0.267024	0.583619	0.820392	0.49761
174	K*bar0	-83	-313	30	-0.275445	0.361443	-0.198103	0.988205	0.854865
175	pi0	-84	111	30	0.149382	-0.486386	-1.94646	2.01638	0.13498
176	Delta-	-84	1114	30	0.0944891	0.209621	-4.38365	4.54917	1.19405
177	pi+	84	211	30	-0.0556203	0.131987	-2.56426	2.57205	0.13957
178	d	-71	1	16	2.05701	1.76616	-6.31751	6.88262	0.33
179	g	-71	21	20	-1.04923	-1.06895	-2.05142	2.54005	0
180	ud_1	-71	2103	23	-0.648173	0.349378	2.01671	2.28129	0.77133
181	eta	-83	221	177	0.505384	0.371007	-1.30988	1.55209	0.54785
182	rho-	-83	-213	177	1.00955	0.879671	-4.82245	5.06986	0.809006
183	pi+	83	211	177	0.15206	0.0230166	-1.60682	1.62018	0.13957
184	rho0	-84	113	177	-0.221922	-0.0339955	0.541631	1.01016	0.82259
185	Delta0	-84	2114	177	-0.817688	-0.275793	0.311904	1.51289	1.20286
186	rho0	-84	113	177	-0.267777	0.0826754	0.533388	0.938776	0.719901
187	d	-71	1	65	1.66919	-0.803054	-2.23831	2.92404	0.33
188	g	-71	21	66	-0.354625	0.0197956	-0.128869	0.377833	0
189	g	-71	21	73	0.15427	-0.105092	0.417132	0.456994	0
190	g	-71	21	125	-0.0736955	-0.107923	-1.01554	1.02498	0.0467783
191	g	-71	21	64	0.686727	-0.712004	1.64021	1.91542	0
192	g	-71	21	67	-0.172155	0.275844	2.19547	2.21942	0
193	g	-71	21	68	0.332635	-0.499304	0.872372	1.05877	0
194	dbar	-71	-1	80	-0.0252461	0.183372	-0.811753	0.895604	0.33
195	K0	-83	311	186	0.437872	-0.436015	-0.534132	0.956428	0.49761
196	K-	83	-321	186	0.153441	0.205184	-0.430327	0.703239	0.49368
197	pi+	83	211	186	0.357906	-0.22904	-0.0725346	0.453097	0.13957
198	eta	-83	221	186	0.531693	-0.130914	-1.44497	1.63948	0.54785
199	K0	-83	311	186	-0.288457	0.0191781	-0.0511206	0.577758	0.49761
200	Kbar0	-84	-311	186	0.323986	-0.474658	1.71698	1.87774	0.49761
201	rho-	-84	-213	186	0.198472	-0.417694	0.464931	0.956157	0.695856
202	eta	-84	221	186	0.739863	-0.199651	0.206013	0.964282	0.54785
203	pi+	84	211	186	-0.405121	-0.107897	1.03682	1.12705	0.13957
204	K0	-84	311	186	0.428789	-0.163191	0.0536757	0.678961	0.49761
205	K*bar0	-84	-313	186	-0.261344	0.186331	-0.0146081	0.938864	0.882174
206	K_S0	91	310	148	-0.330117	0.168558	-4.85515	4.89463	0.49761
207	pi-	91	-211	151	-0.179829	-0.584328	-0.115043	0.637568	0.13957
208	pi0	-91	111	151	0.189263	0.014738	-0.120853	0.262417	0.13498
209	pi-	91	-211	158	-0.265783	0.174395	0.204204	0.402782	0.13957
210	pi0	-91	111	158	-0.314661	-0.62434	0.44778	0.841153	0.13498
211	pi-	91	-211	163	-0.507632	-0.164485	-1.53841	1.6343	0.13957
212	pi0	-91	111	163	0.277426	-0.174689	-1.66804	1.7053	0.13498
213	Lambda0	91	3122	170	-0.187455	-0.503526	1.51584	1.95734	1.11568
214	pi0	-91	111	170	-0.0845346	-0.040091	-0.0509784	0.171965	0.13498
215	K_L0	91	130	171	0.129829	0.354642	0.738015	0.966906	0.49761
216	K_L0	91	130	172	0.11625	-0.267024	0.583619	0.820392	0.49761
217	K-	91	-321	173	0.0188613	0.0680554	-0.228945	0.548747	0.49368
218	pi+	91	211	173	-0.294306	0.293387	0.0308425	0.439458	0.13957
219	n0	91	2112	175	0.0585034	0.00644257	-3.79423	3.90927	0.93957
220	pi-	91	-211	175	0.0359858	0.203178	-0.58942	0.6399	0.13957
221	pi-	91	-211	181	1.09488	0.774554	-4.46938	4.66835	0.13957
222	pi0	-91	111	181	-0.085334	0.105117	-0.353067	0.401506	0.13498
223	pi+	91	211	183	0.0805233	0.109037	-0.138932	0.239071	0.13957
224	pi-	91	-211	183	-0.302446	-0.143033	0.680563	0.771089	0.13957
225	n0	91	2112	184	-0.595674	-0.398242	0.324555	1.22538	0.93957
226	pi0	-91	111	184	-0.222015	0.122449	-0.0126512	0.287513	0.13498
227	pi+	91	211	185	-0.416751	0.0509828	0.0926785	0.45205	0.13957
228	pi-	91	-211	185	0.148974	0.0316926	0.440709	0.486726	0.13957
229	K_L0	91	130	194	0.437872	-0.436015	-0.534132	0.956428	0.49761
230	K_S0	91	310	198	-0.288457	0.0191781	-0.0511206	0.577758	0.49761
231	K_L0	91	130	199	0.323986	-0.474658	1.71698	1.87774	0.49761
232	pi-	91	-211	200	0.16578	-0.301192	-0.0819678	0.379998	0.13957
233	pi0	-91	111	200	0.0326921	-0.116502	0.546899	0.576159	0.13498
234	K_S0	91	310	203	0.428789	-0.163191	0.0536757	0.678961	0.49761
235	Kbar0	-91	-311	204	-0.156391	0.404938	-0.028818	0.660969	0.49761
236	pi0	-91	111	204	-0.104952	-0.218607	0.0142099	0.277895	0.13498
237	K_L0	91	130	234	-0.156391	0.404938	-0.028818	0.660969	0.49761
238	gamma	91	22	128	0.00599854	0.206808	0.437917	0.484331	0
239	gamma	91	22	128	0.0619648	0.0193533	0.151457	0.164783	0
240	pi0	-91	111	132	-0.331792	0.733952	-0.383494	0.902252	0.13498
241	pi0	-91	111	132	-0.151185	0.432659	-0.307419	0.568135	0.13498
242	pi0	-91	111	132	0.0100584	0.386043	-0.313605	0.515459	0.13498
243	Lambda0	91	3122	147	-0.61057	-0.0743407	-2.1013	2.45734	1.11568
244	gamma	91	22	147	-0.0863269	0.0539211	-0.108693	0.14891	0
245	gamma	91	22	153	0.0391591	0.00778655	0.14613	0.151486	0
246	gamma	91	22	153	0.136469	0.36286	0.854071	0.937938	0
247	gamma	91	22	160	0.0531782	0.00414991	0.161308	0.169899	0
248	gamma	91	22	160	0.647895	0.566425	2.66281	2.79842	0
249	pi0	-91	111	161	0.0966852	0.0456209	-0.193448	0.25898	0.13498
250	pi0	-91	111	161	0.0615642	0.0768023	0.0699178	0.181099	0.13498
251	pi0	-91	111	161	0.1155	-0.00476399	-0.18201	0.254382	0.13498
252	gamma	91	22	166	-0.0468006	0.147986	0.0660357	0.168674	0
253	gamma	91	22	166	-0.065121	0.00862887	-0.0244265	0.0700847	0
254	pi+	91	211	167	-0.0566651	-0.0849059	-0.0468789	0.179157	0.13957
255	pi-	91	-211	167	0.25527	-0.00440419	0.423654	0.51395	0.13957
256	pi0	-91	111	167	-0.0391861	-0.185373	0.349484	0.419831	0.13498
257	gamma	91	22	168	0.209247	-0.0094486	0.00111343	0.209463	0
258	gamma	91	22	168	0.977147	-0.167367	-0.263429	1.02578	0
259	gamma	91	22	174	0.0495386	-0.300948	-0.944258	0.992294	0
260	gamma	91	22	174	0.0998439	-0.185438	-1.0022	1.02409	0
261	gamma	91	22	180	0.326195	0.408496	-1.25726	1.36161	0
262	gamma	91	22	180	0.179189	-0.0374884	-0.0526167	0.19048	0
263	gamma	91	22	197	0.0495324	-0.150173	-0.053846	0.167047	0
264	gamma	91	22	197	0.482161	0.019259	-1.39112	1.47244	0
265	pi0	-91	111	201	0.135739	0.0635585	0.0151264	0.20227	0.13498
266	pi0	-91	111	201	0.448181	-0.153611	0.0656148	0.496978	0.13498
267	pi0	-91	111	201	0.155944	-0.109599	0.125272	0.265034	0.13498
268	gamma	91	22	207	0.168942	-0.022113	-0.135673	0.217802	0
269	gamma	91	22	207	0.0203201	0.0368511	0.0148193	0.0446152	0
270	gamma	91	22	209	-0.0786967	-0.147362	0.179453	0.245178	0
271	gamma	91	22	209	-0.235965	-0.476978	0.268326	0.595975	0
272	gamma	91	22	211	0.114812	-0.147169	-0.994469	1.01183	0
273	gamma	91	22	211	0.162614	-0.0275201	-0.673571	0.693469	0
274	gamma	91	22	213	0.0308249	0.00357366	0.0122432	0.0333593	0
275	gamma	91	22	213	-0.11536	-0.0436647	-0.0632217	0.138605	0
276	gamma	91	22	221	-0.044163	0.0233094	-0.279803	0.284224	0
277	gamma	91	22	221	-0.041171	0.0818073	-0.0732642	0.117282	0
278	gamma	91	22	225	-0.0109922	0.0415568	-0.0414196	0.059694	0
279	gamma	91	22	225	-0.211022	0.0808926	0.0287684	0.227819	0
280	gamma	91	22	232	-0.0262732	-0.0438515	0.0536156	0.0740802	0
281	gamma	91	22	232	0.0589652	-0.0726501	0.493283	0.502079	0
282	gamma	91	22	235	-0.0801299	-0.228534	0.0341142	0.244565	0
283	gamma	91	22	235	-0.0248225	0.00992637	-0.0199043	0.0333297	0
284	gamma	91	22	239	-0.249082	0.427676	-0.186943	0.529052	0
285	gamma	91	22	239	-0.0827107	0.306276	-0.196551	0.3732	0
286	gamma	91	22	240	-0.0880654	0.278857	-0.116002	0.3146	0
287	gamma	91	22	240	-0.0631193	0.153802	-0.191417	0.253534	0
288	gamma	91	22	241	0.00214334	0.0345461	0.0116276	0.0365134	0
289	gamma	91	22	241	0.00791506	0.351497	-0.325232	0.478945	0
290	gamma	91	22	248	0.0642397	0.090204	-0.0939437	0.14522	0
291	gamma	91	22	248	0.0324455	-0.0445831	-0.099504	0.11376	0
292	gamma	91	22	249	0.0620169	0.0805812	-0.00900824	0.102081	0
293	gamma	91	22	249	-0.000452738	-0.00377889	0.0789261	0.0790178	0
294	gamma	91	22	250	0.105188	-0.0546367	-0.0885801	0.147973	0
295	gamma	91	22	250	0.0103118	0.0498728	-0.0934297	0.106408	0
296	gamma	91	22	255	0.00896223	-0.0634851	0.0231527	0.0681669	0
297	gamma	91	22	255	-0.0481483	-0.121888	0.326332	0.351664	0
298	gamma	91	22	264	0.00425591	-0.0271669	-0.0254314	0.0374555	0
299	gamma	91	22	264	0.131483	0.0907254	0.0405579	0.164815	0
300	gamma	91	22	265	0.423682	-0.106109	0.0736404	0.442931	0
301	gamma	91	22	265	0.0244989	-0.0475018	-0.00802563	0.0540465	0
302	gamma	91	22	266	0.0228875	0.0294837	0.0040025	0.0375386	0
303	gamma	91	22	266	0.133056	-0.139082	0.121269	0.227495	0
