Particle List (1st event only)
******************************************************
JobID: 20200430	No. Events: 10000	SNN: 39

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
0	system	-11	90	0	0	0	0	7683	7683	-nan
1	197Au	-12	1000791970	0	0	0	3837.12	3841.5	183.473	-nan
2	197Au	-12	1000791970	0	0	0	-3837.12	3841.5	183.473	-1.60397e-05
3	n0	-13	2112	1	0	0	19.4774	19.5	0.93957	-nan
4	n0	-13	2112	2	0	0	-19.4774	19.5	0.93957	-0
5	g	-21	21	17	0	0	4.30473	4.30473	0	-nan
6	d	-21	1	18	0	0	-1.27037	1.27037	0	-0
7	g	-23	21	5	0.547996	1.02839	3.91042	4.08035	0	1.16528
8	d	-23	1	5	-0.547996	-1.02839	-0.876061	1.49475	0.33	1.19477
9	g	-31	21	21	0	0	6.01921	6.01921	0	-nan
10	d	-31	1	22	0	0	-0.236774	0.236774	0	-0
11	g	-33	21	9	0.163234	0.797714	5.04109	5.10642	0	0.814243
12	d	-33	1	9	-0.163234	-0.797714	0.741349	1.14956	0.33	0.85002
13	g	-31	21	25	0	0	0.869206	0.869206	0	-nan
14	g	-31	21	26	0	0	-0.842889	0.842889	0	-0
15	g	-33	21	13	0.213075	-0.251264	-0.776941	0.843903	0	0.329446
16	g	-33	21	13	-0.213075	0.251264	0.803258	0.868193	0	0.329446
17	g	-61	21	3	0.707209	-0.607453	4.13198	4.23585	0	0.932279
18	d	-61	1	4	0.827651	1.10784	-0.921952	1.66202	0	1.38286
19	g	-62	21	7	1.31964	0.471726	4.4138	4.63094	0	1.40142
20	d	-62	1	8	0.215222	0.0286585	-1.20377	1.26693	0.33	0.224884
21	g	-61	21	3	-0.221128	0.985822	5.68604	5.77511	0	1.01032
22	d	-61	1	4	-1.31828	-0.123494	1.50404	2.00381	0	1.32405
23	g	-62	21	11	-0.23355	1.46073	4.00146	4.26614	0	1.47928
24	d	-62	1	12	-1.30585	-0.598398	3.18863	3.51278	0.33	1.44281
25	g	-61	21	3	-0.0608397	-0.835907	0.785652	1.14878	0	0.838118
26	g	-61	21	4	-5.28e-05	0.00256745	-0.756368	0.756372	0	0.00256799
27	g	-62	21	15	0.210692	-0.280633	-0.799204	0.872854	0	0.350921
28	g	-62	21	16	-0.271584	-0.552707	0.828489	1.0323	0	0.615827
29	u	-63	2	3	-0.188069	0.282791	2.13217	2.18412	0.33	0.343563
30	dd_1	-63	1103	3	-0.237172	0.174747	4.24786	4.32736	0.77133	0.299391
31	ud_1	-63	2103	4	0.711971	-0.355643	-10.5057	10.564	0.77133	0.797985
32	dbar	-63	-1	4	0.016139	0.354723	-3.35285	3.38771	0.33	0.356787
33	n0	-13	2112	1	0	0	19.4774	19.5	0.93827	-nan
34	p_diffr+	-15	9902210	33	0.0681296	-0.0228959	19.2414	19.7378	4.39836	0.0737278
35	u	-24	2	34	0.0697901	-0.023454	-0.128413	0.357121	0.325	0.17763
36	dd_1	-63	1103	34	-0.00166052	0.000558107	19.3698	19.3807	0.65	0.00175279
37	n0	-13	2112	1	0	0	19.4774	19.5	0.93827	-nan
38	p_diffr+	-15	9902210	37	0.00998755	0.0345145	19.3398	19.635	3.39163	0.0364789
39	u	-24	2	38	0.0104061	0.035961	0.0461584	0.330389	0.325	0.208115
40	dd_1	-63	1103	38	-0.0004185	-0.00144644	19.2937	19.3046	0.65	0.00150662
41	n0	-13	2112	1	0	0	19.4774	19.5	0.93827	-nan
42	p_diffr+	-15	9902210	41	-0.218645	-0.153384	19.4074	19.5712	2.51241	0.269309
43	d	-24	1	42	-0.235161	-0.16497	0.540302	0.692869	0.325	0.325257
44	ud_1	-63	2103	42	0.0165153	0.011586	18.8671	18.8783	0.65	0.020186
45	p+	-13	2212	1	0	0	19.4774	19.5	0.93827	-nan
46	p_diffr+	-15	9902210	45	-0.0969047	-0.844228	16.9701	22.0108	13.9917	1.1008
47	g	-24	21	46	-0.0962894	-0.838873	-2.4217	2.56469	0	0.844382
48	d	-63	1	46	-0.507306	0.0506684	9.89042	9.90888	0.325	0.510105
49	uu_1	-63	2203	46	0.506691	-0.0560227	9.5014	9.53724	0.65	0.510967
50	n0	-13	2112	1	0	0	19.4774	19.5	0.93827	-nan
51	p+	-13	2212	2	0	0	-19.4774	19.5	0.93827	-0
52	g	-21	21	72	0	0	0.533155	0.533155	0	-nan
53	dbar	-21	-1	73	0	0	-0.795504	0.795504	0	-0
54	g	-23	21	52	-0.232403	-0.558901	-0.195197	0.63599	0	0.605295
55	dbar	-23	-1	52	0.232403	0.558901	-0.067152	0.692669	0.33	0.688446
56	u	-31	2	76	0	0	5.28731	5.28731	0	-nan
57	u	-31	2	77	0	0	-2.75913	2.75913	0	-0
58	u	-33	2	56	-0.546232	-0.305549	-2.6895	2.78101	0.33	0.630337
59	u	-33	2	56	0.546232	0.305549	5.21768	5.26543	0.33	0.627116
60	g	-31	21	80	0	0	6.56149	6.56149	0	-nan
61	d	-31	1	81	0	0	-0.081644	0.081644	0	-0
62	g	-33	21	60	0.017437	-0.439073	5.51724	5.53471	0	0.439419
63	d	-33	1	60	-0.017437	0.439073	0.962599	1.10842	0.33	0.460292
64	g	-31	21	84	0	0	0.640966	0.640966	0	-nan
65	g	-31	21	85	0	0	-0.660971	0.660971	0	-0
66	g	-33	21	64	-0.253536	-0.353387	0.474304	0.643527	0	0.434928
67	g	-33	21	64	0.253536	0.353387	-0.494309	0.65841	0	0.434928
68	g	-31	21	88	0	0	0.380025	0.380025	0	-nan
69	g	-31	21	89	0	0	-0.494889	0.494889	0	-0
70	g	-33	21	68	0.339592	-0.266051	-0.102142	0.443327	0	0.4314
71	g	-33	21	68	-0.339592	0.266051	-0.0127216	0.431587	0	0.4314
72	g	-61	21	50	-0.537529	-1.00834	0.229339	1.16545	0	1.14267
73	dbar	-61	-1	51	-0.178226	0.0936095	-0.580846	0.614743	0	0.201313
74	g	-62	21	54	-0.611828	-0.87757	-0.707347	1.2825	0	1.0698
75	dbar	-62	-1	55	-0.103926	-0.037161	0.355841	0.497699	0.33	0.147441
76	u	-61	2	50	-0.981452	0.738279	5.21951	5.36205	0	1.22813
77	u	-61	2	51	0.617885	0.135001	-2.67202	2.74585	0	0.632461
78	u	-62	2	58	0.0680847	-0.170343	-2.70196	2.72821	0.33	0.184802
79	u	-62	2	59	-0.431652	1.04362	5.24945	5.37969	0.33	1.1315
80	g	-61	21	50	-0.121853	0.384127	6.91208	6.92382	0	0.402991
81	d	-61	1	51	-0.324637	0.200926	0.340623	0.511649	0	0.381786
82	g	-62	21	62	-0.106392	-0.124217	5.32446	5.32697	0	0.163552
83	d	-62	1	63	-0.340099	0.70927	1.92824	2.10849	0.33	0.796409
84	g	-61	21	50	1.07906	0.312845	0.315228	1.16688	0	1.12349
85	g	-61	21	51	-0.20482	-0.117434	-0.339512	0.413534	0	0.236097
86	g	-62	21	66	0.794053	-0.0433987	0.540815	0.961709	0	0.795238
87	g	-62	21	67	0.0801864	0.23881	-0.565099	0.618706	0	0.251913
88	g	-61	21	50	-0.158783	-0.442808	0.350867	0.586855	0	0.470416
89	g	-61	21	51	-0.146676	-0.561105	-0.531161	0.786438	0	0.579959
90	g	-62	21	70	0.161979	-0.855655	-0.125698	0.879877	0	0.870852
91	g	-62	21	71	-0.467438	-0.148258	-0.0545955	0.493416	0	0.490387
92	dd_1	-63	1103	50	1.26015	0.433681	2.90081	3.24444	0.57933	1.35446
93	ud_0	-63	2101	51	0.254273	-0.243722	-10.5796	10.6013	0.57933	0.352742
94	d	-63	1	51	-0.456155	-0.01727	-3.17324	3.22284	0.33	0.458894
95	dbar	-63	-1	51	0.438356	0.509995	0.88892	1.16247	0.33	0.70135
96	n0	-13	2112	2	0	0	-19.4774	19.5	0.93827	-0
97	p_diffr+	-15	9902210	96	-0.539593	-0.417784	-18.7584	19.9916	6.87919	0.72681
98	g	-24	21	97	-0.527328	-0.408269	0.403658	0.77955	0	0.666902
99	d	-63	1	97	0.0231528	-0.279598	-13.434	13.4409	0.325	0.280637
100	ud_1	-63	2103	97	-0.0354187	0.270083	-5.72799	5.77119	0.65	0.27414
101	n0	-13	2112	1	0	0	19.4774	19.5	0.93827	-nan
102	p+	-13	2212	2	0	0	-19.4774	19.5	0.93827	-0
103	d	-21	1	133	0	0	0.916728	0.916728	0	-nan
104	d	-21	1	134	0	0	-6.0276	6.0276	0	-0
105	d	-23	1	103	0.240941	1.06914	-5.58821	5.70422	0.33	1.09779
106	d	-23	1	103	-0.240941	-1.06914	0.477338	1.24011	0.33	1.13695
107	g	-31	21	137	0	0	3.25835	3.25835	0	-nan
108	u	-31	2	138	0	0	-2.02204	2.02204	0	-0
109	g	-33	21	107	-0.723468	0.408614	3.10211	3.21146	0	0.830886
110	u	-33	2	107	0.723468	-0.408614	-1.8658	2.06893	0.33	0.841661
111	g	-31	21	141	0	0	0.678919	0.678919	0	-nan
112	g	-31	21	142	0	0	-5.20277	5.20277	0	-0
113	g	-33	21	111	-0.702918	-0.416516	0.386476	0.903849	0	0.817055
114	g	-33	21	111	0.702918	0.416516	-4.91033	4.97784	0	0.817055
115	u	-31	2	146	0	0	5.36282	5.36282	0	-nan
116	g	-31	21	147	0	0	-0.155611	0.155611	0	-0
117	u	-33	2	115	-0.542337	-0.4499	4.29935	4.36919	0.33	0.706675
118	g	-33	21	115	0.542337	0.4499	0.907861	1.14924	0	0.704656
119	g	-31	21	150	0	0	2.75921	2.75921	0	-nan
120	u	-31	2	151	0	0	-1.38219	1.38219	0	-0
121	g	-33	21	119	0.707806	0.0118832	2.5976	2.69233	0	0.707906
122	u	-33	2	119	-0.707806	-0.0118832	-1.22057	1.44908	0.33	0.727008
123	g	-51	21	113	-0.33027	-0.217174	0.575709	0.698344	0	0.395276
124	g	-51	21	113	-0.234721	-0.117613	-1.15274	1.18226	0	0.262539
125	g	-52	21	114	0.564991	0.334787	-3.94682	4.00109	0	0.656733
126	g	-51	21	121	0.15349	-0.181281	2.23258	2.24518	0	0.237533
127	g	-51	21	121	0.487074	0.192035	0.247118	0.578953	0	0.523564
128	u	-52	2	122	-0.640565	-0.0107543	-1.10267	1.31728	0.33	0.661757
129	g	-31	21	155	0	0	2.88721	2.88721	0	-nan
130	g	-31	21	156	0	0	-0.0330199	0.0330199	0	-0
131	g	-33	21	129	-0.248337	0.183449	1.41175	1.44512	0	0.308747
132	g	-33	21	129	0.248337	-0.183449	1.44243	1.4751	0	0.308747
133	d	-61	1	101	-1.64833	0.791069	0.154	1.8348	0	1.82832
134	d	-61	1	102	-0.0659313	0.997107	-5.93093	6.01452	0	0.999284
135	d	-62	1	105	0.0293932	2.0961	-5.65961	6.04438	0.33	2.09944
136	d	-62	1	106	-1.74365	-0.307928	-0.117321	1.80494	0.33	1.80099
137	g	-61	21	101	-2.18209	-1.00525	2.46748	3.44391	0	2.40251
138	u	-61	2	102	1.14078	1.01166	-1.20598	1.94402	0	1.52474
139	g	-62	21	109	-2.70667	-0.470847	2.07785	3.4446	0	2.74732
140	u	-62	2	110	1.66536	0.477253	-0.816357	1.94333	0.33	1.75793
141	g	-61	21	101	0.99821	-1.04482	-0.0927672	1.44799	0	1.44501
142	g	-61	21	102	-0.483666	0.343454	-4.55064	4.58914	0	0.593206
143	g	-62	21	123	0.609876	-1.20122	-0.05871	1.34845	0	1.34717
144	g	-62	21	125	0.217123	0.570602	-3.64743	3.69817	0	0.610515
145	g	-62	21	124	-0.312455	-0.0707443	-0.937268	0.990507	0	0.320363
146	u	-61	2	101	0.306139	-0.0925478	4.75576	4.76651	0	0.319822
147	g	-61	21	102	-0.660351	-0.017578	0.557685	0.864514	0	0.660585
148	u	-62	2	117	-0.37509	-0.546559	5.08374	5.13738	0.33	0.664259
149	g	-62	21	118	0.0208771	0.436433	0.22971	0.493636	0	0.436932
150	g	-61	21	101	1.10558	1.083	2.24273	2.72489	0	1.54764
151	u	-61	2	102	0.0876405	-1.40567	-0.798395	1.61896	0	1.4084
152	g	-62	21	126	1.07515	0.718835	1.91633	2.31192	0	1.29332
153	u	-62	2	128	-0.522196	-1.13836	-0.488357	1.38417	0.33	1.2896
154	g	-62	21	127	0.640267	0.0968487	0.0163697	0.647758	0	0.647551
155	g	-61	21	101	0.311484	0.176014	3.03579	3.0568	0	0.357775
156	g	-61	21	102	-0.1138	0.0291823	0.107567	0.159288	0	0.117482
157	g	-62	21	131	-0.0957555	0.314821	2.13456	2.15978	0	0.329062
158	g	-62	21	132	0.29344	-0.109625	1.00879	1.05631	0	0.313248
159	d	-63	1	101	1.44121	0.0202624	2.41768	2.834	0.33	1.45122
160	d	-63	1	102	-0.364847	-0.113791	-1.67878	1.75307	0.33	0.389137
161	dbar	-63	-1	102	0.460174	-0.844362	-1.65483	1.94218	0.33	0.975806
162	n0	-13	2112	2	0	0	-19.4774	19.5	0.93827	-0
163	p_diffr+	-15	9902210	162	-0.332201	0.0722735	-19.3038	19.5054	2.77664	0.34347
164	g	-24	21	163	-0.268098	0.058318	-0.187741	0.332452	0	0.274368
165	d	-63	1	163	0.426562	0.165014	-11.1181	11.1322	0.325	0.457562
166	ud_1	-63	2103	163	-0.490665	-0.151059	-7.99796	8.04074	0.65	0.515077
167	p+	-13	2212	1	0	0	19.4774	19.5	0.93827	-nan
168	n0	-13	2112	2	0	0	-19.4774	19.5	0.93827	-0
169	g	-21	21	173	0	0	3.25662	3.25662	0	-nan
170	u	-21	2	174	0	0	-10.6913	10.6913	0	-0
171	g	-23	21	169	-1.88833	-0.75377	2.82662	3.48192	0	2.03321
172	u	-23	2	169	1.88833	0.75377	-10.2613	10.466	0.33	2.03422
173	g	-41	21	180	-8.88178e-16	2.77556e-17	8.73784	8.73784	0	8.88612e-16
174	u	-42	2	213	-4.44089e-16	1.38778e-17	-10.6913	10.6913	0	-4.44306e-16
175	g	-44	21	171	-3.60234	-0.631002	2.24805	4.29287	0	3.65719
176	u	-44	2	172	1.83271	0.757753	-9.41602	9.62826	0.33	1.98435
177	g	-43	21	173	1.76963	-0.126751	5.21449	5.50804	0	1.77417
178	g	-51	21	175	-2.0431	0.938112	1.03479	2.47489	0	2.24818
179	g	-51	21	175	-1.55925	-1.56911	3.74357	4.3483	0	2.2121
180	g	-53	21	212	-1.77636e-15	5.55112e-17	11.2682	11.2682	0	1.77722e-15
181	g	-51	21	178	-0.094206	-0.711696	0.0668271	0.721007	0	0.717904
182	g	-51	21	178	-2.91025	0.68236	3.27609	4.43486	0	2.98918
183	g	-52	21	179	-0.597883	-0.601667	1.43545	1.66733	0	0.848214
184	g	-51	21	181	-1.13908	0.5831	0.800242	1.50927	0	1.27965
185	g	-51	21	181	-0.334977	-0.971266	0.819886	1.31445	0	1.02741
186	g	-52	21	182	-1.53041	0.358831	1.72279	2.33215	0	1.57191
187	g	-31	21	223	0	0	1.17571	1.17571	0	-nan
188	g	-31	21	224	0	0	-0.371003	0.371003	0	-0
189	g	-33	21	187	0.30711	0.485745	0.0212476	0.575079	0	0.574687
190	g	-33	21	187	-0.30711	-0.485745	0.783459	0.971634	0	0.574687
191	g	-51	21	185	-0.606888	-0.896823	0.393055	1.152	0	1.08287
192	g	-51	21	185	-0.249974	0.192713	0.793474	0.853948	0	0.315635
193	g	-52	21	184	-0.61719	0.315943	0.433598	0.817772	0	0.693357
194	g	-51	21	191	-0.850292	-1.0179	0.948555	1.63061	0	1.32632
195	g	-51	21	191	-0.447652	0.283111	0.222426	0.574472	0	0.529664
196	g	-52	21	186	-0.839352	0.196801	0.944862	1.27906	0	0.862115
197	g	-51	21	193	-0.768489	0.526344	0.229977	0.959428	0	0.931457
198	g	-51	21	193	0.340718	-0.13261	-0.767045	0.849725	0	0.365615
199	u	-52	2	176	1.64329	0.679963	-8.44536	8.63688	0.33	1.77971
200	d	-31	1	227	0	0	1.29325	1.29325	0	-nan
201	g	-31	21	228	0	0	-1.01688	1.01688	0	-0
202	d	-33	1	200	0.359852	0.20855	1.19177	1.30468	0.33	0.429895
203	g	-33	21	200	-0.359852	-0.20855	-0.915393	1.00545	0	0.415916
204	g	-31	21	231	0	0	0.473531	0.473531	0	-nan
205	g	-31	21	232	0	0	-3.33327	3.33327	0	-0
206	g	-33	21	204	0.0491047	-0.388352	0.378784	0.544706	0	0.391444
207	g	-33	21	204	-0.0491047	0.388352	-3.23852	3.26209	0	0.391444
208	u	-31	2	235	0	0	1.90759	1.90759	0	-nan
209	g	-31	21	236	0	0	-0.07844	0.07844	0	-0
210	u	-33	2	208	0.0349774	0.202456	1.69881	1.74272	0.33	0.209241
211	g	-33	21	208	-0.0349774	-0.202456	0.130339	0.243311	0	0.205455
212	g	-61	21	167	1.02854	-0.132206	11.2602	11.3079	0	1.037
213	u	-61	2	168	1.92487	-0.135587	-10.6781	10.8511	0	1.92964
214	g	-62	21	197	-0.655255	0.515408	0.195951	0.856389	0	0.83367
215	u	-62	2	199	3.20267	0.569229	-8.36286	8.97928	0.33	3.25506
216	g	-62	21	177	2.30001	-0.192969	5.28883	5.77053	0	2.30809
217	g	-62	21	183	-0.439806	-0.620895	1.40845	1.60083	0	0.760881
218	g	-62	21	196	-0.714797	0.182335	0.907255	1.16931	0	0.737686
219	g	-62	21	194	-0.677315	-1.03674	0.911091	1.53742	0	1.23838
220	g	-62	21	192	-0.171546	0.182884	0.781843	0.821068	0	0.250748
221	g	-62	21	195	-0.383484	0.27659	0.202535	0.514376	0	0.472824
222	g	-62	21	198	0.492929	-0.143635	-0.751022	0.90975	0	0.51343
223	g	-61	21	167	0.191118	-0.79529	0.806163	1.14844	0	0.817932
224	g	-61	21	168	0.205596	0.465423	0.0577516	0.512077	0	0.50881
225	g	-62	21	189	0.529728	0.303111	0.806173	1.01114	0	0.610318
226	g	-62	21	190	-0.133015	-0.632978	0.0577408	0.649375	0	0.646803
227	d	-61	1	167	-0.162373	0.34024	1.21193	1.26921	0	0.376999
228	g	-61	21	168	-1.07522	0.78104	-0.870051	1.58843	0	1.32896
229	d	-62	1	202	0.147184	0.568352	1.01784	1.22049	0.33	0.609815
230	g	-62	21	203	-1.38478	0.552928	-0.675966	1.63715	0	1.49109
231	g	-61	21	167	-0.48623	0.0172425	0.348728	0.598606	0	0.486536
232	g	-61	21	168	-0.316242	-0.648316	-3.43549	3.5104	0	0.721334
233	g	-62	21	206	-0.439914	-0.381837	0.326317	0.667688	0	0.582515
234	g	-62	21	207	-0.362558	-0.249237	-3.41308	3.44132	0	0.439963
235	u	-61	2	167	-0.603447	0.00385013	2.49362	2.5656	0	0.60346
236	g	-61	21	168	-0.256112	0.260019	0.310865	0.479417	0	0.364971
237	u	-62	2	210	-0.656031	0.276445	2.70807	2.81946	0.33	0.716824
238	g	-62	21	211	-0.203529	-0.0125752	0.0964188	0.225563	0	0.203917
239	u	-63	2	167	0.0323949	0.566163	1.68682	1.80993	0.33	0.576757
240	dd_1	-63	1103	168	-0.48289	-0.722578	-3.19241	3.35893	0.57933	0.882303
241	p+	-13	2212	1	0	0	19.4774	19.5	0.93827	-nan
242	n0	-13	2112	2	0	0	-19.4774	19.5	0.93827	-0
243	u	-21	2	255	0	0	4.01631	4.01631	0	-nan
244	g	-21	21	256	0	0	-8.59144	8.59144	0	-0
245	u	-23	2	243	-0.939945	-0.836482	3.8631	4.07623	0.33	1.2624
246	g	-23	21	243	0.939945	0.836482	-8.43823	8.53152	0	1.25825
247	g	-31	21	259	0	0	1.37577	1.37577	0	-nan
248	d	-31	1	260	0	0	-7.13528	7.13528	0	-0
249	g	-33	21	247	0.385955	0.325659	1.31616	1.40971	0	0.504991
250	d	-33	1	247	-0.385955	-0.325659	-7.07567	7.10134	0.33	0.505537
251	g	-31	21	263	0	0	0.924392	0.924392	0	-nan
252	g	-31	21	264	0	0	-0.336964	0.336964	0	-0
253	g	-33	21	251	-0.36132	-0.299537	-0.0475692	0.471739	0	0.469334
254	g	-33	21	251	0.36132	0.299537	0.634997	0.789618	0	0.469334
255	u	-61	2	241	0.143678	-0.244744	4.00474	4.01478	0	0.283801
256	g	-61	21	242	-0.240039	-0.929213	-8.60281	8.65617	0	0.959716
257	u	-62	2	245	-0.800211	-1.0919	3.90101	4.14239	0.33	1.35805
258	g	-62	21	246	0.70385	-0.0820536	-8.49908	8.52857	0	0.708617
259	g	-61	21	241	-0.107712	0.0111729	1.36797	1.37225	0	0.10829
