Particle List (1st event only)
******************************************************
JobID: 20200430	No. Events: 10000	SNN: 11.5

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
0	system	-11	90	0	0	0	0	2265.5	2265.5	-nan
1	197Au	-12	1000791970	0	0	0	1117.79	1132.75	183.473	-nan
2	197Au	-12	1000791970	0	0	0	-1117.79	1132.75	183.473	-1.60397e-05
3	n0	-13	2112	1	0	0	5.67272	5.75	0.93957	-nan
4	n0	-13	2112	2	0	0	-5.67272	5.75	0.93957	-0
5	g	-21	21	11	0	0	1.85527	1.85527	0	-nan
6	g	-21	21	13	0	0	-2.4257	2.4257	0	-0
7	g	-23	21	5	-0.707262	-1.21942	-1.88477	2.35363	0	1.40968
8	g	-23	21	5	0.707262	1.21942	1.31433	1.92735	0	1.40968
9	g	-51	21	7	-0.924782	-1.25369	-1.77857	2.36438	0	1.55787
10	g	-51	21	7	0.21752	0.0342727	0.206289	0.301736	0	0.220203
11	g	-53	21	12	0	-3.33067e-16	2.16776	2.16776	0	3.33067e-16
12	g	-61	21	3	-0.0478384	0.360165	2.04575	2.07776	0	0.363328
13	g	-61	21	4	0.482064	1.96636	-2.33602	3.09127	0	2.02459
14	g	-62	21	9	-0.523196	0.389863	-2.16973	2.26571	0	0.652477
15	g	-62	21	8	0.736347	1.81866	1.6535	2.56589	0	1.96207
16	g	-62	21	10	0.221073	0.117999	0.225961	0.337425	0	0.250594
17	ud_0	-63	2101	3	0.105038	-0.403487	2.69636	2.78923	0.57933	0.42623
18	d	-63	1	3	-0.0571999	0.043322	-0.535796	0.633345	0.33	0.0840671
19	ud_0	-63	2101	4	-0.244643	-1.14743	-0.0309079	1.30883	0.57933	1.30838
20	d	-63	1	4	-0.0131558	-0.75228	-0.0120828	0.821672	0.33	0.821566
21	n0	-13	2112	1	0	0	5.67293	5.75	0.93827	-nan
22	p_diffr+	-15	9902210	21	-0.0578785	0.0109239	4.64754	6.27822	4.22053	0.0795603
23	u	-24	2	22	-0.0587194	0.0140236	-0.761556	0.830203	0.325	0.0656068
24	dd_1	-63	1103	22	0.000840844	-0.00309974	5.4091	5.44801	0.65	0.00323487
25	p+	-13	2212	1	0	0	5.67293	5.75	0.93827	-nan
26	p_diffr+	-15	9902210	25	-0.166386	-0.0775665	4.87102	5.99968	3.49795	0.225954
27	g	-24	21	26	-0.157754	-0.0695501	-0.484929	0.514665	0	0.172405
28	u	-63	2	26	-0.199443	-0.143556	3.07096	3.09787	0.325	0.247099
29	ud_0	-63	2101	26	0.190811	0.13554	2.28499	2.38714	0.65	0.243242
30	n0	-13	2112	1	0	0	5.67293	5.75	0.93827	-nan
31	p+	-13	2212	2	0	0	-5.67293	5.75	0.93827	-0
32	g	-21	21	48	0	0	0.53006	0.53006	0	-nan
33	g	-21	21	49	0	0	-2.35025	2.35025	0	-0
34	g	-23	21	32	0.0719859	-1.10132	-1.12476	1.57581	0	1.10367
35	g	-23	21	32	-0.0719859	1.10132	-0.695433	1.3045	0	1.10367
36	d	-31	1	52	0	0	0.172098	0.172098	0	-nan
37	g	-31	21	53	0	0	-1.2196	1.2196	0	-0
38	d	-33	1	36	-0.191157	0.33639	-0.445422	0.676018	0.33	0.443318
39	g	-33	21	36	0.191157	-0.33639	-0.602079	0.71568	0	0.38691
40	g	-31	21	56	0	0	0.542863	0.542863	0	-nan
41	u	-31	2	57	0	0	-0.199469	0.199469	0	-0
42	g	-33	21	40	-0.242438	0.0356648	0.100198	0.264741	0	0.245048
43	u	-33	2	40	0.242438	-0.0356648	0.243195	0.47759	0.33	0.338986
44	g	-31	21	60	0	0	0.692664	0.692664	0	-nan
45	d	-31	1	61	0	0	-0.185727	0.185727	0	-0
46	g	-33	21	44	0.1678	-0.102106	0.448902	0.489995	0	0.196425
47	d	-33	1	44	-0.1678	0.102106	0.0580354	0.388395	0.33	0.372477
48	g	-61	21	30	0.253646	0.216559	0.374682	0.501618	0	0.333517
49	g	-61	21	31	-0.393979	-1.05241	-2.32165	2.57931	0	1.12374
50	g	-62	21	34	0.0175443	-1.50951	-0.720472	1.67272	0	1.50961
51	g	-62	21	35	-0.157877	0.673661	-1.2265	1.40821	0	0.691913
52	d	-61	1	30	-0.137748	-0.329248	-0.139187	0.383082	0	0.356902
53	g	-61	21	31	-0.67955	0.368911	-1.26521	1.48278	0	0.773229
54	d	-62	1	38	-0.460161	0.145021	-0.220413	0.624709	0.33	0.568222
55	g	-62	21	39	-0.357137	-0.105359	-1.18398	1.24115	0	0.372353
56	g	-61	21	30	-0.0731254	0.424295	0.614198	0.750075	0	0.43055
57	u	-61	2	31	0.195258	0.472187	-0.0304372	0.511871	0	0.510966
58	g	-62	21	42	-0.168244	0.357215	0.0796976	0.402815	0	0.394852
59	u	-62	2	43	0.290376	0.539267	0.504064	0.859132	0.33	0.663364
60	g	-61	21	30	0.507052	-0.487091	0.972374	1.19995	0	0.703107
61	d	-61	1	31	0.551651	-0.26487	0.0760195	0.616647	0	0.611943
62	g	-62	21	46	0.737999	-0.590277	0.904361	1.30803	0	0.945024
63	d	-62	1	47	0.320703	-0.161684	0.144032	0.508564	0.33	0.472022
64	ud_1	-63	2103	30	-0.843316	0.37982	-0.23973	1.22795	0.77133	1.18867
65	u	-63	2	31	0.326621	0.47618	-0.642071	0.924437	0.33	0.618161
66	n0	-13	2112	2	0	0	-5.67293	5.75	0.93827	-0
67	p_diffr+	-15	9902210	66	0.293492	-0.204334	-3.07192	7.07228	6.36023	0.817793
68	g	-24	21	67	0.271	-0.188004	1.78042	1.81071	0	0.329828
69	d	-63	1	67	0.537764	0.67093	-2.74613	2.89589	0.325	0.865314
70	ud_1	-63	2103	67	-0.515272	-0.68726	-2.10621	2.36568	0.65	0.893354
71	n0	-13	2112	1	0	0	5.67293	5.75	0.93827	-nan
72	p+	-13	2212	2	0	0	-5.67293	5.75	0.93827	-0
73	g	-21	21	89	0	0	2.13384	2.13384	0	-nan
74	g	-21	21	90	0	0	-0.638285	0.638285	0	-0
75	g	-23	21	73	-0.0355607	-0.492841	-0.507919	0.708618	0	0.494122
76	g	-23	21	73	0.0355607	0.492841	2.00347	2.06351	0	0.494122
77	u	-31	2	93	0	0	0.446249	0.446249	0	-nan
78	u	-31	2	94	0	0	-1.93785	1.93785	0	-0
79	u	-33	2	77	-0.115171	-0.345041	0.266431	0.558751	0.33	0.45077
80	u	-33	2	77	0.115171	0.345041	-1.75803	1.82534	0.33	0.369849
81	g	-31	21	97	0	0	0.184347	0.184347	0	-nan
82	d	-31	1	98	0	0	-0.571671	0.571671	0	-0
83	g	-33	21	81	0.0213419	0.234497	-0.0851251	0.250381	0	0.235466
84	d	-33	1	81	-0.0213419	-0.234497	-0.302199	0.505637	0.33	0.310778
85	g	-31	21	101	0	0	0.64797	0.64797	0	-nan
86	g	-31	21	102	0	0	-0.184395	0.184395	0	-0
87	g	-33	21	85	-0.303556	-0.0426668	0.0394617	0.30907	0	0.30654
88	g	-33	21	85	0.303556	0.0426668	0.424113	0.523296	0	0.30654
89	g	-61	21	71	1.07025	0.0834667	2.08618	2.34618	0	1.0735
90	g	-61	21	72	-0.212236	-0.324427	-0.485313	0.621149	0	0.387681
91	g	-62	21	75	-0.13989	-0.790787	-0.207979	0.82956	0	0.803065
92	g	-62	21	76	0.997905	0.549827	1.80884	2.13776	0	1.13935
93	u	-61	2	71	-1.06649	-0.217174	-0.205539	1.10762	0	1.08838
94	u	-61	2	72	-0.274452	0.915461	-1.71671	1.96481	0	0.955716
