Particle List (1st event only)
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 62.4

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

I	particle/jet	status	KF	orig	p_x	p_y	p_z	E	m
=========================================================
0	system	-11	90	0	0	0	0	12292.8	12292.8	-nan
1	197Au	-12	1000791970	0	0	0	6143.66	6146.4	183.473	-nan
2	197Au	-12	1000791970	0	0	0	-6143.66	6146.4	183.473	-1.60397e-05
3	n0	-13	2112	1	0	0	31.1859	31.2	0.93957	-nan
4	n0	-13	2112	2	0	0	-31.1859	31.2	0.93957	-0
5	g	-21	21	17	0	0	0.38666	0.38666	0	-nan
6	g	-21	21	18	0	0	-12.3808	12.3808	0	-0
7	g	-23	21	5	-0.950558	-0.380935	-11.6384	11.6833	0	1.02405
8	g	-23	21	5	0.950558	0.380935	-0.355715	1.08407	0	1.02405
9	g	-31	21	43	0	0	1.18903	1.18903	0	-nan
10	d	-31	1	44	0	0	-1.42164	1.42164	0	-0
11	g	-33	21	9	-0.808238	-0.424536	0.785179	1.20415	0	0.912951
12	d	-33	1	9	0.808238	0.424536	-1.01779	1.40651	0.33	0.939166
13	g	-31	21	47	0	0	0.588693	0.588693	0	-nan
14	d	-31	1	48	0	0	-2.0837	2.0837	0	-0
15	g	-33	21	13	0.690695	-0.310403	0.203132	0.78401	0	0.757238
16	d	-33	1	13	-0.690695	0.310403	-1.69814	1.88838	0.33	0.769072
17	g	-41	21	37	-1.11022e-16	-2.77556e-17	0.547141	0.547141	0	1.14439e-16
18	g	-42	21	28	0	0	-12.3808	12.3808	0	-0
19	g	-44	21	7	-0.914802	-0.367045	-9.76916	9.81877	0	0.98569
20	g	-44	21	8	1.52973	0.605921	-1.28304	2.08649	0	1.64537
21	g	-43	21	17	-0.614932	-0.238876	-0.781403	1.02264	0	0.6597
22	u	-31	2	51	0	0	8.17395	8.17395	0	-nan
23	ubar	-31	-2	52	0	0	-0.498015	0.498015	0	-0
24	g	-33	21	22	0.535433	0.35933	7.94654	7.97266	0	0.644831
25	g	-33	21	22	-0.535433	-0.35933	-0.270602	0.699308	0	0.644831
26	g	-51	21	20	1.42449	0.425451	-2.0349	2.52012	0	1.48667
27	g	-51	21	20	0.105241	0.180471	0.0905346	0.227688	0	0.208915
28	g	-53	21	38	-5.2321e-15	-3.9443e-31	-13.0421	13.0421	0	-5.2321e-15
29	g	-31	21	55	0	0	0.313841	0.313841	0	-nan
30	u	-31	2	56	0	0	-3.06975	3.06975	0	-0
31	g	-33	21	29	-0.0590144	-0.372598	0.17092	0.414157	0	0.377243
32	u	-33	2	29	0.0590144	0.372598	-2.92683	2.96943	0.33	0.379594
33	g	-31	21	59	0	0	0.914494	0.914494	0	-nan
34	g	-31	21	60	0	0	-1.84199	1.84199	0	-0
35	g	-33	21	33	-0.20017	0.198533	0.881584	0.925567	0	0.281928
36	g	-33	21	33	0.20017	-0.198533	-1.80908	1.83091	0	0.281928
37	g	-61	21	3	-0.846707	0.150092	0.229808	0.890086	0	0.859907
38	g	-61	21	4	-0.635725	-0.110286	-13.1972	13.2129	0	0.645221
39	g	-62	21	19	-1.46279	-0.446478	-10.5283	10.6388	0	1.52941
40	g	-62	21	26	0.988854	0.478235	-1.20335	1.62929	0	1.09843
41	g	-62	21	21	-0.867248	-0.215721	-1.28554	1.56565	0	0.893675
42	g	-62	21	27	-0.141246	0.22377	0.0498262	0.269269	0	0.264619
43	g	-61	21	3	0.215484	-0.563728	0.907586	1.08992	0	0.603508
44	d	-61	1	4	-1.41315	0.0310679	-1.16808	1.83368	0	1.4135
45	g	-62	21	11	-0.809684	-0.978451	0.916276	1.56605	0	1.27002
46	d	-62	1	12	-0.387986	0.445791	-1.17677	1.35755	0.33	0.609259
47	g	-61	21	3	0.158313	-0.279959	0.534962	0.6242	0	0.321621
48	d	-61	1	4	-0.257934	0.146803	-2.03417	2.05571	0	0.296785
49	g	-62	21	15	0.76861	-0.507809	-0.055592	0.922888	0	0.921212
50	d	-62	1	16	-0.868231	0.374653	-1.44362	1.75702	0.33	0.96275
51	u	-61	2	3	-0.138196	1.63709	6.47797	6.68306	0	1.64291
52	ubar	-61	-2	4	1.58218	-1.10791	1.73654	2.59737	0	1.93152
53	g	-62	21	24	0.46067	1.96195	6.62724	6.92688	0	2.0153
54	g	-62	21	25	0.983318	-1.43277	1.58728	2.35355	0	1.73774
55	g	-61	21	3	0.648952	-1.0451	-0.672145	1.40184	0	1.23019
56	u	-61	2	4	-0.306435	-0.238773	-2.65575	2.68401	0	0.388478
57	g	-62	21	31	0.505841	-1.4004	-1.16993	1.8936	0	1.48895
58	u	-62	2	32	-0.163324	0.116521	-2.15797	2.19225	0.33	0.202941
59	g	-61	21	3	0.198388	-0.165545	0.87663	0.913916	0	0.258385
60	g	-61	21	4	0.892722	-0.265632	-1.89446	2.11104	0	0.931404
61	g	-62	21	35	-0.00994878	0.0395238	0.825677	0.826682	0	0.0407567
62	g	-62	21	36	1.10106	-0.4707	-1.8435	2.19827	0	1.19745
63	dd_1	-63	1103	3	-0.236234	0.267156	17.475	17.4956	0.77133	0.356968
64	d	-63	1	4	0.651813	-0.413884	0.751144	1.12662	0.33	0.807532
65	dbar	-63	-1	4	-0.162176	0.260491	-3.0316	3.06491	0.33	0.308644
66	u	-63	2	4	-0.721507	1.26492	-4.15502	4.41516	0.33	1.46031
67	n0	-13	2112	1	0	0	31.1859	31.2	0.93827	-nan
68	p_diffr+	-15	9902210	67	-0.000714392	0.0109073	31.0973	31.2683	3.26493	0.0109907
69	g	-24	21	68	-0.000653139	0.00997009	-0.0713261	0.0720225	0	0.00999146
70	u	-63	2	68	0.404084	0.13145	12.803	12.8142	0.325	0.425063
71	dd_1	-63	1103	68	-0.404145	-0.130513	18.3657	18.3821	0.65	0.424962
72	n0	-13	2112	1	0	0	31.1859	31.2	0.93827	-nan
73	p_diffr+	-15	9902210	72	0.0180377	-0.0551293	31.171	31.2015	1.37681	0.0580617
74	u	-24	2	73	0.0291614	-0.0891282	1.12792	1.15484	0.229468	0.0956855
75	dd_1	-63	1103	73	-0.0111237	0.0339989	30.0431	30.0467	0.458936	0.0357766
76	n0	-13	2112	1	0	0	31.1859	31.2	0.93827	-nan
77	p_diffr+	-15	9902210	76	-0.0992382	0.27346	31.127	31.2877	3.1532	0.292399
78	g	-24	21	77	-0.0962938	0.265348	0.208755	0.351085	0	0.28228
79	d	-63	1	77	-0.0282173	-0.01941	5.30761	5.31766	0.325	0.0343127
80	ud_1	-63	2103	77	0.0252728	0.027522	25.6106	25.6189	0.65	0.0373775
81	p+	-13	2212	1	0	0	31.1859	31.2	0.93827	-nan
82	p_diffr+	-15	9902210	81	0.452126	0.203964	31.1669	31.2425	2.11457	0.497143
83	d	-24	1	82	0.491049	0.221524	2.87257	2.94066	0.325	0.542025
84	uu_1	-63	2203	82	-0.0389233	-0.0175602	28.2944	28.3019	0.65	0.0427124
85	n0	-13	2112	1	0	0	31.1859	31.2	0.93957	-nan
86	p+	-13	2212	2	0	0	-31.1859	31.2	0.93827	-0
87	g	-21	21	95	0	0	1.31449	1.31449	0	-nan
88	g	-21	21	96	0	0	-8.07802	8.07802	0	-0
89	g	-23	21	87	-1.21261	-0.302397	0.955374	1.57309	0	1.24975
90	g	-23	21	87	1.21261	0.302397	-7.71891	7.81942	0	1.24975
91	g	-31	21	105	0	0	7.45145	7.45145	0	-nan
92	u	-31	2	106	0	0	-0.272099	0.272099	0	-0
